"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,25000,1000,75,2,kmeans++,kmeans,18.132,1.173,19.573
2,25000,1000,75,2,kmeans++,kmeans,17.783,1.141,19.197
3,25000,1000,75,2,kmeans++,kmeans,17.268,1.204,18.736
4,25000,1000,75,2,kmeans++,kmeans,16.31,1.202,17.773
5,25000,1000,75,2,kmeans++,kmeans,18.565,1.204,20.101
6,25000,1000,75,2,kmeans++,kmeans,16.421,1.203,17.891
7,25000,1000,75,2,kmeans++,kmeans,8.09,0.844,8.941
8,25000,1000,75,2,kmeans++,kmeans,8.294,0.851,9.15
9,25000,1000,75,2,kmeans++,kmeans,9.161,0.85,10.016
10,25000,1000,75,2,kmeans++,kmeans,9.123,0.87,9.999
1,25000,1000,75,3,kmeans++,kmeans,21.054,1.141,22.469
2,25000,1000,75,3,kmeans++,kmeans,20.345,1.19,21.805
3,25000,1000,75,3,kmeans++,kmeans,21.22,1.161,22.675
4,25000,1000,75,3,kmeans++,kmeans,21.101,1.218,22.622
5,25000,1000,75,3,kmeans++,kmeans,21.89,1.118,23.289
6,25000,1000,75,3,kmeans++,kmeans,20.633,1.201,22.126
7,25000,1000,75,3,kmeans++,kmeans,9.55,0.837,10.391
8,25000,1000,75,3,kmeans++,kmeans,9.767,0.867,10.639
9,25000,1000,75,3,kmeans++,kmeans,9.781,0.819,10.604
10,25000,1000,75,3,kmeans++,kmeans,9.756,0.824,10.585
1,25000,1000,75,4,kmeans++,kmeans,24.147,1.195,25.694
2,25000,1000,75,4,kmeans++,kmeans,23.848,1.198,25.406
3,25000,1000,75,4,kmeans++,kmeans,25.665,1.165,27.197
4,25000,1000,75,4,kmeans++,kmeans,24.558,1.227,26.165
5,25000,1000,75,4,kmeans++,kmeans,25.227,1.19,26.758
6,25000,1000,75,4,kmeans++,kmeans,25.271,1.173,26.773
7,25000,1000,75,4,kmeans++,kmeans,13.323,0.828,14.155
8,25000,1000,75,4,kmeans++,kmeans,11.483,0.859,12.347
9,25000,1000,75,4,kmeans++,kmeans,11.925,0.844,12.773
10,25000,1000,75,4,kmeans++,kmeans,10.842,0.853,11.7
1,25000,1000,75,5,kmeans++,kmeans,29.566,1.204,31.082
2,25000,1000,75,5,kmeans++,kmeans,29.036,1.14,30.433
3,25000,1000,75,5,kmeans++,kmeans,28.708,1.175,30.154
4,25000,1000,75,5,kmeans++,kmeans,31.031,1.17,32.506
5,25000,1000,75,5,kmeans++,kmeans,29.618,1.214,31.127
6,25000,1000,75,5,kmeans++,kmeans,27.575,1.264,29.105
7,25000,1000,75,5,kmeans++,kmeans,13.895,0.833,14.733
8,25000,1000,75,5,kmeans++,kmeans,13.311,0.846,14.162
9,25000,1000,75,5,kmeans++,kmeans,12.727,0.834,13.567
10,25000,1000,75,5,kmeans++,kmeans,13.555,0.829,14.389
1,25000,1000,75,6,kmeans++,kmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
2,25000,1000,75,6,kmeans++,kmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
3,25000,1000,75,6,kmeans++,kmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
4,25000,1000,75,6,kmeans++,kmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
5,25000,1000,75,6,kmeans++,kmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
6,25000,1000,75,6,kmeans++,kmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
7,25000,1000,75,6,kmeans++,kmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
8,25000,1000,75,6,kmeans++,kmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
9,25000,1000,75,6,kmeans++,kmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
10,25000,1000,75,6,kmeans++,kmeans,Error in gzfile(file, "rb") : cannot open the connection
,NA,NA
1,25000,1000,75,7,kmeans++,kmeans,29.477,1.114,31.053
2,25000,1000,75,7,kmeans++,kmeans,27.858,1.187,29.509
3,25000,1000,75,7,kmeans++,kmeans,28.323,1.182,29.991
4,25000,1000,75,7,kmeans++,kmeans,29.168,1.149,30.782
5,25000,1000,75,7,kmeans++,kmeans,26.345,1.17,28.031
6,25000,1000,75,7,kmeans++,kmeans,27.734,1.156,29.354
7,25000,1000,75,7,kmeans++,kmeans,14.578,0.837,15.42
8,25000,1000,75,7,kmeans++,kmeans,13.796,0.84,14.639
9,25000,1000,75,7,kmeans++,kmeans,13.332,0.852,14.188
10,25000,1000,75,7,kmeans++,kmeans,14.618,0.824,15.448
1,25000,1000,75,8,kmeans++,kmeans,28.802,1.132,29.986
2,25000,1000,75,8,kmeans++,kmeans,27.824,1.159,29.027
3,25000,1000,75,8,kmeans++,kmeans,26.849,1.189,28.085
4,25000,1000,75,8,kmeans++,kmeans,28.699,1.084,29.839
5,25000,1000,75,8,kmeans++,kmeans,28.935,1.102,30.092
6,25000,1000,75,8,kmeans++,kmeans,29.264,1.131,30.46
7,25000,1000,75,8,kmeans++,kmeans,13.675,0.839,14.52
8,25000,1000,75,8,kmeans++,kmeans,14.037,0.859,14.902
9,25000,1000,75,8,kmeans++,kmeans,15.548,0.922,16.477
10,25000,1000,75,8,kmeans++,kmeans,14.2,0.839,15.045
1,25000,1000,75,9,kmeans++,kmeans,33.795,1.124,35.319
2,25000,1000,75,9,kmeans++,kmeans,26.773,1.217,28.349
3,25000,1000,75,9,kmeans++,kmeans,32.381,1.192,33.936
