B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
1,1.00E+05,1000,0.001,2,kmeans++,hdf5,41.96,5.692,48.49,10,1
2,1.00E+05,1000,0.001,2,kmeans++,hdf5,38.281,6.061,44.436,10,1
3,1.00E+05,1000,0.001,2,kmeans++,hdf5,30.33,4.971,36.871,10,1
4,1.00E+05,1000,0.001,2,kmeans++,hdf5,36.164,5.678,42.818,10,1
5,1.00E+05,1000,0.001,2,kmeans++,hdf5,41.997,3.706,45.72,10,1
6,1.00E+05,1000,0.001,2,kmeans++,hdf5,32.983,4.337,38.241,10,1
7,1.00E+05,1000,0.001,2,kmeans++,hdf5,33.385,5.386,38.925,10,1
8,1.00E+05,1000,0.001,2,kmeans++,hdf5,37.511,5.848,44.476,10,1
9,1.00E+05,1000,0.001,2,kmeans++,hdf5,29.22,4.055,34.016,10,1
10,1.00E+05,1000,0.001,2,kmeans++,hdf5,39.426,5.333,45.675,10,1
1,1.00E+05,1000,0.001,3,kmeans++,hdf5,37.995,4.486,43.667,10,1
2,1.00E+05,1000,0.001,3,kmeans++,hdf5,30.72,4.013,35.414,10,1
3,1.00E+05,1000,0.001,3,kmeans++,hdf5,52.148,5.447,57.837,10,1
4,1.00E+05,1000,0.001,3,kmeans++,hdf5,39.951,4.595,46.155,10,1
5,1.00E+05,1000,0.001,3,kmeans++,hdf5,44.164,4.403,48.591,10,1
6,1.00E+05,1000,0.001,3,kmeans++,hdf5,36.337,4.221,41.535,10,1
7,1.00E+05,1000,0.001,3,kmeans++,hdf5,31.666,3.865,36.654,10,1
8,1.00E+05,1000,0.001,3,kmeans++,hdf5,42.111,5.76,48.64,10,1
9,1.00E+05,1000,0.001,3,kmeans++,hdf5,28.761,3.302,32.805,10,1
10,1.00E+05,1000,0.001,3,kmeans++,hdf5,41.672,5.856,47.57,10,1
1,1.00E+05,1000,0.001,4,kmeans++,hdf5,44.548,5.94,52.119,10,1
2,1.00E+05,1000,0.001,4,kmeans++,hdf5,38.451,4.526,43.035,10,1
3,1.00E+05,1000,0.001,4,kmeans++,hdf5,33.639,4.644,38.565,10,1
4,1.00E+05,1000,0.001,4,kmeans++,hdf5,43.579,5.985,51.525,10,1
5,1.00E+05,1000,0.001,4,kmeans++,hdf5,59.518,4.868,64.439,10,1
6,1.00E+05,1000,0.001,4,kmeans++,hdf5,37.349,5.095,42.807,10,1
7,1.00E+05,1000,0.001,4,kmeans++,hdf5,39.325,4.667,44.008,10,1
8,1.00E+05,1000,0.001,4,kmeans++,hdf5,42.687,5.903,48.676,10,1
9,1.00E+05,1000,0.001,4,kmeans++,hdf5,36.677,5.035,43.089,10,1
10,1.00E+05,1000,0.001,4,kmeans++,hdf5,39.395,4.288,44.808,10,1
1,1.00E+05,1000,0.001,5,kmeans++,hdf5,54.948,5.977,61.668,10,1
2,1.00E+05,1000,0.001,5,kmeans++,hdf5,44.436,5.667,51.676,10,1
3,1.00E+05,1000,0.001,5,kmeans++,hdf5,45.72,6.133,52.924,10,1
4,1.00E+05,1000,0.001,5,kmeans++,hdf5,41.939,4.972,47.978,10,1
5,1.00E+05,1000,0.001,5,kmeans++,hdf5,57.791,6.256,64.211,10,1
6,1.00E+05,1000,0.001,5,kmeans++,hdf5,46.576,6.217,52.963,10,1
7,1.00E+05,1000,0.001,5,kmeans++,hdf5,34.41,4.283,39.636,10,1
8,1.00E+05,1000,0.001,5,kmeans++,hdf5,41.582,5.77,48.396,10,1
9,1.00E+05,1000,0.001,5,kmeans++,hdf5,46.588,6.132,53.292,10,1
10,1.00E+05,1000,0.001,5,kmeans++,hdf5,31.654,4.859,37.326,10,1
1,1.00E+05,1000,0.001,6,kmeans++,hdf5,53.747,6.059,60.726,10,1
2,1.00E+05,1000,0.001,6,kmeans++,hdf5,33.425,3.872,38.23,10,1
