B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
1,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,22.421,0.672,31.624,1,1
2,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,22.748,0.698,29.776,1,1
3,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,22.504,0.722,25.987,1,1
4,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,22.735,0.722,32.938,1,1
5,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,23.088,0.85,35.247,1,1
6,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,23.142,0.855,33.804,1,1
7,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,22.768,0.799,34.943,1,1
8,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,22.536,0.749,30.753,1,1
9,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,23.127,0.876,25.308,1,1
10,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,22.822,0.801,34.29,1,1
1,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,23.576,0.812,31.92,1,1
2,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,22.959,0.79,27.387,1,1
3,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,23.692,0.895,35.172,1,1
4,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,23.138,0.795,29.703,1,1
5,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,23.638,0.871,34.554,1,1
6,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,23.975,0.86,39.584,1,1
7,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,22.938,0.78,26.949,1,1
8,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,23.258,0.908,29.047,1,1
9,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,22.964,0.728,23.697,1,1
10,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,23.223,0.869,27.619,1,1
1,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,23.909,0.983,39.903,1,1
2,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,23.985,0.977,26.051,1,1
3,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,23.946,0.926,38.167,1,1
4,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,24.24,1.072,45.011,1,1
5,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,24.011,0.846,25.434,1,1
6,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,23.649,1.006,44.522,1,1
7,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,24.088,1.103,44.064,1,1
8,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,23.574,1.079,45.072,1,1
