B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time
1,1.00E+05,1000,0.001,2,random,kmeans,189.77,10.156,255.518
2,1.00E+05,1000,0.001,2,random,kmeans,159.752,10.677,176.588
3,1.00E+05,1000,0.001,2,random,kmeans,167.2,10.078,204.245
4,1.00E+05,1000,0.001,2,random,kmeans,208.606,8.567,268.201
5,1.00E+05,1000,0.001,2,random,kmeans,200.527,11.277,221.962
6,1.00E+05,1000,0.001,2,random,kmeans,181.882,9.966,238.516
7,1.00E+05,1000,0.001,2,random,kmeans,173.787,9.479,221.35
8,1.00E+05,1000,0.001,2,random,kmeans,181.49,9.602,254.846
9,1.00E+05,1000,0.001,2,random,kmeans,194.344,9.1,263.678
10,1.00E+05,1000,0.001,2,random,kmeans,179.644,9.743,236.098
1,1.00E+05,1000,0.001,3,random,kmeans,223.733,9.937,309.643
2,1.00E+05,1000,0.001,3,random,kmeans,179.408,9.996,242.576
3,1.00E+05,1000,0.001,3,random,kmeans,239.773,10.397,300.976
4,1.00E+05,1000,0.001,3,random,kmeans,245.612,10.033,322.078
5,1.00E+05,1000,0.001,3,random,kmeans,232.892,10.426,313.102
6,1.00E+05,1000,0.001,3,random,kmeans,218.243,10.049,287.322
7,1.00E+05,1000,0.001,3,random,kmeans,234.999,10.463,317.277
8,1.00E+05,1000,0.001,3,random,kmeans,235.938,9.948,312.199
9,1.00E+05,1000,0.001,3,random,kmeans,235.626,9.394,307.489
10,1.00E+05,1000,0.001,3,random,kmeans,225.831,10.025,295.184
1,1.00E+05,1000,0.001,4,random,kmeans,360.074,8.766,447.972
2,1.00E+05,1000,0.001,4,random,kmeans,330.263,9.005,413.495
3,1.00E+05,1000,0.001,4,random,kmeans,315.713,9.781,406.536
4,1.00E+05,1000,0.001,4,random,kmeans,275.091,9.321,333.358
5,1.00E+05,1000,0.001,4,random,kmeans,258.268,8.697,302.793
6,1.00E+05,1000,0.001,4,random,kmeans,292.215,9.395,345.058
7,1.00E+05,1000,0.001,4,random,kmeans,341.64,9.203,388.668
8,1.00E+05,1000,0.001,4,random,kmeans,325.094,8.796,419.379
9,1.00E+05,1000,0.001,4,random,kmeans,247.11,9.064,295.105
10,1.00E+05,1000,0.001,4,random,kmeans,272.218,9.554,347.663
1,1.00E+05,1000,0.001,5,random,kmeans,309.169,9.87,399.315
2,1.00E+05,1000,0.001,5,random,kmeans,296.043,10.396,394.646
3,1.00E+05,1000,0.001,5,random,kmeans,407.806,9.049,486.614
4,1.00E+05,1000,0.001,5,random,kmeans,329.763,10.231,424.354
5,1.00E+05,1000,0.001,5,random,kmeans,310.235,10.673,410.367
6,1.00E+05,1000,0.001,5,random,kmeans,366.699,9.931,445.509
7,1.00E+05,1000,0.001,5,random,kmeans,363.104,9.008,440.723
8,1.00E+05,1000,0.001,5,random,kmeans,358.927,9.86,454.87
9,1.00E+05,1000,0.001,5,random,kmeans,334.181,10.505,438.571
10,1.00E+05,1000,0.001,5,random,kmeans,397.945,8.465,485.989
1,1.00E+05,1000,0.001,6,random,kmeans,323.434,10.333,346.072
2,1.00E+05,1000,0.001,6,random,kmeans,425.103,8.593,461.177
3,1.00E+05,1000,0.001,6,random,kmeans,364.721,9.344,398.062
4,1.00E+05,1000,0.001,6,random,kmeans,401.25,9.741,435.956
5,1.00E+05,1000,0.001,6,random,kmeans,395.576,9.265,428.425
6,1.00E+05,1000,0.001,6,random,kmeans,387.85,9.932,423.884
7,1.00E+05,1000,0.001,6,random,kmeans,380.836,9.145,404.415
8,1.00E+05,1000,0.001,6,random,kmeans,285.35,10.386,310.442
9,1.00E+05,1000,0.001,6,random,kmeans,389.711,9.904,417.599
10,1.00E+05,1000,0.001,6,random,kmeans,440.799,9.142,467.633
1,1.00E+05,1000,0.001,7,random,kmeans,348.561,9.8,391.785
2,1.00E+05,1000,0.001,7,random,kmeans,345.996,9.622,387.25
3,1.00E+05,1000,0.001,7,random,kmeans,333.625,9.282,370.786
4,1.00E+05,1000,0.001,7,random,kmeans,349.725,10.093,380.444
5,1.00E+05,1000,0.001,7,random,kmeans,323.333,9.201,364.302
6,1.00E+05,1000,0.001,7,random,kmeans,346.606,9.52,397.842
7,1.00E+05,1000,0.001,7,random,kmeans,355.216,8.94,395.094
8,1.00E+05,1000,0.001,7,random,kmeans,369.261,8.096,418.978
9,1.00E+05,1000,0.001,7,random,kmeans,331.794,8.691,367.792
10,1.00E+05,1000,0.001,7,random,kmeans,359.849,9.796,416.391
1,1.00E+05,1000,0.001,8,random,kmeans,368.738,8.585,392.871
2,1.00E+05,1000,0.001,8,random,kmeans,342.279,10.028,365.124
3,1.00E+05,1000,0.001,8,random,kmeans,376.06,8.128,392.629
4,1.00E+05,1000,0.001,8,random,kmeans,343.795,9.399,362.549
5,1.00E+05,1000,0.001,8,random,kmeans,349.34,9.508,367.156
6,1.00E+05,1000,0.001,8,random,kmeans,382.736,9.413,402.853
7,1.00E+05,1000,0.001,8,random,kmeans,378.177,8.134,396.045
8,1.00E+05,1000,0.001,8,random,kmeans,327.056,9.256,348.554
9,1.00E+05,1000,0.001,8,random,kmeans,305.833,10.023,328.475
10,1.00E+05,1000,0.001,8,random,kmeans,299.954,9.918,319.985
1,1.00E+05,1000,0.001,9,random,kmeans,326.452,8.11,379.151
2,1.00E+05,1000,0.001,9,random,kmeans,303.854,9.009,346.03
3,1.00E+05,1000,0.001,9,random,kmeans,327.86,8.225,359.798
4,1.00E+05,1000,0.001,9,random,kmeans,277.643,8.295,308.855
5,1.00E+05,1000,0.001,9,random,kmeans,306.847,9.018,357.575
6,1.00E+05,1000,0.001,9,random,kmeans,340.676,8.13,386.134
7,1.00E+05,1000,0.001,9,random,kmeans,268.72,8.691,308.798
8,1.00E+05,1000,0.001,9,random,kmeans,328.198,7.329,371.533
9,1.00E+05,1000,0.001,9,random,kmeans,321.88,8.828,365.177
10,1.00E+05,1000,0.001,9,random,kmeans,307.068,8.962,362.199
1,1.00E+05,1000,0.001,10,random,kmeans,352.773,9.423,436.093
2,1.00E+05,1000,0.001,10,random,kmeans,389.173,8.765,482.441
3,1.00E+05,1000,0.001,10,random,kmeans,325.081,9.662,368.815
4,1.00E+05,1000,0.001,10,random,kmeans,399.317,9.864,474.312
5,1.00E+05,1000,0.001,10,random,kmeans,378.499,9.319,464.321
6,1.00E+05,1000,0.001,10,random,kmeans,367.666,10.134,431.603
7,1.00E+05,1000,0.001,10,random,kmeans,383.942,8.931,474.378
8,1.00E+05,1000,0.001,10,random,kmeans,398.355,9.709,488.004
