"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1e+05,1000,0.01,2,random,hdf5,92.814,12.479,105.377
2,1e+05,1000,0.01,2,random,hdf5,95.29,13.797,109.355
3,1e+05,1000,0.01,2,random,hdf5,85.997,11.772,97.848
4,1e+05,1000,0.01,2,random,hdf5,102.075,14.067,116.293
5,1e+05,1000,0.01,2,random,hdf5,92.591,12.448,105.441
6,1e+05,1000,0.01,2,random,hdf5,84.707,10.498,96.008
7,1e+05,1000,0.01,2,random,hdf5,80.44,11.513,92.016
8,1e+05,1000,0.01,2,random,hdf5,97.333,13.698,111.379
9,1e+05,1000,0.01,2,random,hdf5,78.131,10.554,89.265
10,1e+05,1000,0.01,2,random,hdf5,92.769,14.075,106.997
1,1e+05,1000,0.01,3,random,hdf5,83.165,10.15,94.165
2,1e+05,1000,0.01,3,random,hdf5,77.054,9.21,87.873
3,1e+05,1000,0.01,3,random,hdf5,94.422,11.985,107.979
4,1e+05,1000,0.01,3,random,hdf5,82.771,10.513,94.387
5,1e+05,1000,0.01,3,random,hdf5,100.392,12.412,113.762
6,1e+05,1000,0.01,3,random,hdf5,107.935,12.89,122.004
7,1e+05,1000,0.01,3,random,hdf5,99.174,11.37,111.399
8,1e+05,1000,0.01,3,random,hdf5,80.338,9.315,90.855
9,1e+05,1000,0.01,3,random,hdf5,75.97,8.509,85.625
10,1e+05,1000,0.01,3,random,hdf5,104.808,13.086,118.706
1,1e+05,1000,0.01,4,random,hdf5,83.444,9.272,95.414
2,1e+05,1000,0.01,4,random,hdf5,102.945,11.577,117.097
3,1e+05,1000,0.01,4,random,hdf5,106.346,12.418,120.919
4,1e+05,1000,0.01,4,random,hdf5,90.066,10.231,102.325
5,1e+05,1000,0.01,4,random,hdf5,112.457,12.986,127.296
6,1e+05,1000,0.01,4,random,hdf5,107.421,12.271,121.6
7,1e+05,1000,0.01,4,random,hdf5,100.294,10.753,112.756
8,1e+05,1000,0.01,4,random,hdf5,107.284,12.073,120.948
9,1e+05,1000,0.01,4,random,hdf5,103.506,11.664,116.857
10,1e+05,1000,0.01,4,random,hdf5,95.505,10.778,107.762
1,1e+05,1000,0.01,5,random,hdf5,118.23,11.732,130.25
2,1e+05,1000,0.01,5,random,hdf5,115.768,11.792,127.831
3,1e+05,1000,0.01,5,random,hdf5,115.399,11.28,127.172
4,1e+05,1000,0.01,5,random,hdf5,106.349,11.226,117.726
5,1e+05,1000,0.01,5,random,hdf5,108.106,10.927,119.818
6,1e+05,1000,0.01,5,random,hdf5,116.477,11.222,127.785
7,1e+05,1000,0.01,5,random,hdf5,115.689,11.809,127.888
8,1e+05,1000,0.01,5,random,hdf5,109.034,11.284,120.633
9,1e+05,1000,0.01,5,random,hdf5,111.325,11.949,123.885
10,1e+05,1000,0.01,5,random,hdf5,106.077,10.845,117.114
1,1e+05,1000,0.01,6,random,hdf5,104.711,10.188,115.089
2,1e+05,1000,0.01,6,random,hdf5,136.879,11.842,149.009
3,1e+05,1000,0.01,6,random,hdf5,103.613,9.57,113.708
4,1e+05,1000,0.01,6,random,hdf5,111.11,9.55,120.814
5,1e+05,1000,0.01,6,random,hdf5,118.23,11.594,129.938
6,1e+05,1000,0.01,6,random,hdf5,109.79,10.938,121.164
7,1e+05,1000,0.01,6,random,hdf5,115.038,10.857,126.178
8,1e+05,1000,0.01,6,random,hdf5,109.256,11.07,120.41
9,1e+05,1000,0.01,6,random,hdf5,119.998,11.566,131.916
10,1e+05,1000,0.01,6,random,hdf5,107.556,10.996,118.621
1,1e+05,1000,0.01,7,random,hdf5,134.979,11.977,147.233
2,1e+05,1000,0.01,7,random,hdf5,138.43,12.66,151.188
3,1e+05,1000,0.01,7,random,hdf5,141.151,12.311,153.888
4,1e+05,1000,0.01,7,random,hdf5,131.959,11.756,143.983
5,1e+05,1000,0.01,7,random,hdf5,127.921,11.423,139.477
6,1e+05,1000,0.01,7,random,hdf5,137.244,12.105,149.521
7,1e+05,1000,0.01,7,random,hdf5,111.892,9.991,121.99
8,1e+05,1000,0.01,7,random,hdf5,120.173,10.264,130.571
9,1e+05,1000,0.01,7,random,hdf5,142.59,12.29,155.021
10,1e+05,1000,0.01,7,random,hdf5,126.802,10.971,137.975
1,1e+05,1000,0.01,8,random,hdf5,140.159,11.453,153.352
2,1e+05,1000,0.01,8,random,hdf5,130.256,10.819,143.199
3,1e+05,1000,0.01,8,random,hdf5,124.482,9.582,135.693
4,1e+05,1000,0.01,8,random,hdf5,111.175,7.728,120.63
5,1e+05,1000,0.01,8,random,hdf5,143.873,11.493,156.609
6,1e+05,1000,0.01,8,random,hdf5,115.051,8.542,125.199
7,1e+05,1000,0.01,8,random,hdf5,143.397,11.153,155.586
8,1e+05,1000,0.01,8,random,hdf5,146.382,11.614,159.205
9,1e+05,1000,0.01,8,random,hdf5,151.316,11.214,163.248
10,1e+05,1000,0.01,8,random,hdf5,126.467,9.761,137.716
1,1e+05,1000,0.01,9,random,hdf5,146.713,10.225,157.026
2,1e+05,1000,0.01,9,random,hdf5,151.715,10.541,162.89
3,1e+05,1000,0.01,9,random,hdf5,139.018,9.335,148.517
4,1e+05,1000,0.01,9,random,hdf5,133.726,9.461,143.343
5,1e+05,1000,0.01,9,random,hdf5,154.161,10.591,164.841
6,1e+05,1000,0.01,9,random,hdf5,126.223,9.587,135.91
7,1e+05,1000,0.01,9,random,hdf5,116.724,7.862,124.894
8,1e+05,1000,0.01,9,random,hdf5,131.736,10.029,141.846
9,1e+05,1000,0.01,9,random,hdf5,144.316,9.771,154.479
10,1e+05,1000,0.01,9,random,hdf5,142.517,10.368,153.035
1,1e+05,1000,0.01,10,random,hdf5,156.076,10.36,166.656
2,1e+05,1000,0.01,10,random,hdf5,158.286,10.736,169.44
3,1e+05,1000,0.01,10,random,hdf5,154.231,10.073,164.772
4,1e+05,1000,0.01,10,random,hdf5,130.714,7.633,138.77
5,1e+05,1000,0.01,10,random,hdf5,134.941,8.776,144.597
6,1e+05,1000,0.01,10,random,hdf5,143.432,9.797,153.795
7,1e+05,1000,0.01,10,random,hdf5,139.408,9.983,149.78
8,1e+05,1000,0.01,10,random,hdf5,139.933,9.299,150.171
9,1e+05,1000,0.01,10,random,hdf5,148.098,9.706,158.807
10,1e+05,1000,0.01,10,random,hdf5,145.034,10.096,155.28
1,1e+05,1000,0.01,11,random,hdf5,157.848,11.335,170.043
2,1e+05,1000,0.01,11,random,hdf5,155.022,10.97,166.708
3,1e+05,1000,0.01,11,random,hdf5,171.777,11.3,183.439
4,1e+05,1000,0.01,11,random,hdf5,163.681,11.563,175.394
5,1e+05,1000,0.01,11,random,hdf5,145.165,9.683,155.106
6,1e+05,1000,0.01,11,random,hdf5,182.069,12.052,194.283
7,1e+05,1000,0.01,11,random,hdf5,147.752,10.464,158.485
8,1e+05,1000,0.01,11,random,hdf5,171.905,11.626,183.881
9,1e+05,1000,0.01,11,random,hdf5,196.754,12.961,210.038
10,1e+05,1000,0.01,11,random,hdf5,158.161,11.7,170.407
1,1e+05,1000,0.01,12,random,hdf5,175.239,11.239,186.694
2,1e+05,1000,0.01,12,random,hdf5,171.553,11.406,183.501
3,1e+05,1000,0.01,12,random,hdf5,173.608,12.052,185.756
4,1e+05,1000,0.01,12,random,hdf5,177.898,11.033,189.029
5,1e+05,1000,0.01,12,random,hdf5,161.159,10.372,171.615
6,1e+05,1000,0.01,12,random,hdf5,175.595,10.16,185.961
7,1e+05,1000,0.01,12,random,hdf5,174.552,11.827,186.512
8,1e+05,1000,0.01,12,random,hdf5,163.376,10.743,174.444
9,1e+05,1000,0.01,12,random,hdf5,162.301,10.682,173.305
10,1e+05,1000,0.01,12,random,hdf5,195.151,10.69,206.013
1,1e+05,1000,0.01,13,random,hdf5,192.712,10.827,204.731
2,1e+05,1000,0.01,13,random,hdf5,188.929,10.611,200.659
3,1e+05,1000,0.01,13,random,hdf5,194.45,10.257,205.434
4,1e+05,1000,0.01,13,random,hdf5,154.942,10.036,166.66
5,1e+05,1000,0.01,13,random,hdf5,189.122,10.237,200.524
6,1e+05,1000,0.01,13,random,hdf5,182.105,9.971,192.932
7,1e+05,1000,0.01,13,random,hdf5,147.666,9.229,158.389
8,1e+05,1000,0.01,13,random,hdf5,160.076,9.541,171.091
9,1e+05,1000,0.01,13,random,hdf5,141.565,8.301,150.996
10,1e+05,1000,0.01,13,random,hdf5,180.999,10.029,191.693
1,1e+05,1000,0.01,14,random,hdf5,186.817,10.87,198.048
2,1e+05,1000,0.01,14,random,hdf5,182.184,11.279,194.01
3,1e+05,1000,0.01,14,random,hdf5,186.961,10.867,198.856
4,1e+05,1000,0.01,14,random,hdf5,156.768,9.289,166.776
5,1e+05,1000,0.01,14,random,hdf5,178.422,10.843,189.586
6,1e+05,1000,0.01,14,random,hdf5,170.32,10.922,181.388
7,1e+05,1000,0.01,14,random,hdf5,168.173,9.77,178.313
8,1e+05,1000,0.01,14,random,hdf5,193.346,11.145,204.945
9,1e+05,1000,0.01,14,random,hdf5,198.087,10.727,208.962
10,1e+05,1000,0.01,14,random,hdf5,172.085,10.376,182.99
1,1e+05,1000,0.01,15,random,hdf5,194.978,9.698,204.981
2,1e+05,1000,0.01,15,random,hdf5,163.242,8.62,172.15
3,1e+05,1000,0.01,15,random,hdf5,173.865,7.94,181.979
4,1e+05,1000,0.01,15,random,hdf5,161.776,10.291,172.273
5,1e+05,1000,0.01,15,random,hdf5,221.084,10.216,231.828
6,1e+05,1000,0.01,15,random,hdf5,196.328,9.551,206.061
7,1e+05,1000,0.01,15,random,hdf5,167.272,8.376,175.77
8,1e+05,1000,0.01,15,random,hdf5,187.556,8.921,196.574
9,1e+05,1000,0.01,15,random,hdf5,182.787,9.356,192.819
10,1e+05,1000,0.01,15,random,hdf5,180.228,10.124,190.666
1,1e+05,1000,0.01,16,random,hdf5,164.93,7.439,172.656
2,1e+05,1000,0.01,16,random,hdf5,157.333,8.701,166.204
3,1e+05,1000,0.01,16,random,hdf5,202.983,9.126,212.234
4,1e+05,1000,0.01,16,random,hdf5,160.794,8.189,169.232
5,1e+05,1000,0.01,16,random,hdf5,181.801,8.653,190.892
6,1e+05,1000,0.01,16,random,hdf5,172.087,7.943,180.205
7,1e+05,1000,0.01,16,random,hdf5,178.633,8.911,187.631
8,1e+05,1000,0.01,16,random,hdf5,211.984,10.438,222.673
9,1e+05,1000,0.01,16,random,hdf5,190.446,9.342,199.994
10,1e+05,1000,0.01,16,random,hdf5,182.844,8.72,191.728
1,1e+05,1000,0.01,17,random,hdf5,216.058,10.179,226.528
2,1e+05,1000,0.01,17,random,hdf5,215.432,9.422,225.107
3,1e+05,1000,0.01,17,random,hdf5,226.2,9.743,236.367
4,1e+05,1000,0.01,17,random,hdf5,208.998,9.151,218.653
5,1e+05,1000,0.01,17,random,hdf5,221.479,10.563,232.339
6,1e+05,1000,0.01,17,random,hdf5,151.559,8.263,160.096
7,1e+05,1000,0.01,17,random,hdf5,241.504,11.829,254.196
8,1e+05,1000,0.01,17,random,hdf5,200.907,8.432,209.477
9,1e+05,1000,0.01,17,random,hdf5,193.99,8.879,203.147
10,1e+05,1000,0.01,17,random,hdf5,237.123,10.997,248.294
1,1e+05,1000,0.01,18,random,hdf5,189.189,8.685,198.209
2,1e+05,1000,0.01,18,random,hdf5,213.297,10.225,223.831
3,1e+05,1000,0.01,18,random,hdf5,230.676,9.79,240.62
4,1e+05,1000,0.01,18,random,hdf5,227.971,9.832,238.427
5,1e+05,1000,0.01,18,random,hdf5,213.909,10.643,225.15
6,1e+05,1000,0.01,18,random,hdf5,220.951,10.04,231.654
7,1e+05,1000,0.01,18,random,hdf5,202.849,9.885,212.846
8,1e+05,1000,0.01,18,random,hdf5,207.744,10.374,218.637
9,1e+05,1000,0.01,18,random,hdf5,242.012,10.187,252.55
10,1e+05,1000,0.01,18,random,hdf5,212.031,10.351,222.586
1,1e+05,1000,0.01,19,random,hdf5,183.419,9.185,193.116
2,1e+05,1000,0.01,19,random,hdf5,238.904,10.666,249.82
3,1e+05,1000,0.01,19,random,hdf5,245.721,11.828,257.985
4,1e+05,1000,0.01,19,random,hdf5,211.848,8.756,220.686
