"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1e+05,1000,0.01,2,random,mbkmeans,52.782,1.048,53.976
2,1e+05,1000,0.01,2,random,mbkmeans,41.954,0.995,42.956
3,1e+05,1000,0.01,2,random,mbkmeans,45.468,0.839,46.318
4,1e+05,1000,0.01,2,random,mbkmeans,45.732,0.984,46.725
5,1e+05,1000,0.01,2,random,mbkmeans,43.803,0.931,44.824
6,1e+05,1000,0.01,2,random,mbkmeans,46.564,1.012,47.585
7,1e+05,1000,0.01,2,random,mbkmeans,41.841,0.946,42.917
8,1e+05,1000,0.01,2,random,mbkmeans,39.33,0.806,40.145
9,1e+05,1000,0.01,2,random,mbkmeans,48.438,1.057,49.579
10,1e+05,1000,0.01,2,random,mbkmeans,41.576,0.903,42.487
1,1e+05,1000,0.01,3,random,mbkmeans,56.473,0.895,57.384
2,1e+05,1000,0.01,3,random,mbkmeans,51.422,1.064,52.526
3,1e+05,1000,0.01,3,random,mbkmeans,47.782,0.948,48.741
4,1e+05,1000,0.01,3,random,mbkmeans,52.121,1.049,53.179
5,1e+05,1000,0.01,3,random,mbkmeans,50.894,1.002,51.905
6,1e+05,1000,0.01,3,random,mbkmeans,47.507,0.926,48.443
7,1e+05,1000,0.01,3,random,mbkmeans,55.98,1.152,57.142
8,1e+05,1000,0.01,3,random,mbkmeans,48.866,0.846,49.72
9,1e+05,1000,0.01,3,random,mbkmeans,54.486,1.158,55.659
10,1e+05,1000,0.01,3,random,mbkmeans,51.349,1.022,52.479
1,1e+05,1000,0.01,4,random,mbkmeans,55.682,1.05,56.76
2,1e+05,1000,0.01,4,random,mbkmeans,52.419,0.81,53.241
3,1e+05,1000,0.01,4,random,mbkmeans,55.681,1.046,56.737
4,1e+05,1000,0.01,4,random,mbkmeans,51.433,1.073,52.516
5,1e+05,1000,0.01,4,random,mbkmeans,55.516,0.817,56.343
6,1e+05,1000,0.01,4,random,mbkmeans,59.021,1.08,60.115
7,1e+05,1000,0.01,4,random,mbkmeans,54.548,0.909,55.47
8,1e+05,1000,0.01,4,random,mbkmeans,53.245,1.165,54.463
9,1e+05,1000,0.01,4,random,mbkmeans,60.192,1.069,61.272
10,1e+05,1000,0.01,4,random,mbkmeans,58.249,1.008,59.294
1,1e+05,1000,0.01,5,random,mbkmeans,64.016,0.886,64.914
2,1e+05,1000,0.01,5,random,mbkmeans,63.353,0.86,64.225
3,1e+05,1000,0.01,5,random,mbkmeans,74.898,1.096,76.007
4,1e+05,1000,0.01,5,random,mbkmeans,60.271,0.991,61.273
5,1e+05,1000,0.01,5,random,mbkmeans,59.705,0.845,60.561
6,1e+05,1000,0.01,5,random,mbkmeans,63.068,0.856,63.936
7,1e+05,1000,0.01,5,random,mbkmeans,64.559,1.109,65.68
8,1e+05,1000,0.01,5,random,mbkmeans,61.903,0.861,62.776
9,1e+05,1000,0.01,5,random,mbkmeans,63.816,0.665,64.494
10,1e+05,1000,0.01,5,random,mbkmeans,62.596,0.829,63.436
1,1e+05,1000,0.01,6,random,mbkmeans,65.767,0.932,66.714
2,1e+05,1000,0.01,6,random,mbkmeans,72.323,1.003,73.354
3,1e+05,1000,0.01,6,random,mbkmeans,73.193,0.937,74.144
4,1e+05,1000,0.01,6,random,mbkmeans,80.075,1.334,81.464
5,1e+05,1000,0.01,6,random,mbkmeans,73.343,0.831,74.189
6,1e+05,1000,0.01,6,random,mbkmeans,69.775,0.816,70.651
7,1e+05,1000,0.01,6,random,mbkmeans,61.776,0.78,62.567
8,1e+05,1000,0.01,6,random,mbkmeans,72.428,0.874,73.347
9,1e+05,1000,0.01,6,random,mbkmeans,64.909,0.85,65.772
10,1e+05,1000,0.01,6,random,mbkmeans,67.918,1.138,69.077
1,1e+05,1000,0.01,7,random,mbkmeans,70.967,0.999,71.98
2,1e+05,1000,0.01,7,random,mbkmeans,86.442,0.886,87.351
3,1e+05,1000,0.01,7,random,mbkmeans,77.398,1.004,78.449
4,1e+05,1000,0.01,7,random,mbkmeans,74.372,0.854,75.26
5,1e+05,1000,0.01,7,random,mbkmeans,73.278,0.808,74.102
6,1e+05,1000,0.01,7,random,mbkmeans,79.372,1.049,80.505
7,1e+05,1000,0.01,7,random,mbkmeans,80.896,0.812,81.751
8,1e+05,1000,0.01,7,random,mbkmeans,75.23,0.874,76.152
9,1e+05,1000,0.01,7,random,mbkmeans,76.087,0.878,77.009
10,1e+05,1000,0.01,7,random,mbkmeans,76.877,0.802,77.692
1,1e+05,1000,0.01,8,random,mbkmeans,90.396,1.292,91.706
2,1e+05,1000,0.01,8,random,mbkmeans,82.897,0.796,83.708
3,1e+05,1000,0.01,8,random,mbkmeans,81.448,0.791,82.254
4,1e+05,1000,0.01,8,random,mbkmeans,85.514,0.966,86.541
5,1e+05,1000,0.01,8,random,mbkmeans,78.254,0.79,79.058
6,1e+05,1000,0.01,8,random,mbkmeans,92.9,0.934,93.857
7,1e+05,1000,0.01,8,random,mbkmeans,71.648,0.87,72.535
8,1e+05,1000,0.01,8,random,mbkmeans,74.572,1.1,75.734
9,1e+05,1000,0.01,8,random,mbkmeans,74.027,0.984,75.054
10,1e+05,1000,0.01,8,random,mbkmeans,80.942,0.828,81.81
1,1e+05,1000,0.01,9,random,mbkmeans,95.351,1.106,96.515
2,1e+05,1000,0.01,9,random,mbkmeans,78.303,0.739,79.06
3,1e+05,1000,0.01,9,random,mbkmeans,82.937,1.069,84.028
4,1e+05,1000,0.01,9,random,mbkmeans,79.084,0.864,79.981
5,1e+05,1000,0.01,9,random,mbkmeans,103.661,0.952,104.637
6,1e+05,1000,0.01,9,random,mbkmeans,92.087,0.895,93.001
7,1e+05,1000,0.01,9,random,mbkmeans,79.831,0.832,80.697
8,1e+05,1000,0.01,9,random,mbkmeans,102.232,1.187,103.438
9,1e+05,1000,0.01,9,random,mbkmeans,99.492,0.82,100.332
10,1e+05,1000,0.01,9,random,mbkmeans,107.164,1.676,108.872
1,1e+05,1000,0.01,10,random,mbkmeans,94.442,1.224,95.692
2,1e+05,1000,0.01,10,random,mbkmeans,94.026,1.529,95.648
3,1e+05,1000,0.01,10,random,mbkmeans,96.458,0.963,97.448
4,1e+05,1000,0.01,10,random,mbkmeans,93.085,1.161,94.27
5,1e+05,1000,0.01,10,random,mbkmeans,84.995,0.879,85.892
6,1e+05,1000,0.01,10,random,mbkmeans,107.81,1.198,109.039
7,1e+05,1000,0.01,10,random,mbkmeans,99.62,0.937,100.584
8,1e+05,1000,0.01,10,random,mbkmeans,79.739,0.832,80.587
9,1e+05,1000,0.01,10,random,mbkmeans,86.153,0.905,87.075
10,1e+05,1000,0.01,10,random,mbkmeans,100.445,0.968,101.435
1,1e+05,1000,0.01,11,random,mbkmeans,105.587,1.066,106.685
2,1e+05,1000,0.01,11,random,mbkmeans,104.852,1.369,106.243
3,1e+05,1000,0.01,11,random,mbkmeans,91.511,1.02,92.55
4,1e+05,1000,0.01,11,random,mbkmeans,116.054,1.056,117.135
5,1e+05,1000,0.01,11,random,mbkmeans,91.571,0.872,92.464
6,1e+05,1000,0.01,11,random,mbkmeans,88.796,0.788,89.618
7,1e+05,1000,0.01,11,random,mbkmeans,96.014,0.995,97.061
8,1e+05,1000,0.01,11,random,mbkmeans,101.873,1.1,103.038
9,1e+05,1000,0.01,11,random,mbkmeans,94.32,0.838,95.178
10,1e+05,1000,0.01,11,random,mbkmeans,102.325,0.936,103.28
1,1e+05,1000,0.01,12,random,mbkmeans,91.223,0.918,92.162
2,1e+05,1000,0.01,12,random,mbkmeans,105.773,1.111,106.925
3,1e+05,1000,0.01,12,random,mbkmeans,94.623,0.864,95.507
4,1e+05,1000,0.01,12,random,mbkmeans,99.771,0.836,100.649
5,1e+05,1000,0.01,12,random,mbkmeans,97.167,0.942,98.13
6,1e+05,1000,0.01,12,random,mbkmeans,103.997,1.129,105.146
7,1e+05,1000,0.01,12,random,mbkmeans,107.046,1.015,108.116
8,1e+05,1000,0.01,12,random,mbkmeans,107.853,0.856,108.732
9,1e+05,1000,0.01,12,random,mbkmeans,101.885,1.026,102.932
10,1e+05,1000,0.01,12,random,mbkmeans,102.176,0.951,103.148
1,1e+05,1000,0.01,13,random,mbkmeans,112.305,0.917,113.284
2,1e+05,1000,0.01,13,random,mbkmeans,127.108,0.87,128.124
3,1e+05,1000,0.01,13,random,mbkmeans,112.717,0.885,113.643
4,1e+05,1000,0.01,13,random,mbkmeans,113.108,0.904,114.057
5,1e+05,1000,0.01,13,random,mbkmeans,116.408,0.88,117.31
6,1e+05,1000,0.01,13,random,mbkmeans,126.515,1.026,127.567
7,1e+05,1000,0.01,13,random,mbkmeans,105.83,1.064,106.923
8,1e+05,1000,0.01,13,random,mbkmeans,111.788,0.941,112.756
9,1e+05,1000,0.01,13,random,mbkmeans,110.9,0.854,111.773
10,1e+05,1000,0.01,13,random,mbkmeans,116.939,0.907,117.867
1,1e+05,1000,0.01,14,random,mbkmeans,125.695,0.927,126.657
2,1e+05,1000,0.01,14,random,mbkmeans,124.987,0.929,125.953
3,1e+05,1000,0.01,14,random,mbkmeans,114.456,0.886,115.368
4,1e+05,1000,0.01,14,random,mbkmeans,112.649,1.017,113.688
5,1e+05,1000,0.01,14,random,mbkmeans,129.9,0.953,130.891
6,1e+05,1000,0.01,14,random,mbkmeans,112.554,1.19,113.85
7,1e+05,1000,0.01,14,random,mbkmeans,113.609,0.858,114.491
8,1e+05,1000,0.01,14,random,mbkmeans,127.857,1.012,128.894
9,1e+05,1000,0.01,14,random,mbkmeans,129.391,1.056,130.472
10,1e+05,1000,0.01,14,random,mbkmeans,122.384,0.805,123.214
1,1e+05,1000,0.01,15,random,mbkmeans,115.132,0.871,116.025
2,1e+05,1000,0.01,15,random,mbkmeans,143.869,0.911,144.809
3,1e+05,1000,0.01,15,random,mbkmeans,135.747,1.111,136.982
4,1e+05,1000,0.01,15,random,mbkmeans,130.78,1.08,131.884
5,1e+05,1000,0.01,15,random,mbkmeans,122.618,1.14,123.912
6,1e+05,1000,0.01,15,random,mbkmeans,125.59,1.094,126.709
7,1e+05,1000,0.01,15,random,mbkmeans,141.021,1.184,142.231
8,1e+05,1000,0.01,15,random,mbkmeans,123.715,1.093,124.88
9,1e+05,1000,0.01,15,random,mbkmeans,140.211,1.21,141.483
10,1e+05,1000,0.01,15,random,mbkmeans,126.269,0.861,127.157
1,1e+05,1000,0.01,16,random,mbkmeans,140.487,1.132,141.645
2,1e+05,1000,0.01,16,random,mbkmeans,150.03,1.119,151.178
3,1e+05,1000,0.01,16,random,mbkmeans,156.241,1.128,157.415
4,1e+05,1000,0.01,16,random,mbkmeans,131.585,0.977,132.616
5,1e+05,1000,0.01,16,random,mbkmeans,160.1,1.007,161.14
6,1e+05,1000,0.01,16,random,mbkmeans,134.507,1.078,135.623
7,1e+05,1000,0.01,16,random,mbkmeans,151.977,1.1,153.15
8,1e+05,1000,0.01,16,random,mbkmeans,167.504,1.018,168.556
9,1e+05,1000,0.01,16,random,mbkmeans,158.921,0.987,160.004
10,1e+05,1000,0.01,16,random,mbkmeans,144.963,1.176,146.187
1,1e+05,1000,0.01,17,random,mbkmeans,152.211,0.855,153.118
2,1e+05,1000,0.01,17,random,mbkmeans,162.919,0.996,163.948
3,1e+05,1000,0.01,17,random,mbkmeans,161.523,1.025,162.7
4,1e+05,1000,0.01,17,random,mbkmeans,145.991,0.883,146.907
5,1e+05,1000,0.01,17,random,mbkmeans,190.971,1.087,192.096
6,1e+05,1000,0.01,17,random,mbkmeans,135.897,1.026,136.95
7,1e+05,1000,0.01,17,random,mbkmeans,136.72,1.156,137.9
8,1e+05,1000,0.01,17,random,mbkmeans,134.282,0.928,135.236
9,1e+05,1000,0.01,17,random,mbkmeans,130.021,0.838,130.882
10,1e+05,1000,0.01,17,random,mbkmeans,141.225,0.921,142.181
1,1e+05,1000,0.01,18,random,mbkmeans,175.83,0.929,176.792
2,1e+05,1000,0.01,18,random,mbkmeans,133.024,0.816,133.865
3,1e+05,1000,0.01,18,random,mbkmeans,124.963,1.16,126.152
4,1e+05,1000,0.01,18,random,mbkmeans,137.341,1.034,138.422
5,1e+05,1000,0.01,18,random,mbkmeans,150.293,1.238,151.559
6,1e+05,1000,0.01,18,random,mbkmeans,161.915,1.272,163.299
7,1e+05,1000,0.01,18,random,mbkmeans,139.311,1.077,140.439
8,1e+05,1000,0.01,18,random,mbkmeans,164.466,1.142,165.64
9,1e+05,1000,0.01,18,random,mbkmeans,128.309,0.883,129.216
10,1e+05,1000,0.01,18,random,mbkmeans,140.346,1.13,141.503
1,1e+05,1000,0.01,19,random,mbkmeans,184.847,1.153,186.035
2,1e+05,1000,0.01,19,random,mbkmeans,147.053,0.821,147.901
3,1e+05,1000,0.01,19,random,mbkmeans,167.733,1.172,168.997
4,1e+05,1000,0.01,19,random,mbkmeans,138.225,1.22,139.48
5,1e+05,1000,0.01,19,random,mbkmeans,161.307,1.141,162.479
6,1e+05,1000,0.01,19,random,mbkmeans,152.149,1.301,153.491
7,1e+05,1000,0.01,19,random,mbkmeans,156.121,0.864,157.013
8,1e+05,1000,0.01,19,random,mbkmeans,181.651,0.991,182.677
