"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1e+05,1000,0.01,2,random,kmeans,79.827,3.97,83.813
2,1e+05,1000,0.01,2,random,kmeans,92.813,3.491,96.343
3,1e+05,1000,0.01,2,random,kmeans,104.474,3.182,107.69
4,1e+05,1000,0.01,2,random,kmeans,81.169,4.006,85.219
5,1e+05,1000,0.01,2,random,kmeans,80.566,4.061,84.643
6,1e+05,1000,0.01,2,random,kmeans,84.872,3.276,88.177
7,1e+05,1000,0.01,2,random,kmeans,73.487,4.095,77.601
8,1e+05,1000,0.01,2,random,kmeans,84.053,3.921,87.991
9,1e+05,1000,0.01,2,random,kmeans,80.502,4.515,85.057
10,1e+05,1000,0.01,2,random,kmeans,101.722,3.699,105.458
1,1e+05,1000,0.01,3,random,kmeans,88.052,4.177,92.246
2,1e+05,1000,0.01,3,random,kmeans,97.177,4.062,101.259
3,1e+05,1000,0.01,3,random,kmeans,94.614,3.989,98.626
4,1e+05,1000,0.01,3,random,kmeans,108.831,3.567,112.442
5,1e+05,1000,0.01,3,random,kmeans,107.326,3.881,111.231
6,1e+05,1000,0.01,3,random,kmeans,98.297,3.531,101.886
7,1e+05,1000,0.01,3,random,kmeans,106.715,3.664,110.405
8,1e+05,1000,0.01,3,random,kmeans,101.185,3.695,104.899
9,1e+05,1000,0.01,3,random,kmeans,105.318,3.91,109.25
10,1e+05,1000,0.01,3,random,kmeans,102.565,4.08,106.665
1,1e+05,1000,0.01,4,random,kmeans,158.538,4.172,162.742
2,1e+05,1000,0.01,4,random,kmeans,170.084,3.498,173.619
3,1e+05,1000,0.01,4,random,kmeans,132.279,3.536,135.851
4,1e+05,1000,0.01,4,random,kmeans,115.043,4.406,119.472
5,1e+05,1000,0.01,4,random,kmeans,116.716,4.39,121.13
6,1e+05,1000,0.01,4,random,kmeans,140.806,4.326,145.194
7,1e+05,1000,0.01,4,random,kmeans,146.855,4.023,150.926
8,1e+05,1000,0.01,4,random,kmeans,116.732,4.608,121.362
9,1e+05,1000,0.01,4,random,kmeans,139.458,3.262,142.749
10,1e+05,1000,0.01,4,random,kmeans,121.583,4.345,125.952
1,1e+05,1000,0.01,5,random,kmeans,164.088,4.024,168.145
2,1e+05,1000,0.01,5,random,kmeans,136.872,4.017,140.921
3,1e+05,1000,0.01,5,random,kmeans,168.555,3.246,171.864
4,1e+05,1000,0.01,5,random,kmeans,158.163,3.879,162.074
5,1e+05,1000,0.01,5,random,kmeans,150.488,4.081,154.646
6,1e+05,1000,0.01,5,random,kmeans,164.705,4.235,169.004
7,1e+05,1000,0.01,5,random,kmeans,167.471,3.318,170.824
8,1e+05,1000,0.01,5,random,kmeans,136.675,4.029,140.741
9,1e+05,1000,0.01,5,random,kmeans,116.12,4.509,120.651
10,1e+05,1000,0.01,5,random,kmeans,135.997,4.12,140.142
1,1e+05,1000,0.01,6,random,kmeans,170.789,3.685,174.509
2,1e+05,1000,0.01,6,random,kmeans,164.596,3.844,168.472
3,1e+05,1000,0.01,6,random,kmeans,143.01,3.704,146.741
4,1e+05,1000,0.01,6,random,kmeans,165.612,3.673,169.331
5,1e+05,1000,0.01,6,random,kmeans,153.757,3.692,157.479
6,1e+05,1000,0.01,6,random,kmeans,154.661,4.231,158.928
7,1e+05,1000,0.01,6,random,kmeans,192.869,3.334,196.246
8,1e+05,1000,0.01,6,random,kmeans,154.538,4.255,158.852
9,1e+05,1000,0.01,6,random,kmeans,137.978,3.704,141.739
10,1e+05,1000,0.01,6,random,kmeans,151.879,3.904,155.811
1,1e+05,1000,0.01,7,random,kmeans,151.148,3.753,154.931
2,1e+05,1000,0.01,7,random,kmeans,163.719,4.131,167.909
3,1e+05,1000,0.01,7,random,kmeans,177.155,3.71,180.914
4,1e+05,1000,0.01,7,random,kmeans,158.931,3.437,162.43
5,1e+05,1000,0.01,7,random,kmeans,165.942,3.756,169.731
6,1e+05,1000,0.01,7,random,kmeans,153.789,3.486,157.31
7,1e+05,1000,0.01,7,random,kmeans,128.026,4.415,132.488
8,1e+05,1000,0.01,7,random,kmeans,134.123,4.329,138.479
9,1e+05,1000,0.01,7,random,kmeans,144.497,4.181,148.723
10,1e+05,1000,0.01,7,random,kmeans,153.981,4.403,158.414
1,1e+05,1000,0.01,8,random,kmeans,177.456,4.092,181.604
2,1e+05,1000,0.01,8,random,kmeans,152.832,3.714,156.586
3,1e+05,1000,0.01,8,random,kmeans,146.129,4.134,150.291
4,1e+05,1000,0.01,8,random,kmeans,171.089,4.221,175.344
5,1e+05,1000,0.01,8,random,kmeans,166.056,4.677,170.767
6,1e+05,1000,0.01,8,random,kmeans,180.07,3.746,183.86
7,1e+05,1000,0.01,8,random,kmeans,185.761,3.905,189.713
8,1e+05,1000,0.01,8,random,kmeans,165.088,4.105,169.226
9,1e+05,1000,0.01,8,random,kmeans,167.842,4.188,172.147
10,1e+05,1000,0.01,8,random,kmeans,188.116,4.005,192.159
1,1e+05,1000,0.01,9,random,kmeans,157.801,3.902,161.737
2,1e+05,1000,0.01,9,random,kmeans,157.793,3.621,161.447
3,1e+05,1000,0.01,9,random,kmeans,155.083,3.829,158.941
4,1e+05,1000,0.01,9,random,kmeans,152.305,4.668,157.003
5,1e+05,1000,0.01,9,random,kmeans,144.624,3.302,147.955
6,1e+05,1000,0.01,9,random,kmeans,150.978,3.808,154.818
7,1e+05,1000,0.01,9,random,kmeans,181.365,4.426,185.828
8,1e+05,1000,0.01,9,random,kmeans,168.175,4.29,172.498
9,1e+05,1000,0.01,9,random,kmeans,165.891,4.242,170.164
10,1e+05,1000,0.01,9,random,kmeans,166.302,4.267,170.599
1,1e+05,1000,0.01,10,random,kmeans,180.086,3.824,183.944
2,1e+05,1000,0.01,10,random,kmeans,161.048,4.107,165.184
3,1e+05,1000,0.01,10,random,kmeans,147.831,3.784,151.644
4,1e+05,1000,0.01,10,random,kmeans,160.78,3.95,164.76
5,1e+05,1000,0.01,10,random,kmeans,175.055,4.146,179.238
6,1e+05,1000,0.01,10,random,kmeans,172.387,3.597,176.039
7,1e+05,1000,0.01,10,random,kmeans,165.147,3.99,169.174
8,1e+05,1000,0.01,10,random,kmeans,150.656,4.192,154.878
9,1e+05,1000,0.01,10,random,kmeans,198.685,3.823,202.586
10,1e+05,1000,0.01,10,random,kmeans,158.799,4.002,162.833
1,1e+05,1000,0.01,11,random,kmeans,180.593,3.374,184.002
2,1e+05,1000,0.01,11,random,kmeans,172.119,3.508,175.662
3,1e+05,1000,0.01,11,random,kmeans,160.28,4.086,164.396
4,1e+05,1000,0.01,11,random,kmeans,164.209,3.935,168.178
5,1e+05,1000,0.01,11,random,kmeans,170.563,4.263,174.858
6,1e+05,1000,0.01,11,random,kmeans,215.098,3.598,218.74
7,1e+05,1000,0.01,11,random,kmeans,161.686,3.925,165.643
8,1e+05,1000,0.01,11,random,kmeans,185.386,3.974,189.397
9,1e+05,1000,0.01,11,random,kmeans,195.753,4.16,199.949
10,1e+05,1000,0.01,11,random,kmeans,165.177,4.192,169.4
1,1e+05,1000,0.01,12,random,kmeans,191.725,3.982,195.745
2,1e+05,1000,0.01,12,random,kmeans,193.736,3.522,197.327
3,1e+05,1000,0.01,12,random,kmeans,191.314,4.327,195.677
4,1e+05,1000,0.01,12,random,kmeans,180.098,4.254,184.388
5,1e+05,1000,0.01,12,random,kmeans,181.879,4.327,186.245
6,1e+05,1000,0.01,12,random,kmeans,180.11,4.015,184.164
7,1e+05,1000,0.01,12,random,kmeans,187.453,3.828,191.32
8,1e+05,1000,0.01,12,random,kmeans,179.863,4.177,184.076
9,1e+05,1000,0.01,12,random,kmeans,207.684,3.73,211.455
