"B","observations","genes","abs_batch","k","method","WCSS"
1,10000,5000,10,15,kmeans,237938134.195699
2,10000,5000,10,15,kmeans,300368285.934359
3,10000,5000,10,15,kmeans,238933707.699174
4,10000,5000,10,15,kmeans,237937968.515843
5,10000,5000,10,15,kmeans,300052865.680434
1,10000,5000,35,15,kmeans,238378741.345926
2,10000,5000,35,15,kmeans,237790688.071803
3,10000,5000,35,15,kmeans,238248441.025449
4,10000,5000,35,15,kmeans,237381584.966911
5,10000,5000,35,15,kmeans,300485184.899493
1,10000,5000,75,15,kmeans,300859713.820622
2,10000,5000,75,15,kmeans,237381584.966911
3,10000,5000,75,15,kmeans,299575598.61799
4,10000,5000,75,15,kmeans,300221882.942793
5,10000,5000,75,15,kmeans,300324697.255501
