"B","observations","genes","abs_batch","k","initializer","method","ARI","WCSS","iterations","fault"
1,500,1000,10,3,random,hdf5,0.993963202608262,1206587.23443179,38,NA
2,500,1000,10,3,random,hdf5,0.966159071704537,1162042.51747969,21,NA
3,500,1000,10,3,random,hdf5,0.993867579622815,1313830.74877354,16,NA
4,500,1000,10,3,random,hdf5,0.994139802388833,1152975.44395228,28,NA
5,500,1000,10,3,random,hdf5,0.993312034497031,1230365.42814697,18,NA
6,500,1000,10,3,random,hdf5,0.98064430157577,1789531.59232613,13,NA
7,500,1000,10,3,random,hdf5,0.945715293208356,1259002.04722668,13,NA
8,500,1000,10,3,random,hdf5,0.987205506656914,1348889.11600317,21,NA
9,500,1000,10,3,random,hdf5,0.986558229427969,1258141.52083933,14,NA
10,500,1000,10,3,random,hdf5,0.974622419509445,1240245.58219417,19,NA
11,500,1000,10,3,random,hdf5,0.951109751018083,1546592.97848724,19,NA
12,500,1000,10,3,random,hdf5,0.979804382311598,1411675.49747637,18,NA
13,500,1000,10,3,random,hdf5,0.980471696638806,1264906.67184779,12,NA
14,500,1000,10,3,random,hdf5,1,1337422.16637502,18,NA
15,500,1000,10,3,random,hdf5,0.993144942664712,1273153.85361642,17,NA
16,500,1000,10,3,random,hdf5,0.99398162604121,1144661.84062627,23,NA
17,500,1000,10,3,random,hdf5,0.969712568409381,1164752.18990039,28,NA
18,500,1000,10,3,random,hdf5,0.993252701949642,1219112.13917884,22,NA
19,500,1000,10,3,random,hdf5,0.994076035463615,1481670.89254253,13,NA
20,500,1000,10,3,random,hdf5,0.986665444683679,1398566.32644998,23,NA
21,500,1000,10,3,random,hdf5,0.948114672640225,1383537.61239897,14,NA
22,500,1000,10,3,random,hdf5,0.954046120699868,1233609.9981532,11,NA
23,500,1000,10,3,random,hdf5,0.986587218264341,1231193.11484029,12,NA
24,500,1000,10,3,random,hdf5,0.974469847830897,1197309.63086346,15,NA
25,500,1000,10,3,random,hdf5,0.99321896382242,1230186.81991838,23,NA
26,500,1000,10,3,random,hdf5,0.993208521205633,1247695.90865631,14,NA
27,500,1000,10,3,random,hdf5,0.965993502538132,1514251.75497413,17,NA
28,500,1000,10,3,random,hdf5,1,1353210.01085118,26,NA
29,500,1000,10,3,random,hdf5,0.993894113256875,1403956.51902192,17,NA
30,500,1000,10,3,random,hdf5,0.993300099164914,1323192.04530164,22,NA
31,500,1000,10,3,random,hdf5,0.980574121904504,1290007.64539876,26,NA
32,500,1000,10,3,random,hdf5,0.96700027100752,1375377.36281625,15,NA
