"B","observations","genes","abs_batch","k","method","WCSS"
1,10000,5000,10,15,hdf5,1904564074.8
2,10000,5000,10,15,hdf5,1202722128.8
3,10000,5000,10,15,hdf5,579452824.014723
4,10000,5000,10,15,hdf5,637549552.555555
5,10000,5000,10,15,hdf5,701286744.583333
6,10000,5000,10,15,hdf5,1134708934.5
7,10000,5000,10,15,hdf5,567479699.410006
8,10000,5000,10,15,hdf5,863066352.3125
9,10000,5000,10,15,hdf5,698814907.8125
10,10000,5000,10,15,hdf5,1510729034.38888
11,10000,5000,10,15,hdf5,470470104.480005
12,10000,5000,10,15,hdf5,4049939291.54321
13,10000,5000,10,15,hdf5,1620472338.77778
14,10000,5000,10,15,hdf5,1440672777.22996
15,10000,5000,10,15,hdf5,897661182.166667
16,10000,5000,10,15,hdf5,769738617.91358
17,10000,5000,10,15,hdf5,721447559.333334
18,10000,5000,10,15,hdf5,1181559832.5
19,10000,5000,10,15,hdf5,397961431.75
20,10000,5000,10,15,hdf5,647765866.000001
21,10000,5000,10,15,hdf5,491181531.000002
22,10000,5000,10,15,hdf5,667960040.773334
23,10000,5000,10,15,hdf5,1088360725.49383
24,10000,5000,10,15,hdf5,501110145.444445
25,10000,5000,10,15,hdf5,505878654.540002
26,10000,5000,10,15,hdf5,596429669.907406
27,10000,5000,10,15,hdf5,809188684.428576
28,10000,5000,10,15,hdf5,652043869.265625
29,10000,5000,10,15,hdf5,720535496.5625
30,10000,5000,10,15,hdf5,1087542497.58333
31,10000,5000,10,15,hdf5,447804932.875
32,10000,5000,10,15,hdf5,953721021.650004
33,10000,5000,10,15,hdf5,1887253705.99999
34,10000,5000,10,15,hdf5,665445117.577502
35,10000,5000,10,15,hdf5,1679154531.5
36,10000,5000,10,15,hdf5,469763269.125
37,10000,5000,10,15,hdf5,707609933.444446
38,10000,5000,10,15,hdf5,1895328344.88886
39,10000,5000,10,15,hdf5,529269052.879254
40,10000,5000,10,15,hdf5,36558820493.8889
41,10000,5000,10,15,hdf5,1032974976.46
42,10000,5000,10,15,hdf5,919205503.90625
43,10000,5000,10,15,hdf5,1117804562.12132
44,10000,5000,10,15,hdf5,807754224.821433
45,10000,5000,10,15,hdf5,687442972.676879
46,10000,5000,10,15,hdf5,638886009.5625
47,10000,5000,10,15,hdf5,559087850.666665
48,10000,5000,10,15,hdf5,596361590.870753
49,10000,5000,10,15,hdf5,1363145242.07
50,10000,5000,10,15,hdf5,1748290718
1,10000,5000,35,15,hdf5,435653982.14796
2,10000,5000,35,15,hdf5,405313964.134549
3,10000,5000,35,15,hdf5,2828796561.30083
4,10000,5000,35,15,hdf5,406300455.988204
5,10000,5000,35,15,hdf5,653627600.050249
6,10000,5000,35,15,hdf5,373700403.258713
7,10000,5000,35,15,hdf5,373021676.901303
8,10000,5000,35,15,hdf5,680461954.946665
9,10000,5000,35,15,hdf5,431283189.875575
10,10000,5000,35,15,hdf5,366588454.025452
11,10000,5000,35,15,hdf5,420174076.36
12,10000,5000,35,15,hdf5,512586638.465276
13,10000,5000,35,15,hdf5,631671809.866133
14,10000,5000,35,15,hdf5,455125616.352814
15,10000,5000,35,15,hdf5,579888530.371039
16,10000,5000,35,15,hdf5,885952443.40047
17,10000,5000,35,15,hdf5,704215591.392656
