"B","observations","genes","abs_batch","k","method","WCSS"
1,5000,5000,10,15,mbkmeans,254353673.333333
2,5000,5000,10,15,mbkmeans,262324287.733333
3,5000,5000,10,15,mbkmeans,275919120.650002
4,5000,5000,10,15,mbkmeans,276956470.166666
5,5000,5000,10,15,mbkmeans,205535305
6,5000,5000,10,15,mbkmeans,890697271.555552
7,5000,5000,10,15,mbkmeans,201995297.070002
8,5000,5000,10,15,mbkmeans,161607927.448981
9,5000,5000,10,15,mbkmeans,342045178.694445
10,5000,5000,10,15,mbkmeans,928073259.546875
11,5000,5000,10,15,mbkmeans,228589344.826668
12,5000,5000,10,15,mbkmeans,176849621
13,5000,5000,10,15,mbkmeans,239254103.944444
14,5000,5000,10,15,mbkmeans,335823539.9375
15,5000,5000,10,15,mbkmeans,262009735.666667
16,5000,5000,10,15,mbkmeans,272463963.592593
17,5000,5000,10,15,mbkmeans,185007992.555555
18,5000,5000,10,15,mbkmeans,182380234.555555
19,5000,5000,10,15,mbkmeans,178859390.8125
20,5000,5000,10,15,mbkmeans,167909595.9375
21,5000,5000,10,15,mbkmeans,422572626.3125
22,5000,5000,10,15,mbkmeans,304162447.917501
23,5000,5000,10,15,mbkmeans,445231582.5
24,5000,5000,10,15,mbkmeans,506560978.375
25,5000,5000,10,15,mbkmeans,262479619.098766
26,5000,5000,10,15,mbkmeans,216819125.03125
27,5000,5000,10,15,mbkmeans,155704485.020833
28,5000,5000,10,15,mbkmeans,196331696.428574
29,5000,5000,10,15,mbkmeans,321124898.5
30,5000,5000,10,15,mbkmeans,318817132.510206
31,5000,5000,10,15,mbkmeans,191263776.9375
32,5000,5000,10,15,mbkmeans,172359190.703704
33,5000,5000,10,15,mbkmeans,261560668.270001
34,5000,5000,10,15,mbkmeans,196474254.93889
35,5000,5000,10,15,mbkmeans,196004274.909722
36,5000,5000,10,15,mbkmeans,194837236.388888
37,5000,5000,10,15,mbkmeans,471394599.890625
38,5000,5000,10,15,mbkmeans,471332879.859375
39,5000,5000,10,15,mbkmeans,199125503.320001
40,5000,5000,10,15,mbkmeans,254590736.083333
41,5000,5000,10,15,mbkmeans,212505672.142859
42,5000,5000,10,15,mbkmeans,213698398.416666
43,5000,5000,10,15,mbkmeans,205434287.510205
44,5000,5000,10,15,mbkmeans,212738845.109375
45,5000,5000,10,15,mbkmeans,184167741.622451
46,5000,5000,10,15,mbkmeans,187508327.109375
47,5000,5000,10,15,mbkmeans,303227669
48,5000,5000,10,15,mbkmeans,159125079.632655
49,5000,5000,10,15,mbkmeans,268817269.0625
50,5000,5000,10,15,mbkmeans,221907313.222224
1,5000,5000,35,15,mbkmeans,188055239.809028
2,5000,5000,35,15,mbkmeans,154658267.152433
3,5000,5000,35,15,mbkmeans,211748577.164859
4,5000,5000,35,15,mbkmeans,395842486.863704
5,5000,5000,35,15,mbkmeans,168193303.369616
6,5000,5000,35,15,mbkmeans,250196186.172729
7,5000,5000,35,15,mbkmeans,195058500.721939
8,5000,5000,35,15,mbkmeans,157947445.000002
9,5000,5000,35,15,mbkmeans,177526846.056926
10,5000,5000,35,15,mbkmeans,143486390.986758
11,5000,5000,35,15,mbkmeans,182739316.724047
12,5000,5000,35,15,mbkmeans,184969418.413576
13,5000,5000,35,15,mbkmeans,189820198.409335
14,5000,5000,35,15,mbkmeans,175062366.272534
15,5000,5000,35,15,mbkmeans,175326821.794003
16,5000,5000,35,15,mbkmeans,205027808.15794
17,5000,5000,35,15,mbkmeans,214868987.794029
18,5000,5000,35,15,mbkmeans,198979308.822267
19,5000,5000,35,15,mbkmeans,155494965.046296
20,5000,5000,35,15,mbkmeans,166669919.631304
21,5000,5000,35,15,mbkmeans,226839467.573691
22,5000,5000,35,15,mbkmeans,210890027.494834
23,5000,5000,35,15,mbkmeans,209427298.713542
24,5000,5000,35,15,mbkmeans,201995735.25467
25,5000,5000,35,15,mbkmeans,146880250.648212
26,5000,5000,35,15,mbkmeans,208678038.408982
27,5000,5000,35,15,mbkmeans,178401802.791839
28,5000,5000,35,15,mbkmeans,191113184.579011
29,5000,5000,35,15,mbkmeans,157297377.071046
30,5000,5000,35,15,mbkmeans,166442215.167653
31,5000,5000,35,15,mbkmeans,160421332.0316
32,5000,5000,35,15,mbkmeans,216193441.165
33,5000,5000,35,15,mbkmeans,183741732.290251
34,5000,5000,35,15,mbkmeans,183493676.282667
35,5000,5000,35,15,mbkmeans,284710536.857339
36,5000,5000,35,15,mbkmeans,152062528.552475
37,5000,5000,35,15,mbkmeans,187328597.011727
38,5000,5000,35,15,mbkmeans,193815840.40219
39,5000,5000,35,15,mbkmeans,194749637.987516
40,5000,5000,35,15,mbkmeans,178595394.35905
41,5000,5000,35,15,mbkmeans,149874893.122771
42,5000,5000,35,15,mbkmeans,241896713.742777
43,5000,5000,35,15,mbkmeans,299454077.456669
44,5000,5000,35,15,mbkmeans,203002063.848678
45,5000,5000,35,15,mbkmeans,281723754.030157
46,5000,5000,35,15,mbkmeans,183028481.288194
47,5000,5000,35,15,mbkmeans,197406183.553164
48,5000,5000,35,15,mbkmeans,244731121.661493
49,5000,5000,35,15,mbkmeans,182713830.964876
50,5000,5000,35,15,mbkmeans,528792793.676174
1,5000,5000,75,15,mbkmeans,229229399.58117
2,5000,5000,75,15,mbkmeans,197354335.520924
3,5000,5000,75,15,mbkmeans,202787062.379546
4,5000,5000,75,15,mbkmeans,145594681.610739
5,5000,5000,75,15,mbkmeans,155120153.635172
6,5000,5000,75,15,mbkmeans,191809941.90722
7,5000,5000,75,15,mbkmeans,202674313.819731
8,5000,5000,75,15,mbkmeans,174582986.136835
9,5000,5000,75,15,mbkmeans,220949139.612768
10,5000,5000,75,15,mbkmeans,237089238.268024
11,5000,5000,75,15,mbkmeans,189913476.244518
12,5000,5000,75,15,mbkmeans,250081893.307037
13,5000,5000,75,15,mbkmeans,145722224.710446
14,5000,5000,75,15,mbkmeans,146511819.64497
15,5000,5000,75,15,mbkmeans,146627798.062372
16,5000,5000,75,15,mbkmeans,171973612.296288
17,5000,5000,75,15,mbkmeans,163148703.255188
18,5000,5000,75,15,mbkmeans,167512008.444672
19,5000,5000,75,15,mbkmeans,186071351.35219
20,5000,5000,75,15,mbkmeans,155428020.168094
21,5000,5000,75,15,mbkmeans,157895288.57766
22,5000,5000,75,15,mbkmeans,163457737.723505
23,5000,5000,75,15,mbkmeans,194102614.764581
24,5000,5000,75,15,mbkmeans,234713887.456944
25,5000,5000,75,15,mbkmeans,242060592.380008
26,5000,5000,75,15,mbkmeans,188122315.762864
27,5000,5000,75,15,mbkmeans,191759905.678879
28,5000,5000,75,15,mbkmeans,152362899.711089
29,5000,5000,75,15,mbkmeans,188098520.122556
30,5000,5000,75,15,mbkmeans,155892059.981591
31,5000,5000,75,15,mbkmeans,176592168.70949
32,5000,5000,75,15,mbkmeans,185747951.113063
33,5000,5000,75,15,mbkmeans,214498606.101532
34,5000,5000,75,15,mbkmeans,165013221.055454
35,5000,5000,75,15,mbkmeans,169418088.941849
36,5000,5000,75,15,mbkmeans,193688319.699274
37,5000,5000,75,15,mbkmeans,245557612.69085
38,5000,5000,75,15,mbkmeans,206597626.421202
39,5000,5000,75,15,mbkmeans,179992289.621775
40,5000,5000,75,15,mbkmeans,208771441.919936
41,5000,5000,75,15,mbkmeans,144590881.501061
42,5000,5000,75,15,mbkmeans,206952819.247132
43,5000,5000,75,15,mbkmeans,212006286.670798
44,5000,5000,75,15,mbkmeans,150195016.505506
45,5000,5000,75,15,mbkmeans,163422862.913985
46,5000,5000,75,15,mbkmeans,219051456.401373
47,5000,5000,75,15,mbkmeans,139072390.339205
48,5000,5000,75,15,mbkmeans,152564413.445494
49,5000,5000,75,15,mbkmeans,147975284.328803
50,5000,5000,75,15,mbkmeans,199652174.729551
1,5000,5000,150,15,mbkmeans,182742158.293964
2,5000,5000,150,15,mbkmeans,134703110.432112
3,5000,5000,150,15,mbkmeans,135536364.472188
4,5000,5000,150,15,mbkmeans,224313783.242821
5,5000,5000,150,15,mbkmeans,225081140.657655
6,5000,5000,150,15,mbkmeans,182663812.698106
7,5000,5000,150,15,mbkmeans,137617385.691147
8,5000,5000,150,15,mbkmeans,289508443.925784
9,5000,5000,150,15,mbkmeans,166567462.221713
10,5000,5000,150,15,mbkmeans,161261117.582266
11,5000,5000,150,15,mbkmeans,188987582.907915
12,5000,5000,150,15,mbkmeans,190245562.274241
13,5000,5000,150,15,mbkmeans,162696610.802099
14,5000,5000,150,15,mbkmeans,147445807.626439
15,5000,5000,150,15,mbkmeans,214749294.286622
16,5000,5000,150,15,mbkmeans,150669267.912637
17,5000,5000,150,15,mbkmeans,131335851.093058
18,5000,5000,150,15,mbkmeans,164705487.346526
19,5000,5000,150,15,mbkmeans,133959232.355716
20,5000,5000,150,15,mbkmeans,168733859.170087
21,5000,5000,150,15,mbkmeans,159134902.980034
22,5000,5000,150,15,mbkmeans,210269431.093328
23,5000,5000,150,15,mbkmeans,132686800.587993
24,5000,5000,150,15,mbkmeans,154336120.712015
25,5000,5000,150,15,mbkmeans,160542946.712886
26,5000,5000,150,15,mbkmeans,154575933.853368
27,5000,5000,150,15,mbkmeans,159212291.310687
28,5000,5000,150,15,mbkmeans,125388781.462368
29,5000,5000,150,15,mbkmeans,138981636.417331
30,5000,5000,150,15,mbkmeans,135622555.722925
31,5000,5000,150,15,mbkmeans,154417240.809002
32,5000,5000,150,15,mbkmeans,191827050.028673
33,5000,5000,150,15,mbkmeans,151859883.67114
34,5000,5000,150,15,mbkmeans,133846497.552576
35,5000,5000,150,15,mbkmeans,174154570.571593
36,5000,5000,150,15,mbkmeans,127927035.046728
37,5000,5000,150,15,mbkmeans,221937730.786809
38,5000,5000,150,15,mbkmeans,228693769.154255
39,5000,5000,150,15,mbkmeans,162930675.318273
40,5000,5000,150,15,mbkmeans,132681055.476618
41,5000,5000,150,15,mbkmeans,192103038.65246
42,5000,5000,150,15,mbkmeans,132104536.21081
43,5000,5000,150,15,mbkmeans,151280690.445719
44,5000,5000,150,15,mbkmeans,172877718.902747
45,5000,5000,150,15,mbkmeans,124710264.239987
46,5000,5000,150,15,mbkmeans,158584253.150239
47,5000,5000,150,15,mbkmeans,185055174.41343
48,5000,5000,150,15,mbkmeans,165425801.108878
49,5000,5000,150,15,mbkmeans,162439592.373745
50,5000,5000,150,15,mbkmeans,131990468.445443
