B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
1,500,1000,10,3,random,kmeans,1,970977.8587,2,0
2,500,1000,10,3,random,kmeans,0.987282267,1020085.986,2,0
3,500,1000,10,3,random,kmeans,0.993259535,993812.6204,2,0
4,500,1000,10,3,random,kmeans,0.993886166,1007448.591,2,0
5,500,1000,10,3,random,kmeans,0.993693071,879435.7996,2,0
6,500,1000,10,3,random,kmeans,0.98723981,1012278.388,2,0
7,500,1000,10,3,random,kmeans,0.994275829,1024653.626,2,0
8,500,1000,10,3,random,kmeans,0.987304402,1019560.503,2,0
9,500,1000,10,3,random,kmeans,1,987751.8148,2,0
10,500,1000,10,3,random,kmeans,0.993121594,1047005.682,2,0
11,500,1000,10,3,random,kmeans,1,959866.467,2,0
12,500,1000,10,3,random,kmeans,0.993258804,1035843.27,2,0
13,500,1000,10,3,random,kmeans,1,967410.1426,2,0
14,500,1000,10,3,random,kmeans,0.967794056,1027764.249,2,0
15,500,1000,10,3,random,kmeans,1,999401.0212,2,0
16,500,1000,10,3,random,kmeans,0.994350199,983831.8814,2,0
17,500,1000,10,3,random,kmeans,0.98728256,974468.3724,2,0
18,500,1000,10,3,random,kmeans,1,970339.4991,1,0
19,500,1000,10,3,random,kmeans,0.993044532,996446.5292,2,0
20,500,1000,10,3,random,kmeans,1,917242.8837,2,0
1,500,1000,35,3,random,kmeans,0.987275104,982685.1376,2,0
2,500,1000,35,3,random,kmeans,0.987960824,956309.2144,2,0
3,500,1000,35,3,random,kmeans,1,1013050.717,2,0
4,500,1000,35,3,random,kmeans,0.98650452,954306.4219,2,0
5,500,1000,35,3,random,kmeans,0.987363254,992153.8693,2,0
6,500,1000,35,3,random,kmeans,1,1031303.81,2,0
7,500,1000,35,3,random,kmeans,1,952481.9288,2,0
8,500,1000,35,3,random,kmeans,0.994201136,989158.1359,2,0
9,500,1000,35,3,random,kmeans,0.987356079,1161638.098,2,0
10,500,1000,35,3,random,kmeans,1,950045.0333,2,0
11,500,1000,35,3,random,kmeans,0.987509587,977222.6142,2,0
12,500,1000,35,3,random,kmeans,1,1000412.355,3,0
13,500,1000,35,3,random,kmeans,1,1031413.676,2,0
14,500,1000,35,3,random,kmeans,0.992938529,974883.5908,2,0
15,500,1000,35,3,random,kmeans,1,955074.322,2,0
16,500,1000,35,3,random,kmeans,0.986373999,940077.9893,3,0
17,500,1000,35,3,random,kmeans,0.993178128,998115.3243,2,0
18,500,1000,35,3,random,kmeans,0.993224143,994480.6746,2,0
19,500,1000,35,3,random,kmeans,0.993063083,1021717.082,2,0
20,500,1000,35,3,random,kmeans,0.994115734,1040858.08,2,0
1,500,1000,75,3,random,kmeans,0.979560444,1019214.323,2,0
2,500,1000,75,3,random,kmeans,0.994044082,915650.5852,2,0
3,500,1000,75,3,random,kmeans,0.994061385,1011949.644,2,0
4,500,1000,75,3,random,kmeans,0.987909968,1009589.094,2,0
5,500,1000,75,3,random,kmeans,1,983058.183,3,0
6,500,1000,75,3,random,kmeans,0.986472481,975875.5717,2,0
7,500,1000,75,3,random,kmeans,0.994034482,1062000.107,2,0
8,500,1000,75,3,random,kmeans,1,977751.2478,2,0
9,500,1000,75,3,random,kmeans,1,972818.1782,2,0
10,500,1000,75,3,random,kmeans,0.993905572,1019244.591,2,0
11,500,1000,75,3,random,kmeans,1,959277.8619,2,0
12,500,1000,75,3,random,kmeans,1,931236.1346,2,0
13,500,1000,75,3,random,kmeans,1,953190.2507,2,0
14,500,1000,75,3,random,kmeans,0.994068651,1039226.583,2,0
15,500,1000,75,3,random,kmeans,0.994015847,990361.3054,2,0
16,500,1000,75,3,random,kmeans,1,928987.3093,2,0
17,500,1000,75,3,random,kmeans,0.98272941,1028501.585,2,0
18,500,1000,75,3,random,kmeans,1,918053.6473,2,0
19,500,1000,75,3,random,kmeans,1,989553.8714,2,0
20,500,1000,75,3,random,kmeans,0.982393327,983669.9317,2,0
1,500,1000,150,3,random,kmeans,0.987981269,1003425.273,2,0
2,500,1000,150,3,random,kmeans,0.993312034,989836.3211,2,0
3,500,1000,150,3,random,kmeans,0.965504195,982339.0017,3,0
4,500,1000,150,3,random,kmeans,0.993511744,983674.6239,2,0
5,500,1000,150,3,random,kmeans,0.981327688,1037069.915,2,0
6,500,1000,150,3,random,kmeans,1,1031949.95,2,0
7,500,1000,150,3,random,kmeans,0.988565318,930067.5018,2,0
8,500,1000,150,3,random,kmeans,0.987257966,973032.6504,2,0
9,500,1000,150,3,random,kmeans,1,958892.1639,2,0
10,500,1000,150,3,random,kmeans,0.980435536,963566.3865,2,0
11,500,1000,150,3,random,kmeans,0.988987466,983280.3636,3,0
12,500,1000,150,3,random,kmeans,1,967593.1255,1,0
13,500,1000,150,3,random,kmeans,1,966975.898,2,0
14,500,1000,150,3,random,kmeans,1,962591.1979,2,0
15,500,1000,150,3,random,kmeans,0.987106621,1083150.396,2,0
16,500,1000,150,3,random,kmeans,0.99401012,1018716.908,2,0
17,500,1000,150,3,random,kmeans,0.980455412,939694.9174,2,0
18,500,1000,150,3,random,kmeans,0.993230982,1051482.149,2,0
19,500,1000,150,3,random,kmeans,0.987232963,937922.6697,2,0
20,500,1000,150,3,random,kmeans,1,997841.1631,2,0
1,500,1000,500,3,random,kmeans,0.993094165,996405.7383,3,0
2,500,1000,500,3,random,kmeans,0.993192177,1025947.058,1,0
3,500,1000,500,3,random,kmeans,0.973413378,1042465.451,2,0
4,500,1000,500,3,random,kmeans,0.993232739,972352.1719,2,0
5,500,1000,500,3,random,kmeans,0.987290705,1045289.201,1,0
6,500,1000,500,3,random,kmeans,0.986241352,952293.1971,3,0
7,500,1000,500,3,random,kmeans,0.993104182,1062128.478,1,0
8,500,1000,500,3,random,kmeans,1,1017456.369,2,0
9,500,1000,500,3,random,kmeans,0.993375088,983699.5673,3,0
10,500,1000,500,3,random,kmeans,0.980530324,1039275.376,2,0
11,500,1000,500,3,random,kmeans,1,967336.5846,2,0
12,500,1000,500,3,random,kmeans,1,1001764.191,2,0
13,500,1000,500,3,random,kmeans,0.993198427,908623.1357,2,0
14,500,1000,500,3,random,kmeans,0.993200804,989672.8776,2,0
15,500,1000,500,3,random,kmeans,1,979043.6009,2,0
16,500,1000,500,3,random,kmeans,0.98156207,1039450.162,2,0
17,500,1000,500,3,random,kmeans,0.993124932,956267.7046,2,0
18,500,1000,500,3,random,kmeans,1,1034512.761,2,0
19,500,1000,500,3,random,kmeans,1,949283.1982,2,0
20,500,1000,500,3,random,kmeans,0.98104969,928893.4258,1,0
1,500,1000,750,3,random,kmeans,0.980564313,1005806.023,2,0
2,500,1000,750,3,random,kmeans,0.993217838,926644.8222,2,0
3,500,1000,750,3,random,kmeans,0.988598827,978668.3326,2,0
4,500,1000,750,3,random,kmeans,0.984253487,1044806.859,2,0
5,500,1000,750,3,random,kmeans,1,1003084.898,2,0
6,500,1000,750,3,random,kmeans,0.993189779,1000767.448,2,0
7,500,1000,750,3,random,kmeans,0.993931816,971864.5054,1,0
8,500,1000,750,3,random,kmeans,0.988228695,1032318.017,2,0
9,500,1000,750,3,random,kmeans,1,1005622.035,2,0
10,500,1000,750,3,random,kmeans,1,979010.9849,2,0
11,500,1000,750,3,random,kmeans,0.99427326,997919.6225,2,0
12,500,1000,750,3,random,kmeans,0.986371303,942782.4778,2,0
13,500,1000,750,3,random,kmeans,0.993239064,1044979.088,2,0
14,500,1000,750,3,random,kmeans,0.986767824,1056970.05,2,0
15,500,1000,750,3,random,kmeans,1,914223.3689,2,0
16,500,1000,750,3,random,kmeans,1,1017797.957,2,0
17,500,1000,750,3,random,kmeans,0.98734349,957495.681,3,0
18,500,1000,750,3,random,kmeans,1,986358.1193,2,0
19,500,1000,750,3,random,kmeans,1,1022254.088,2,0
20,500,1000,750,3,random,kmeans,0.994018545,1005427.546,2,0
1,500,1000,1000,3,random,kmeans,0.99438855,936593.7859,2,0
2,500,1000,1000,3,random,kmeans,0.993868065,1019369.486,2,0
3,500,1000,1000,3,random,kmeans,0.976083774,987197.8971,2,0
4,500,1000,1000,3,random,kmeans,0.987300745,982735.6928,2,0
5,500,1000,1000,3,random,kmeans,1,986452.2392,2,0
6,500,1000,1000,3,random,kmeans,1,980739.2451,2,0
7,500,1000,1000,3,random,kmeans,0.974508263,990760.3512,3,0
8,500,1000,1000,3,random,kmeans,0.9872588,1026463.527,2,0
9,500,1000,1000,3,random,kmeans,0.99608341,988231.3375,2,0
10,500,1000,1000,3,random,kmeans,0.99401417,1034808.017,2,0
11,500,1000,1000,3,random,kmeans,0.993968278,963752.3236,2,0
12,500,1000,1000,3,random,kmeans,0.973917129,990124.1701,2,0
13,500,1000,1000,3,random,kmeans,0.987151574,946099.3326,2,0
14,500,1000,1000,3,random,kmeans,1,961563.097,3,0
15,500,1000,1000,3,random,kmeans,0.96907066,971098.381,2,0
16,500,1000,1000,3,random,kmeans,0.973178976,1019643.845,2,0
17,500,1000,1000,3,random,kmeans,0.973601276,1031725.578,2,0
18,500,1000,1000,3,random,kmeans,1,1042198.27,2,0
19,500,1000,1000,3,random,kmeans,0.993141691,971699.561,3,0
20,500,1000,1000,3,random,kmeans,0.993808751,965123.9639,2,0
1,2000,1000,10,3,random,kmeans,0.982038518,3983245.658,2,0
2,2000,1000,10,3,random,kmeans,0.987640807,3849828.795,2,0
3,2000,1000,10,3,random,kmeans,0.991709831,4282087.912,2,0
4,2000,1000,10,3,random,kmeans,0.983686672,3890441.879,3,0
5,2000,1000,10,3,random,kmeans,0.988796602,4101463.308,3,0
6,2000,1000,10,3,random,kmeans,0.984979109,3892870.944,2,0
7,2000,1000,10,3,random,kmeans,0.995102058,3968790.376,2,0
8,2000,1000,10,3,random,kmeans,0.975751231,4188499.734,2,0
9,2000,1000,10,3,random,kmeans,0.985376237,4137444.578,2,0
10,2000,1000,10,3,random,kmeans,0.985414883,4256142.851,3,0
11,2000,1000,10,3,random,kmeans,0.993818958,3798399.457,2,0
12,2000,1000,10,3,random,kmeans,0.9970372,4131682.002,2,0
13,2000,1000,10,3,random,kmeans,0.993640651,3972671.875,2,0
14,2000,1000,10,3,random,kmeans,0.988818481,4192620.401,2,0
15,2000,1000,10,3,random,kmeans,0.992175755,3962510.763,3,0
16,2000,1000,10,3,random,kmeans,0.992375806,4124892.428,2,0
17,2000,1000,10,3,random,kmeans,0.987468479,4124517.453,2,0
18,2000,1000,10,3,random,kmeans,0.993442248,4102659.122,2,0
19,2000,1000,10,3,random,kmeans,0.991935724,3992705.69,2,0
20,2000,1000,10,3,random,kmeans,0.987546073,4009700.18,2,0
1,2000,1000,35,3,random,kmeans,0.985600327,3965665.976,2,0
2,2000,1000,35,3,random,kmeans,0.988366252,4082176.178,2,0
3,2000,1000,35,3,random,kmeans,0.98051455,3953923.125,2,0
4,2000,1000,35,3,random,kmeans,0.988572032,4029475.225,3,0
5,2000,1000,35,3,random,kmeans,0.9840806,4090165.128,2,0
6,2000,1000,35,3,random,kmeans,0.986339384,4094009.455,2,0
7,2000,1000,35,3,random,kmeans,0.994893336,4107902.449,3,0
8,2000,1000,35,3,random,kmeans,0.994879402,4027351.489,2,0
9,2000,1000,35,3,random,kmeans,0.990251908,4021714.507,2,0
10,2000,1000,35,3,random,kmeans,0.986668362,4054029.005,2,0
11,2000,1000,35,3,random,kmeans,0.996821159,4033539.96,2,0
12,2000,1000,35,3,random,kmeans,0.992167029,4038639.461,2,0
13,2000,1000,35,3,random,kmeans,0.994965292,4100904.017,3,0
14,2000,1000,35,3,random,kmeans,0.994070756,3909161.658,3,0
15,2000,1000,35,3,random,kmeans,0.985821817,4054798.092,2,0
16,2000,1000,35,3,random,kmeans,0.992595872,3924790.853,2,0
17,2000,1000,35,3,random,kmeans,0.993461339,4097943.457,2,0
18,2000,1000,35,3,random,kmeans,0.987269796,3876550.631,3,0
19,2000,1000,35,3,random,kmeans,0.979288076,3990892.039,3,0
20,2000,1000,35,3,random,kmeans,0.98768783,3916313.919,2,0
1,2000,1000,75,3,random,kmeans,0.984804266,4020737.133,2,0
