B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
1,500,1000,10,3,kmeans++,hdf5,0.979895895,1476129.462,14,NA
2,500,1000,10,3,kmeans++,hdf5,0.987587876,1144605.666,22,NA
3,500,1000,10,3,kmeans++,hdf5,0.995849355,1200494.571,12,NA
4,500,1000,10,3,kmeans++,hdf5,0.987800522,1274469.163,27,NA
5,500,1000,10,3,kmeans++,hdf5,1,1284303.333,27,NA
6,500,1000,10,3,kmeans++,hdf5,0.996101765,1255677.251,19,NA
7,500,1000,10,3,kmeans++,hdf5,0.987277709,1157417.523,20,NA
8,500,1000,10,3,kmeans++,hdf5,0.986708059,1297978.299,30,NA
9,500,1000,10,3,kmeans++,hdf5,0.986801038,1155867.659,24,NA
10,500,1000,10,3,kmeans++,hdf5,0.993072705,1396356.665,13,NA
11,500,1000,10,3,kmeans++,hdf5,0.987279662,1420576.844,12,NA
12,500,1000,10,3,kmeans++,hdf5,0.97948365,1698242.586,15,NA
13,500,1000,10,3,kmeans++,hdf5,0.987254074,1634487.729,12,NA
14,500,1000,10,3,kmeans++,hdf5,0.965652458,1644986.707,27,NA
15,500,1000,10,3,kmeans++,hdf5,0.994049667,1537237.042,21,NA
16,500,1000,10,3,kmeans++,hdf5,0.975548834,1402352.516,17,NA
17,500,1000,10,3,kmeans++,hdf5,0.993258804,1272614.093,20,NA
18,500,1000,10,3,kmeans++,hdf5,0.986629409,1112748.297,12,NA
19,500,1000,10,3,kmeans++,hdf5,0.988115423,1243246.82,21,NA
20,500,1000,10,3,kmeans++,hdf5,0.955372338,1562779.655,15,NA
21,500,1000,10,3,kmeans++,hdf5,0.993834537,1429919.625,13,NA
22,500,1000,10,3,kmeans++,hdf5,0.980348015,1196120.41,11,NA
23,500,1000,10,3,kmeans++,hdf5,0.988071613,1351575.107,20,NA
24,500,1000,10,3,kmeans++,hdf5,0.982650803,1474828.662,27,NA
25,500,1000,10,3,kmeans++,hdf5,0.974546516,1558791.509,21,NA
26,500,1000,10,3,kmeans++,hdf5,0.993282339,1205105.836,20,NA
27,500,1000,10,3,kmeans++,hdf5,1,1374205.047,13,NA
28,500,1000,10,3,kmeans++,hdf5,1,1949763.119,16,NA
29,500,1000,10,3,kmeans++,hdf5,0.980432281,1261232.68,15,NA
30,500,1000,10,3,kmeans++,hdf5,0.993063083,1283603.752,16,NA
31,500,1000,10,3,kmeans++,hdf5,0.986907571,1318861.078,17,NA
32,500,1000,10,3,kmeans++,hdf5,0.962732355,1386865.027,38,NA
33,500,1000,10,3,kmeans++,hdf5,0.994100871,1277518.814,14,NA
34,500,1000,10,3,kmeans++,hdf5,0.980450944,1295995.595,19,NA
35,500,1000,10,3,kmeans++,hdf5,0.974702983,1251315.435,29,NA
36,500,1000,10,3,kmeans++,hdf5,0.993775917,1276725.84,14,NA
37,500,1000,10,3,kmeans++,hdf5,0.967890465,1491180.884,21,NA
38,500,1000,10,3,kmeans++,hdf5,0.975360044,1319661.923,33,NA
39,500,1000,10,3,kmeans++,hdf5,0.993144022,1312918.475,15,NA
40,500,1000,10,3,kmeans++,hdf5,0.942563556,1575380.294,15,NA
41,500,1000,10,3,kmeans++,hdf5,0.966062695,1548911.217,15,NA
42,500,1000,10,3,kmeans++,hdf5,0.981540034,1452074.108,15,NA
43,500,1000,10,3,kmeans++,hdf5,0.979791044,1407254.104,15,NA
44,500,1000,10,3,kmeans++,hdf5,0.963061243,1432881.912,16,NA
45,500,1000,10,3,kmeans++,hdf5,0.990169289,1251952.354,18,NA
46,500,1000,10,3,kmeans++,hdf5,0.987784392,1335049.064,18,NA
47,500,1000,10,3,kmeans++,hdf5,0.965133779,1181368.679,20,NA
48,500,1000,10,3,kmeans++,hdf5,0.987245082,1338122.683,22,NA
49,500,1000,10,3,kmeans++,hdf5,0.993900566,1263714.299,18,NA
50,500,1000,10,3,kmeans++,hdf5,0.966683492,1593468.824,30,NA
1,500,1000,35,3,kmeans++,hdf5,0.980438148,1029846.027,15,NA
2,500,1000,35,3,kmeans++,hdf5,1,1057222.896,30,NA
3,500,1000,35,3,kmeans++,hdf5,0.974604023,1044886.576,24,NA
4,500,1000,35,3,kmeans++,hdf5,0.961171727,1196932.353,29,NA
5,500,1000,35,3,kmeans++,hdf5,0.987209336,1126386.597,17,NA
6,500,1000,35,3,kmeans++,hdf5,1,1113406.447,14,NA
7,500,1000,35,3,kmeans++,hdf5,0.986212539,1156911.836,13,NA
8,500,1000,35,3,kmeans++,hdf5,0.993044968,1145518.736,14,NA
9,500,1000,35,3,kmeans++,hdf5,0.993178916,1115614.155,19,NA
10,500,1000,35,3,kmeans++,hdf5,0.981284764,1030587.606,25,NA
11,500,1000,35,3,kmeans++,hdf5,0.987188805,1116704.738,13,NA
12,500,1000,35,3,kmeans++,hdf5,0.976334932,1165386.166,19,NA
13,500,1000,35,3,kmeans++,hdf5,1,1055170.548,25,NA
14,500,1000,35,3,kmeans++,hdf5,0.987257807,1032977.221,22,NA
15,500,1000,35,3,kmeans++,hdf5,0.987289377,1123322.602,30,NA
16,500,1000,35,3,kmeans++,hdf5,0.975159988,1124266.468,14,NA
17,500,1000,35,3,kmeans++,hdf5,0.981386273,1162421.407,21,NA
18,500,1000,35,3,kmeans++,hdf5,0.993258804,1025916.979,14,NA
19,500,1000,35,3,kmeans++,hdf5,0.993050506,1158566.847,18,NA
20,500,1000,35,3,kmeans++,hdf5,1,1052205.012,28,NA
21,500,1000,35,3,kmeans++,hdf5,0.957442502,1028610.025,13,NA
22,500,1000,35,3,kmeans++,hdf5,0.990221056,1045964.628,12,NA
23,500,1000,35,3,kmeans++,hdf5,0.989906325,1093709.621,14,NA
24,500,1000,35,3,kmeans++,hdf5,0.993162179,1115876.36,12,NA
25,500,1000,35,3,kmeans++,hdf5,1,1081647.725,29,NA
