B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
1,500,1000,10,3,kmeans++,kmeans,1,983308.7083,2,0
2,500,1000,10,3,kmeans++,kmeans,0.986536515,1001066.638,2,0
3,500,1000,10,3,kmeans++,kmeans,0.974502331,996545.2789,2,0
4,500,1000,10,3,kmeans++,kmeans,0.993838174,985835.9573,2,0
5,500,1000,10,3,kmeans++,kmeans,0.98736816,978509.9579,2,0
6,500,1000,10,3,kmeans++,kmeans,0.981587894,1040305.155,2,0
7,500,1000,10,3,kmeans++,kmeans,0.987258191,1029035.494,2,0
8,500,1000,10,3,kmeans++,kmeans,0.993158738,1004515.25,3,0
9,500,1000,10,3,kmeans++,kmeans,0.987239047,1023986.752,2,0
10,500,1000,10,3,kmeans++,kmeans,0.981441082,1030614.409,2,0
11,500,1000,10,3,kmeans++,kmeans,1,1144236.407,2,0
12,500,1000,10,3,kmeans++,kmeans,0.993136282,906747.8142,2,0
13,500,1000,10,3,kmeans++,kmeans,0.993139665,972736.183,2,0
14,500,1000,10,3,kmeans++,kmeans,0.974607388,1002306.297,2,0
15,500,1000,10,3,kmeans++,kmeans,0.986775389,992756.3958,2,0
16,500,1000,10,3,kmeans++,kmeans,0.994114225,1069889.592,2,0
17,500,1000,10,3,kmeans++,kmeans,0.993221356,1037560.282,2,0
18,500,1000,10,3,kmeans++,kmeans,0.993919597,960903.556,2,0
19,500,1000,10,3,kmeans++,kmeans,1,950193.6668,2,0
20,500,1000,10,3,kmeans++,kmeans,0.99306942,1005751.492,2,0
21,500,1000,10,3,kmeans++,kmeans,0.987240229,981882.5352,2,0
22,500,1000,10,3,kmeans++,kmeans,0.99331591,1002368.828,2,0
23,500,1000,10,3,kmeans++,kmeans,1,936304.0705,2,0
24,500,1000,10,3,kmeans++,kmeans,0.973920989,967160.5187,2,0
25,500,1000,10,3,kmeans++,kmeans,0.973733649,1043237.65,2,0
26,500,1000,10,3,kmeans++,kmeans,0.987229723,975386.686,2,0
27,500,1000,10,3,kmeans++,kmeans,0.981304047,987405.4926,3,0
28,500,1000,10,3,kmeans++,kmeans,0.99400281,933696.8024,2,0
29,500,1000,10,3,kmeans++,kmeans,1,1020307.316,2,0
30,500,1000,10,3,kmeans++,kmeans,0.980584875,1010743.062,2,0
31,500,1000,10,3,kmeans++,kmeans,0.993852715,1020523.716,2,0
32,500,1000,10,3,kmeans++,kmeans,1,965790.6329,2,0
33,500,1000,10,3,kmeans++,kmeans,1,963138.8152,2,0
34,500,1000,10,3,kmeans++,kmeans,0.993238736,937331.457,2,0
35,500,1000,10,3,kmeans++,kmeans,1,1043122.842,2,0
36,500,1000,10,3,kmeans++,kmeans,0.987217827,930161.0505,2,0
