"B","observations","genes","abs_batch","k","initializer","method","ARI","WCSS","iterations","fault"
1,500,1000,10,3,kmeans++,kmeans,1,983308.708349339,2,0
2,500,1000,10,3,kmeans++,kmeans,0.986536514503026,1001066.63752353,2,0
3,500,1000,10,3,kmeans++,kmeans,0.974502331321456,996545.278889518,2,0
4,500,1000,10,3,kmeans++,kmeans,0.993838174074251,985835.957310244,2,0
5,500,1000,10,3,kmeans++,kmeans,0.987368160431418,978509.957900713,2,0
6,500,1000,10,3,kmeans++,kmeans,0.981587893888327,1040305.15497796,2,0
7,500,1000,10,3,kmeans++,kmeans,0.987258191320982,1029035.49424863,2,0
8,500,1000,10,3,kmeans++,kmeans,0.993158737728477,1004515.25047315,3,0
9,500,1000,10,3,kmeans++,kmeans,0.987239046504816,1023986.7522893,2,0
10,500,1000,10,3,kmeans++,kmeans,0.981441082257879,1030614.40853038,2,0
11,500,1000,10,3,kmeans++,kmeans,1,1144236.40720196,2,0
12,500,1000,10,3,kmeans++,kmeans,0.993136282302476,906747.814211414,2,0
13,500,1000,10,3,kmeans++,kmeans,0.993139665438788,972736.182982787,2,0
14,500,1000,10,3,kmeans++,kmeans,0.974607387641085,1002306.29734646,2,0
15,500,1000,10,3,kmeans++,kmeans,0.986775389021427,992756.395792555,2,0
16,500,1000,10,3,kmeans++,kmeans,0.994114225096909,1069889.59232855,2,0
17,500,1000,10,3,kmeans++,kmeans,0.99322135560191,1037560.28151655,2,0
18,500,1000,10,3,kmeans++,kmeans,0.993919597098507,960903.556012482,2,0
19,500,1000,10,3,kmeans++,kmeans,1,950193.666771386,2,0
20,500,1000,10,3,kmeans++,kmeans,0.993069419544437,1005751.49240424,2,0
21,500,1000,10,3,kmeans++,kmeans,0.987240229374323,981882.535160567,2,0
22,500,1000,10,3,kmeans++,kmeans,0.993315910319526,1002368.82775332,2,0
23,500,1000,10,3,kmeans++,kmeans,1,936304.070516845,2,0
24,500,1000,10,3,kmeans++,kmeans,0.973920989374265,967160.518716422,2,0
25,500,1000,10,3,kmeans++,kmeans,0.973733648897047,1043237.64955592,2,0
26,500,1000,10,3,kmeans++,kmeans,0.987229723376033,975386.685991203,2,0
27,500,1000,10,3,kmeans++,kmeans,0.981304046934108,987405.492648234,3,0
28,500,1000,10,3,kmeans++,kmeans,0.99400281005527,933696.802394522,2,0
29,500,1000,10,3,kmeans++,kmeans,1,1020307.31567806,2,0
30,500,1000,10,3,kmeans++,kmeans,0.980584874678156,1010743.06159191,2,0
31,500,1000,10,3,kmeans++,kmeans,0.993852714508551,1020523.71571778,2,0
32,500,1000,10,3,kmeans++,kmeans,1,965790.632879124,2,0
33,500,1000,10,3,kmeans++,kmeans,1,963138.815200773,2,0
34,500,1000,10,3,kmeans++,kmeans,0.993238735957878,937331.457021427,2,0
35,500,1000,10,3,kmeans++,kmeans,1,1043122.8420352,2,0
36,500,1000,10,3,kmeans++,kmeans,0.987217826686507,930161.050487184,2,0
37,500,1000,10,3,kmeans++,kmeans,0.98045424551785,1048435.38974433,2,0
38,500,1000,10,3,kmeans++,kmeans,0.993927658872912,931245.784917057,2,0
39,500,1000,10,3,kmeans++,kmeans,0.993179043641493,947400.762959771,2,0
40,500,1000,10,3,kmeans++,kmeans,1,999966.394400593,2,0
41,500,1000,10,3,kmeans++,kmeans,0.994022989710929,941870.24008363,2,0
42,500,1000,10,3,kmeans++,kmeans,0.981402105759358,993310.428082124,2,0
43,500,1000,10,3,kmeans++,kmeans,0.987275271209791,1032386.93046346,3,0
44,500,1000,10,3,kmeans++,kmeans,0.987273884948467,936373.027538941,2,0
45,500,1000,10,3,kmeans++,kmeans,0.986744381032298,1026783.89002004,2,0
46,500,1000,10,3,kmeans++,kmeans,0.993186796856134,931951.654628677,2,0
47,500,1000,10,3,kmeans++,kmeans,0.993273223884385,1024640.60180132,3,0
48,500,1000,10,3,kmeans++,kmeans,1,974195.437246769,2,0
49,500,1000,10,3,kmeans++,kmeans,0.980319575920219,960051.136999762,2,0
50,500,1000,10,3,kmeans++,kmeans,0.980499891775373,975543.822629602,2,0
1,500,1000,35,3,kmeans++,kmeans,0.993259534624764,928036.399598508,2,0
2,500,1000,35,3,kmeans++,kmeans,0.99323358506007,976823.43871093,2,0
3,500,1000,35,3,kmeans++,kmeans,0.986161304610529,984649.576153803,3,0
4,500,1000,35,3,kmeans++,kmeans,0.980404467498669,962789.784795295,2,0
5,500,1000,35,3,kmeans++,kmeans,0.986449966204226,992221.32419208,2,0
6,500,1000,35,3,kmeans++,kmeans,0.986746285320356,949428.474994801,2,0
7,500,1000,35,3,kmeans++,kmeans,1,989118.489824389,2,0
8,500,1000,35,3,kmeans++,kmeans,0.986843899336355,903649.750977937,2,0
9,500,1000,35,3,kmeans++,kmeans,1,967050.86191092,2,0
10,500,1000,35,3,kmeans++,kmeans,0.993016431131756,984596.290035725,2,0
11,500,1000,35,3,kmeans++,kmeans,0.993083108484511,984064.285344817,3,0
12,500,1000,35,3,kmeans++,kmeans,0.987303897776638,968488.210682138,2,0
13,500,1000,35,3,kmeans++,kmeans,0.995221088988772,1057249.06252115,2,0
14,500,1000,35,3,kmeans++,kmeans,0.99416682373352,999747.990858419,2,0
15,500,1000,35,3,kmeans++,kmeans,0.993170568686622,1086949.50699898,3,0
16,500,1000,35,3,kmeans++,kmeans,0.980621001053382,1058567.07836895,2,0
17,500,1000,35,3,kmeans++,kmeans,0.994115307309392,1017585.0847255,2,0
18,500,1000,35,3,kmeans++,kmeans,1,1027691.04953884,2,0
19,500,1000,35,3,kmeans++,kmeans,1,939575.650983557,2,0
20,500,1000,35,3,kmeans++,kmeans,0.987607850975908,981685.449727962,2,0
21,500,1000,35,3,kmeans++,kmeans,1,968221.763745741,2,0
22,500,1000,35,3,kmeans++,kmeans,0.98145380448207,1012207.21041853,2,0
23,500,1000,35,3,kmeans++,kmeans,1,907426.105396419,2,0
24,500,1000,35,3,kmeans++,kmeans,0.993029642936853,1092975.99539099,2,0
25,500,1000,35,3,kmeans++,kmeans,1,1048988.92586151,1,0
26,500,1000,35,3,kmeans++,kmeans,0.99330013213387,923013.079079566,1,0
27,500,1000,35,3,kmeans++,kmeans,0.994275829304002,1009453.9214109,2,0
28,500,1000,35,3,kmeans++,kmeans,0.959320711542539,1050169.5503106,2,0
29,500,1000,35,3,kmeans++,kmeans,0.99340462122543,1035871.09834451,2,0
30,500,1000,35,3,kmeans++,kmeans,0.994178518723074,1005924.7744819,2,0
31,500,1000,35,3,kmeans++,kmeans,0.986120462301399,1009346.577819,2,0
32,500,1000,35,3,kmeans++,kmeans,0.989868104972557,1003531.18785472,2,0
33,500,1000,35,3,kmeans++,kmeans,0.9872560427918,964566.181220132,2,0
34,500,1000,35,3,kmeans++,kmeans,0.981239173828339,925405.901606345,2,0
35,500,1000,35,3,kmeans++,kmeans,0.974579632495596,995559.05052853,2,0
36,500,1000,35,3,kmeans++,kmeans,0.988874918818889,947316.063148142,2,0
37,500,1000,35,3,kmeans++,kmeans,0.993264774553637,973357.444740165,2,0
38,500,1000,35,3,kmeans++,kmeans,0.979761538083086,994803.417157762,2,0
39,500,1000,35,3,kmeans++,kmeans,0.979112284467944,972452.060185029,2,0
40,500,1000,35,3,kmeans++,kmeans,1,1026189.80052736,2,0
41,500,1000,35,3,kmeans++,kmeans,0.981582223891376,1052608.80246304,3,0
42,500,1000,35,3,kmeans++,kmeans,0.980524415612643,1095419.17903317,2,0
43,500,1000,35,3,kmeans++,kmeans,0.993046681747122,990522.949081928,2,0
44,500,1000,35,3,kmeans++,kmeans,0.994254126804741,1108691.59320435,2,0
45,500,1000,35,3,kmeans++,kmeans,0.987222559162329,923829.67718104,2,0
46,500,1000,35,3,kmeans++,kmeans,0.974379268570968,939300.454335936,2,0
47,500,1000,35,3,kmeans++,kmeans,0.993094165323582,1016537.03499707,3,0
48,500,1000,35,3,kmeans++,kmeans,1,936271.916775725,2,0
49,500,1000,35,3,kmeans++,kmeans,1,977953.167407005,3,0
50,500,1000,35,3,kmeans++,kmeans,0.993188967389436,1005518.95382024,2,0
1,500,1000,75,3,kmeans++,kmeans,0.980541312723462,1021554.06430217,2,0
2,500,1000,75,3,kmeans++,kmeans,0.987274935592628,942783.78362499,2,0
3,500,1000,75,3,kmeans++,kmeans,0.987262724459177,965002.580385677,2,0
4,500,1000,75,3,kmeans++,kmeans,0.968687707042792,991287.839494205,2,0
5,500,1000,75,3,kmeans++,kmeans,0.993137794584187,947310.618845294,2,0
6,500,1000,75,3,kmeans++,kmeans,0.987226963354964,1009122.47249968,2,0
7,500,1000,75,3,kmeans++,kmeans,0.968278011983504,1010459.0254993,2,0
8,500,1000,75,3,kmeans++,kmeans,0.968006267300188,1020269.31407645,2,0
9,500,1000,75,3,kmeans++,kmeans,0.993291192825599,974128.374806958,2,0
10,500,1000,75,3,kmeans++,kmeans,0.993348577671028,1006078.67163169,2,0
11,500,1000,75,3,kmeans++,kmeans,0.986204309285812,990727.973488632,3,0
12,500,1000,75,3,kmeans++,kmeans,0.980990331569668,930419.333016385,2,0
13,500,1000,75,3,kmeans++,kmeans,0.993179043641493,978191.682904844,2,0
14,500,1000,75,3,kmeans++,kmeans,1,979178.246409524,2,0
15,500,1000,75,3,kmeans++,kmeans,0.980040951463518,1018470.28589125,2,0
16,500,1000,75,3,kmeans++,kmeans,0.993033827928315,950662.716393311,2,0
17,500,1000,75,3,kmeans++,kmeans,1,964963.744497415,2,0
18,500,1000,75,3,kmeans++,kmeans,0.980478550424069,940141.523461477,2,0
19,500,1000,75,3,kmeans++,kmeans,0.987257807160642,986785.380539406,1,0
20,500,1000,75,3,kmeans++,kmeans,0.980413906779394,932620.083349327,2,0
21,500,1000,75,3,kmeans++,kmeans,0.994104274578722,989798.530558023,2,0
22,500,1000,75,3,kmeans++,kmeans,0.981048488708341,1004365.59195177,2,0
23,500,1000,75,3,kmeans++,kmeans,0.993267494580915,1008583.02876347,2,0
24,500,1000,75,3,kmeans++,kmeans,0.987317094518989,993976.891063382,2,0
25,500,1000,75,3,kmeans++,kmeans,0.993769087512012,922793.923940855,1,0
26,500,1000,75,3,kmeans++,kmeans,1,999111.282399575,2,0
27,500,1000,75,3,kmeans++,kmeans,0.982382043727266,914553.788287199,2,0
28,500,1000,75,3,kmeans++,kmeans,1,967143.96013959,2,0
29,500,1000,75,3,kmeans++,kmeans,0.980343405882837,948820.024125558,2,0
