B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
1,500,1000,10,3,random,mbkmeans,0.965312058,1453543.197,17,NA
2,500,1000,10,3,random,mbkmeans,1,1191064.875,16,NA
3,500,1000,10,3,random,mbkmeans,0.993078365,1278656.061,28,NA
4,500,1000,10,3,random,mbkmeans,0.993831781,1345263.341,16,NA
5,500,1000,10,3,random,mbkmeans,0.960164005,1426170.411,14,NA
6,500,1000,10,3,random,mbkmeans,1,1290015.873,17,NA
7,500,1000,10,3,random,mbkmeans,0.967878551,1361697.574,20,NA
8,500,1000,10,3,random,mbkmeans,0.993386779,1649044.826,24,NA
9,500,1000,10,3,random,mbkmeans,1,1284402.05,28,NA
10,500,1000,10,3,random,mbkmeans,0.98725975,1315263.525,15,NA
11,500,1000,10,3,random,mbkmeans,0.960160217,1431531.45,30,NA
12,500,1000,10,3,random,mbkmeans,0.980112453,1486422.174,28,NA
13,500,1000,10,3,random,mbkmeans,0.952539873,1655263.652,27,NA
14,500,1000,10,3,random,mbkmeans,0.987249059,1250309.341,24,NA
15,500,1000,10,3,random,mbkmeans,0.973910506,1182508.305,11,NA
16,500,1000,10,3,random,mbkmeans,0.974718225,1342772.351,22,NA
17,500,1000,10,3,random,mbkmeans,0.99307642,1138373.09,13,NA
18,500,1000,10,3,random,mbkmeans,0.993382909,1448836.869,12,NA
19,500,1000,10,3,random,mbkmeans,0.944544535,1967655.476,13,NA
20,500,1000,10,3,random,mbkmeans,0.927517606,1720026.065,13,NA
21,500,1000,10,3,random,mbkmeans,0.987412886,1242735.387,26,NA
22,500,1000,10,3,random,mbkmeans,1,1690421.08,23,NA
23,500,1000,10,3,random,mbkmeans,0.941594688,1426197.104,11,NA
24,500,1000,10,3,random,mbkmeans,0.993089028,1265332.015,13,NA
25,500,1000,10,3,random,mbkmeans,0.993113872,1464069.02,21,NA
26,500,1000,10,3,random,mbkmeans,0.971740328,1409219.999,14,NA
27,500,1000,10,3,random,mbkmeans,0.966460923,1909632.352,32,NA
28,500,1000,10,3,random,mbkmeans,0.993233631,1468860.045,11,NA
29,500,1000,10,3,random,mbkmeans,0.975241479,1235493.807,14,NA
30,500,1000,10,3,random,mbkmeans,1,1526780.919,24,NA
31,500,1000,10,3,random,mbkmeans,0.981340455,1235662.487,20,NA
32,500,1000,10,3,random,mbkmeans,0.993849447,1485606.136,22,NA
33,500,1000,10,3,random,mbkmeans,0.965534302,1352676.412,16,NA
34,500,1000,10,3,random,mbkmeans,0.993297023,1337350.778,35,NA
35,500,1000,10,3,random,mbkmeans,0.962093718,1619827.458,14,NA
36,500,1000,10,3,random,mbkmeans,0.994150109,1249617.951,19,NA
37,500,1000,10,3,random,mbkmeans,0.995767143,1276238.781,21,NA
38,500,1000,10,3,random,mbkmeans,0.974549593,1171548.425,13,NA
39,500,1000,10,3,random,mbkmeans,0.988282911,1169780.759,12,NA
40,500,1000,10,3,random,mbkmeans,0.969716182,1783329.387,22,NA
41,500,1000,10,3,random,mbkmeans,0.993949814,1210440.214,23,NA
42,500,1000,10,3,random,mbkmeans,0.988219183,1148451.603,25,NA
43,500,1000,10,3,random,mbkmeans,0.993868065,1227794.069,13,NA
44,500,1000,10,3,random,mbkmeans,1,1480499.66,22,NA
45,500,1000,10,3,random,mbkmeans,1,1422825.073,20,NA
46,500,1000,10,3,random,mbkmeans,0.971830603,1620934.009,25,NA
47,500,1000,10,3,random,mbkmeans,0.987240343,1341190.289,12,NA
48,500,1000,10,3,random,mbkmeans,0.966797206,1138922.791,12,NA
49,500,1000,10,3,random,mbkmeans,0.986682622,1380661.936,34,NA
50,500,1000,10,3,random,mbkmeans,1,1356197.768,23,NA
1,500,1000,35,3,random,mbkmeans,0.993157042,1065482.983,13,NA
2,500,1000,35,3,random,mbkmeans,0.993200804,968734.7454,21,NA
3,500,1000,35,3,random,mbkmeans,1,1233375.056,14,NA
4,500,1000,35,3,random,mbkmeans,0.993203507,1055375.013,17,NA
