B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
1,500,1000,10,3,kmeans++,mbkmeans,0.986196367,1311028.082,20,NA
2,500,1000,10,3,kmeans++,mbkmeans,0.986254148,1286504.935,30,NA
3,500,1000,10,3,kmeans++,mbkmeans,0.986173312,1301938.944,20,NA
4,500,1000,10,3,kmeans++,mbkmeans,1,1268412.279,19,NA
5,500,1000,10,3,kmeans++,mbkmeans,0.975213764,1304432.472,22,NA
6,500,1000,10,3,kmeans++,mbkmeans,1,2349852.277,14,NA
7,500,1000,10,3,kmeans++,mbkmeans,0.99328289,1246418.591,23,NA
8,500,1000,10,3,kmeans++,mbkmeans,0.987268498,1553871.704,11,NA
9,500,1000,10,3,kmeans++,mbkmeans,0.993264696,1318172.009,11,NA
10,500,1000,10,3,kmeans++,mbkmeans,0.988511596,1177685.328,11,NA
11,500,1000,10,3,kmeans++,mbkmeans,0.981745852,1453910.302,12,NA
12,500,1000,10,3,kmeans++,mbkmeans,0.994107816,1366515.974,20,NA
13,500,1000,10,3,kmeans++,mbkmeans,0.994030468,1241539.36,16,NA
14,500,1000,10,3,kmeans++,mbkmeans,0.974499301,1164577.225,18,NA
15,500,1000,10,3,kmeans++,mbkmeans,0.986373219,1161830.251,19,NA
16,500,1000,10,3,kmeans++,mbkmeans,0.969308579,1527687.579,21,NA
17,500,1000,10,3,kmeans++,mbkmeans,0.993262127,1421291.437,21,NA
18,500,1000,10,3,kmeans++,mbkmeans,0.987201103,1182500.268,18,NA
19,500,1000,10,3,kmeans++,mbkmeans,0.987324893,1373145.589,17,NA
20,500,1000,10,3,kmeans++,mbkmeans,0.986551238,1223090.091,20,NA
21,500,1000,10,3,kmeans++,mbkmeans,0.981607711,1332780.265,23,NA
22,500,1000,10,3,kmeans++,mbkmeans,0.941810784,1350114.818,16,NA
23,500,1000,10,3,kmeans++,mbkmeans,0.947706934,1547322.875,12,NA
24,500,1000,10,3,kmeans++,mbkmeans,0.994041768,1382040.036,19,NA
25,500,1000,10,3,kmeans++,mbkmeans,0.987369499,1255887.183,17,NA
26,500,1000,10,3,kmeans++,mbkmeans,1,1277813.182,12,NA
27,500,1000,10,3,kmeans++,mbkmeans,0.965299546,1651105.253,12,NA
28,500,1000,10,3,kmeans++,mbkmeans,0.993155704,1228994.349,18,NA
29,500,1000,10,3,kmeans++,mbkmeans,0.972702574,1310934.027,27,NA
30,500,1000,10,3,kmeans++,mbkmeans,0.950934,1408534.35,20,NA
31,500,1000,10,3,kmeans++,mbkmeans,0.988156432,1357674.183,12,NA
32,500,1000,10,3,kmeans++,mbkmeans,1,1310355.199,31,NA
33,500,1000,10,3,kmeans++,mbkmeans,0.980422209,1140745.493,12,NA
34,500,1000,10,3,kmeans++,mbkmeans,0.993211191,1682266.348,13,NA
35,500,1000,10,3,kmeans++,mbkmeans,0.993275337,1228881.438,21,NA
36,500,1000,10,3,kmeans++,mbkmeans,0.993834866,1219799.651,36,NA
37,500,1000,10,3,kmeans++,mbkmeans,0.987666121,1139774.642,18,NA
38,500,1000,10,3,kmeans++,mbkmeans,1,1315056.436,13,NA
39,500,1000,10,3,kmeans++,mbkmeans,1,1556470.782,28,NA
40,500,1000,10,3,kmeans++,mbkmeans,0.97554164,1485905.761,16,NA
41,500,1000,10,3,kmeans++,mbkmeans,0.907636856,1771059.486,12,NA
42,500,1000,10,3,kmeans++,mbkmeans,0.950895894,1476642.589,19,NA
43,500,1000,10,3,kmeans++,mbkmeans,0.993285144,1303322.456,28,NA
