"B","observations","genes","abs_batch","k","initializer","method","ARI","WCSS","iterations","fault"
1,500,1000,10,3,kmeans++,mbkmeans,0.993868064976461,1178849.65159131,18,NA
2,500,1000,10,3,kmeans++,mbkmeans,0.893402390993601,2093712.59586988,16,NA
3,500,1000,10,3,kmeans++,mbkmeans,0.954845073983372,1545148.16617331,16,NA
4,500,1000,10,3,kmeans++,mbkmeans,1,1323064.37391406,23,NA
5,500,1000,10,3,kmeans++,mbkmeans,0.987211010053772,1233160.30230174,31,NA
6,500,1000,10,3,kmeans++,mbkmeans,0.987666335178802,1112557.62567849,18,NA
7,500,1000,10,3,kmeans++,mbkmeans,0.939803873847321,1873630.20382031,18,NA
8,500,1000,10,3,kmeans++,mbkmeans,0.988029060045838,1354630.52737463,20,NA
9,500,1000,10,3,kmeans++,mbkmeans,0.994334094737871,1307008.99301075,17,NA
10,500,1000,10,3,kmeans++,mbkmeans,0.96294625809628,1299107.25336526,12,NA
11,500,1000,10,3,kmeans++,mbkmeans,0.992928484561411,1189556.42125978,18,NA
12,500,1000,10,3,kmeans++,mbkmeans,0.993193028558869,1221407.19267264,19,NA
13,500,1000,10,3,kmeans++,mbkmeans,0.993459797499881,1253940.83877962,18,NA
14,500,1000,10,3,kmeans++,mbkmeans,0.943752841529253,1552171.61418102,13,NA
15,500,1000,10,3,kmeans++,mbkmeans,0.982273245970497,1485903.43551604,25,NA
16,500,1000,10,3,kmeans++,mbkmeans,0.993189779372149,1554793.71069178,14,NA
17,500,1000,10,3,kmeans++,mbkmeans,0.98660164479788,1424556.88169818,25,NA
18,500,1000,10,3,kmeans++,mbkmeans,0.974915744153895,1643920.39015429,21,NA
19,500,1000,10,3,kmeans++,mbkmeans,0.972893474636297,1376068.68109131,21,NA
20,500,1000,10,3,kmeans++,mbkmeans,0.993144942664712,1099682.35790527,26,NA
21,500,1000,10,3,kmeans++,mbkmeans,0.993100249778472,1273818.93248852,12,NA
22,500,1000,10,3,kmeans++,mbkmeans,0.987360761110122,1197913.25836422,20,NA
23,500,1000,10,3,kmeans++,mbkmeans,0.989679363719925,1226253.50712031,19,NA
24,500,1000,10,3,kmeans++,mbkmeans,0.993367408346445,1161029.50150822,25,NA
25,500,1000,10,3,kmeans++,mbkmeans,0.986498779856438,1205743.24483643,20,NA
26,500,1000,10,3,kmeans++,mbkmeans,0.983233716914403,1182273.58962264,23,NA
27,500,1000,10,3,kmeans++,mbkmeans,0.960786403501555,1401989.33384143,12,NA
28,500,1000,10,3,kmeans++,mbkmeans,0.993194874653166,1387084.34696964,13,NA
29,500,1000,10,3,kmeans++,mbkmeans,0.993315143317899,1248161.47164406,18,NA
30,500,1000,10,3,kmeans++,mbkmeans,1,1233786.3285435,14,NA
31,500,1000,10,3,kmeans++,mbkmeans,0.965962547716905,1292282.9824673,31,NA
