B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
1,500,1000,10,3,random,hdf5,0.981053284,1704966.346,21,NA
2,500,1000,10,3,random,hdf5,0.973671042,1224655.642,35,NA
3,500,1000,10,3,random,hdf5,1,1636617.442,28,NA
4,500,1000,10,3,random,hdf5,0.963176057,1372902.445,13,NA
5,500,1000,10,3,random,hdf5,0.974627499,1434040.335,13,NA
6,500,1000,10,3,random,hdf5,1,1708448.516,18,NA
7,500,1000,10,3,random,hdf5,0.987200495,1386228.799,12,NA
8,500,1000,10,3,random,hdf5,0.97609975,1441436.441,19,NA
9,500,1000,10,3,random,hdf5,1,1909524.734,15,NA
10,500,1000,10,3,random,hdf5,0.973690245,1331467.575,15,NA
11,500,1000,10,3,random,hdf5,0.986424167,1275591.36,16,NA
12,500,1000,10,3,random,hdf5,0.987266551,1220122.56,13,NA
13,500,1000,10,3,random,hdf5,0.987358463,1222982.882,20,NA
14,500,1000,10,3,random,hdf5,0.972400645,1316725.283,19,NA
15,500,1000,10,3,random,hdf5,0.98621767,1796723.37,31,NA
16,500,1000,10,3,random,hdf5,1,1511466.89,23,NA
17,500,1000,10,3,random,hdf5,0.993289131,1157443.188,23,NA
18,500,1000,10,3,random,hdf5,1,1195762.494,12,NA
19,500,1000,10,3,random,hdf5,0.993347795,1438264.451,27,NA
20,500,1000,10,3,random,hdf5,0.986740578,1438005.112,17,NA
21,500,1000,10,3,random,hdf5,1,1277579.683,17,NA
22,500,1000,10,3,random,hdf5,0.993094492,1456917.695,13,NA
23,500,1000,10,3,random,hdf5,0.979490714,1249865.988,22,NA
24,500,1000,10,3,random,hdf5,0.9872588,1370031.394,19,NA
25,500,1000,10,3,random,hdf5,0.98223564,1746040.826,23,NA
26,500,1000,10,3,random,hdf5,0.980057246,1254549.021,49,NA
27,500,1000,10,3,random,hdf5,0.966633437,1546607.276,20,NA
28,500,1000,10,3,random,hdf5,0.986426191,1274551.804,19,NA
29,500,1000,10,3,random,hdf5,0.981095175,1325586.933,21,NA
30,500,1000,10,3,random,hdf5,0.987368019,1189917.387,36,NA
31,500,1000,10,3,random,hdf5,0.957749817,1422314.322,18,NA
32,500,1000,10,3,random,hdf5,0.986217531,1421318.74,30,NA
33,500,1000,10,3,random,hdf5,0.987918074,1171184.449,17,NA
34,500,1000,10,3,random,hdf5,0.974554104,1347072.927,22,NA
35,500,1000,10,3,random,hdf5,0.994075137,1310269.406,28,NA
36,500,1000,10,3,random,hdf5,0.944988055,1526466.239,14,NA
37,500,1000,10,3,random,hdf5,0.972891242,2096063.7,17,NA
38,500,1000,10,3,random,hdf5,0.98273294,1225620.16,27,NA
39,500,1000,10,3,random,hdf5,0.981292631,1344969.82,15,NA
