"B","observations","genes","abs_batch","k","method","WCSS"
1,5000,5000,10,15,hdf5,256350808.405001
2,5000,5000,10,15,hdf5,7512437905.75
3,5000,5000,10,15,hdf5,271512227.244899
4,5000,5000,10,15,hdf5,493337319.14286
5,5000,5000,10,15,hdf5,865843606.928573
6,5000,5000,10,15,hdf5,358983975.121436
7,5000,5000,10,15,hdf5,527085891.981481
8,5000,5000,10,15,hdf5,783763850.625
9,5000,5000,10,15,hdf5,199375016.454083
10,5000,5000,10,15,hdf5,288983489.728891
11,5000,5000,10,15,hdf5,509391955.583333
12,5000,5000,10,15,hdf5,437745701.875
13,5000,5000,10,15,hdf5,346515997.305554
14,5000,5000,10,15,hdf5,315004180.638889
15,5000,5000,10,15,hdf5,278947046.820001
16,5000,5000,10,15,hdf5,758256256.777784
17,5000,5000,10,15,hdf5,404944713.694445
18,5000,5000,10,15,hdf5,876159708.714284
19,5000,5000,10,15,hdf5,333795076.921875
20,5000,5000,10,15,hdf5,53248126092.1481
21,5000,5000,10,15,hdf5,756950430.972221
22,5000,5000,10,15,hdf5,319345736.5
23,5000,5000,10,15,hdf5,3539123524.54688
24,5000,5000,10,15,hdf5,325052035.785715
25,5000,5000,10,15,hdf5,531656689.583333
26,5000,5000,10,15,hdf5,303015064.4375
27,5000,5000,10,15,hdf5,214760146.617349
28,5000,5000,10,15,hdf5,3010479291.44444
29,5000,5000,10,15,hdf5,329489304.640002
30,5000,5000,10,15,hdf5,221681962.5625
31,5000,5000,10,15,hdf5,158532891981.21
32,5000,5000,10,15,hdf5,626540302.006951
33,5000,5000,10,15,hdf5,4082709745.4375
34,5000,5000,10,15,hdf5,928321660.186668
35,5000,5000,10,15,hdf5,241466571.600001
36,5000,5000,10,15,hdf5,305627681.734695
37,5000,5000,10,15,hdf5,523455174.240001
38,5000,5000,10,15,hdf5,508560645.680003
39,5000,5000,10,15,hdf5,412511841.25
40,5000,5000,10,15,hdf5,342401965.916666
41,5000,5000,10,15,hdf5,8704293773
42,5000,5000,10,15,hdf5,329668871.448982
43,5000,5000,10,15,hdf5,656874238.614198
