"B","observations","genes","abs_batch","k","method","WCSS"
1,10000,1000,10,15,ClusterR,2312810630.4
2,10000,1000,10,15,ClusterR,1861006406.63892
3,10000,1000,10,15,ClusterR,1990972685.38995
4,10000,1000,10,15,ClusterR,1962384746
5,10000,1000,10,15,ClusterR,2189086469
6,10000,1000,10,15,ClusterR,1845368490.24941
7,10000,1000,10,15,ClusterR,1982758884.25
8,10000,1000,10,15,ClusterR,1050539325.15815
9,10000,1000,10,15,ClusterR,2001261000.59723
10,10000,1000,10,15,ClusterR,567680263.021605
11,10000,1000,10,15,ClusterR,7162935154.83674
12,10000,1000,10,15,ClusterR,3107661309.58025
13,10000,1000,10,15,ClusterR,678258146.222219
14,10000,1000,10,15,ClusterR,1837653763.54167
15,10000,1000,10,15,ClusterR,525828637.28125
16,10000,1000,10,15,ClusterR,831771091.259259
17,10000,1000,10,15,ClusterR,2275370622.15111
18,10000,1000,10,15,ClusterR,2078566779.37889
19,10000,1000,10,15,ClusterR,573802518.277775
20,10000,1000,10,15,ClusterR,1949570367.50499
21,10000,1000,10,15,ClusterR,1084969153.76985
22,10000,1000,10,15,ClusterR,3059318580.61396
23,10000,1000,10,15,ClusterR,1855884864.375
24,10000,1000,10,15,ClusterR,580073661.5625
25,10000,1000,10,15,ClusterR,1998507703.16668
26,10000,1000,10,15,ClusterR,573903057.34375
27,10000,1000,10,15,ClusterR,1838330540.12
28,10000,1000,10,15,ClusterR,754345908.28125
29,10000,1000,10,15,ClusterR,969675356.25
30,10000,1000,10,15,ClusterR,2240117375.69444
31,10000,1000,10,15,ClusterR,2069025709.57142
32,10000,1000,10,15,ClusterR,727527699.140001
33,10000,1000,10,15,ClusterR,2568425269.36055
34,10000,1000,10,15,ClusterR,633890118.820005
35,10000,1000,10,15,ClusterR,620035127.580001
36,10000,1000,10,15,ClusterR,739200657.777778
37,10000,1000,10,15,ClusterR,2694533416.63719
38,10000,1000,10,15,ClusterR,580777337.964289
39,10000,1000,10,15,ClusterR,10218216212.55
40,10000,1000,10,15,ClusterR,569413406
41,10000,1000,10,15,ClusterR,652299024.527779
42,10000,1000,10,15,ClusterR,1379532355.15985
43,10000,1000,10,15,ClusterR,2325486612.5
44,10000,1000,10,15,ClusterR,561783221.330004
45,10000,1000,10,15,ClusterR,2141077136.83333
46,10000,1000,10,15,ClusterR,2795102358.00452
47,10000,1000,10,15,ClusterR,2718016142.38889
48,10000,1000,10,15,ClusterR,23876850904
49,10000,1000,10,15,ClusterR,603082006.756943
50,10000,1000,10,15,ClusterR,1882615264.77781
1,10000,1000,35,15,ClusterR,1124438642.83763
2,10000,1000,35,15,ClusterR,583238529.375513
3,10000,1000,35,15,ClusterR,1833620965.25703
4,10000,1000,35,15,ClusterR,324331229.839472
5,10000,1000,35,15,ClusterR,382317461.263656
6,10000,1000,35,15,ClusterR,596936509.334689
7,10000,1000,35,15,ClusterR,556784776.043401
8,10000,1000,35,15,ClusterR,748450395.34722
9,10000,1000,35,15,ClusterR,1450089616.05945
10,10000,1000,35,15,ClusterR,768508436.112828
11,10000,1000,35,15,ClusterR,387379700.378458
12,10000,1000,35,15,ClusterR,489168879.214998
13,10000,1000,35,15,ClusterR,936205660.335007
14,10000,1000,35,15,ClusterR,553991463.256559
15,10000,1000,35,15,ClusterR,419975952.62581
16,10000,1000,35,15,ClusterR,440279619.029999
17,10000,1000,35,15,ClusterR,1259156835.71088
