"B","observations","genes","abs_batch","k","method","WCSS"
1,5000,1000,10,15,hdf5,1025789513.71778
2,5000,1000,10,15,hdf5,456834358.07143
3,5000,1000,10,15,hdf5,557854261.013889
4,5000,1000,10,15,hdf5,302554823.150001
5,5000,1000,10,15,hdf5,310761445.271113
6,5000,1000,10,15,hdf5,420080711
7,5000,1000,10,15,hdf5,606403222.194444
8,5000,1000,10,15,hdf5,517806812.015625
9,5000,1000,10,15,hdf5,811182163
10,5000,1000,10,15,hdf5,381170948.780613
11,5000,1000,10,15,hdf5,1549297080.90123
12,5000,1000,10,15,hdf5,504288373.333334
13,5000,1000,10,15,hdf5,324201490.416665
14,5000,1000,10,15,hdf5,603093318.583333
15,5000,1000,10,15,hdf5,342719294.251543
16,5000,1000,10,15,hdf5,1308507362.125
17,5000,1000,10,15,hdf5,230345677.230001
18,5000,1000,10,15,hdf5,650072188.25
19,5000,1000,10,15,hdf5,532845594.5
20,5000,1000,10,15,hdf5,216709590.222221
21,5000,1000,10,15,hdf5,270387122.333333
22,5000,1000,10,15,hdf5,356050069.722222
23,5000,1000,10,15,hdf5,672424201.912132
24,5000,1000,10,15,hdf5,4140062792.19446
25,5000,1000,10,15,hdf5,381584987.710001
26,5000,1000,10,15,hdf5,284958772.972223
27,5000,1000,10,15,hdf5,2146773372.26562
28,5000,1000,10,15,hdf5,230132515.9875
29,5000,1000,10,15,hdf5,280127322.846669
30,5000,1000,10,15,hdf5,27615596874.0884
31,5000,1000,10,15,hdf5,600038578.640625
32,5000,1000,10,15,hdf5,501857429.857145
33,5000,1000,10,15,hdf5,343862419.312499
34,5000,1000,10,15,hdf5,461047644.180002
35,5000,1000,10,15,hdf5,620141215.03125
36,5000,1000,10,15,hdf5,569973285.4
37,5000,1000,10,15,hdf5,360515034.666667
38,5000,1000,10,15,hdf5,1255945080.44
39,5000,1000,10,15,hdf5,192435611.934723
40,5000,1000,10,15,hdf5,265335384.944444
41,5000,1000,10,15,hdf5,34790656348
42,5000,1000,10,15,hdf5,504362044.960009
43,5000,1000,10,15,hdf5,432993190.527502
44,5000,1000,10,15,hdf5,762474338.520001
45,5000,1000,10,15,hdf5,196705766.611112
46,5000,1000,10,15,hdf5,545042421.111111
47,5000,1000,10,15,hdf5,503411687.950001
48,5000,1000,10,15,hdf5,301410436.495716
49,5000,1000,10,15,hdf5,617476393
50,5000,1000,10,15,hdf5,7811428118.26531
1,5000,1000,35,15,hdf5,215506159.461805
2,5000,1000,35,15,hdf5,479912409.279728
3,5000,1000,35,15,hdf5,214557658.027211
4,5000,1000,35,15,hdf5,188317490.903566
5,5000,1000,35,15,hdf5,184837535.812298
6,5000,1000,35,15,hdf5,307419863.326631
7,5000,1000,35,15,hdf5,262680294.329164
8,5000,1000,35,15,hdf5,215505272.496002
9,5000,1000,35,15,hdf5,195240873.15051
10,5000,1000,35,15,hdf5,367602954.556401
11,5000,1000,35,15,hdf5,361651740.858611
12,5000,1000,35,15,hdf5,482693241.233338
13,5000,1000,35,15,hdf5,315909361.927141
14,5000,1000,35,15,hdf5,201689791.322434
15,5000,1000,35,15,hdf5,179786260.506668
16,5000,1000,35,15,hdf5,167859810.469999
17,5000,1000,35,15,hdf5,862694009.861408
18,5000,1000,35,15,hdf5,281832008.492083
19,5000,1000,35,15,hdf5,237078111.725799
20,5000,1000,35,15,hdf5,396544078.848151
21,5000,1000,35,15,hdf5,345712721.650923
22,5000,1000,35,15,hdf5,315109648.983852
23,5000,1000,35,15,hdf5,314316536.033592
24,5000,1000,35,15,hdf5,485404183.393025
25,5000,1000,35,15,hdf5,311866448.167159
26,5000,1000,35,15,hdf5,325632523.401913
27,5000,1000,35,15,hdf5,277147357.131557
28,5000,1000,35,15,hdf5,226589348.525374
29,5000,1000,35,15,hdf5,174931891.383113
30,5000,1000,35,15,hdf5,493363448.01556
31,5000,1000,35,15,hdf5,296694013.873475
32,5000,1000,35,15,hdf5,332491443.277647
33,5000,1000,35,15,hdf5,202166033.005917
34,5000,1000,35,15,hdf5,341599038.422902
35,5000,1000,35,15,hdf5,251324186.912557
36,5000,1000,35,15,hdf5,182492765.148431
37,5000,1000,35,15,hdf5,394479686.314745
38,5000,1000,35,15,hdf5,252092044.786893
39,5000,1000,35,15,hdf5,196035716.664793
40,5000,1000,35,15,hdf5,307492779.525299
41,5000,1000,35,15,hdf5,188714013.602545
42,5000,1000,35,15,hdf5,204291986.890747
43,5000,1000,35,15,hdf5,255921656.501735
44,5000,1000,35,15,hdf5,304441400.916945
45,5000,1000,35,15,hdf5,187917970.794558
46,5000,1000,35,15,hdf5,220714774.831901
47,5000,1000,35,15,hdf5,235127476.78738
48,5000,1000,35,15,hdf5,193307819.336776
49,5000,1000,35,15,hdf5,250412085.264938
50,5000,1000,35,15,hdf5,212500569.78321
1,5000,1000,75,15,hdf5,185221120.377506
2,5000,1000,75,15,hdf5,203922980.393738
3,5000,1000,75,15,hdf5,1680368654.57727
4,5000,1000,75,15,hdf5,201949870.306055
5,5000,1000,75,15,hdf5,155023828.238998
6,5000,1000,75,15,hdf5,173558131.027418
7,5000,1000,75,15,hdf5,188323235.569296
8,5000,1000,75,15,hdf5,224935590.380239
