"B","observations","genes","abs_batch","k","method","WCSS"
1,10000,1000,10,15,ClusterR,2413706302
2,10000,1000,10,15,ClusterR,768436992
3,10000,1000,10,15,ClusterR,548070624.874378
4,10000,1000,10,15,ClusterR,639316552.890625
5,10000,1000,10,15,ClusterR,1153052585.85
6,10000,1000,10,15,ClusterR,1129797244.22449
7,10000,1000,10,15,ClusterR,502944314.360006
8,10000,1000,10,15,ClusterR,1862531164
9,10000,1000,10,15,ClusterR,668412882
10,10000,1000,10,15,ClusterR,630176213.111108
11,10000,1000,10,15,ClusterR,549802450.090002
12,10000,1000,10,15,ClusterR,2415719763
13,10000,1000,10,15,ClusterR,2523815250.75
14,10000,1000,10,15,ClusterR,697392246.808641
15,10000,1000,10,15,ClusterR,666981955.425925
16,10000,1000,10,15,ClusterR,2349314957.47224
17,10000,1000,10,15,ClusterR,2195993753.17968
18,10000,1000,10,15,ClusterR,1951816643.12499
19,10000,1000,10,15,ClusterR,2286802980.32
20,10000,1000,10,15,ClusterR,942017494.897765
21,10000,1000,10,15,ClusterR,1975916347.66667
22,10000,1000,10,15,ClusterR,610206367.893751
23,10000,1000,10,15,ClusterR,723325556.875
24,10000,1000,10,15,ClusterR,1847771290.33336
25,10000,1000,10,15,ClusterR,1869551725.89198
26,10000,1000,10,15,ClusterR,3968739042.89996
27,10000,1000,10,15,ClusterR,1850644065.71428
28,10000,1000,10,15,ClusterR,3109020176.17857
29,10000,1000,10,15,ClusterR,1042544703.05
30,10000,1000,10,15,ClusterR,370291096.423472
31,10000,1000,10,15,ClusterR,962341563.75
32,10000,1000,10,15,ClusterR,4300133891.32948
33,10000,1000,10,15,ClusterR,3553188596.44001
34,10000,1000,10,15,ClusterR,1881791325.65814
35,10000,1000,10,15,ClusterR,4089909397.22222
36,10000,1000,10,15,ClusterR,1325946384.44445
37,10000,1000,10,15,ClusterR,513910552.609375
38,10000,1000,10,15,ClusterR,571459859.833333
39,10000,1000,10,15,ClusterR,1941410263.6875
40,10000,1000,10,15,ClusterR,1882247279.92
41,10000,1000,10,15,ClusterR,1842811211.75
42,10000,1000,10,15,ClusterR,1605307029.35802
43,10000,1000,10,15,ClusterR,1045368628.48438
44,10000,1000,10,15,ClusterR,1801920845.55671
45,10000,1000,10,15,ClusterR,1361437434.98669
46,10000,1000,10,15,ClusterR,929140619.111114
47,10000,1000,10,15,ClusterR,1113681985.04592
48,10000,1000,10,15,ClusterR,10898033104.2569
49,10000,1000,10,15,ClusterR,589346395
50,10000,1000,10,15,ClusterR,664386907.342974
1,10000,1000,35,15,ClusterR,439017199.019002
2,10000,1000,35,15,ClusterR,500599211.765061
3,10000,1000,35,15,ClusterR,469188047.399228
4,10000,1000,35,15,ClusterR,440748912.228956
5,10000,1000,35,15,ClusterR,681249857
6,10000,1000,35,15,ClusterR,388234908.015341
7,10000,1000,35,15,ClusterR,1038864592.25394
8,10000,1000,35,15,ClusterR,485539405.669424
9,10000,1000,35,15,ClusterR,594879765.423613
10,10000,1000,35,15,ClusterR,1396300739.05029
11,10000,1000,35,15,ClusterR,804170815.495108
12,10000,1000,35,15,ClusterR,798659291.927023
13,10000,1000,35,15,ClusterR,407621101.076158
14,10000,1000,35,15,ClusterR,357133248.349292
15,10000,1000,35,15,ClusterR,549097242.419358
16,10000,1000,35,15,ClusterR,991583975.299603
17,10000,1000,35,15,ClusterR,966111325.790364
18,10000,1000,35,15,ClusterR,1931794220.77586
19,10000,1000,35,15,ClusterR,516503746.848478
20,10000,1000,35,15,ClusterR,634904487.64321
21,10000,1000,35,15,ClusterR,636423311.389876
22,10000,1000,35,15,ClusterR,1824137341.31389
23,10000,1000,35,15,ClusterR,529302995.247765
