"B","observations","genes","abs_batch","k","method","WCSS"
1,5000,1000,10,15,kmeans,118060707.903196
2,5000,1000,10,15,kmeans,117742400.943988
3,5000,1000,10,15,kmeans,149906120.959806
4,5000,1000,10,15,kmeans,118052585.209742
5,5000,1000,10,15,kmeans,117815821.025889
6,5000,1000,10,15,kmeans,117581389.817037
7,5000,1000,10,15,kmeans,117850670.157561
8,5000,1000,10,15,kmeans,149797861.99487
9,5000,1000,10,15,kmeans,117742166.410694
10,5000,1000,10,15,kmeans,149769686.231965
11,5000,1000,10,15,kmeans,117783686.013066
12,5000,1000,10,15,kmeans,117988622.406195
13,5000,1000,10,15,kmeans,149984840.678486
14,5000,1000,10,15,kmeans,117951985.623584
15,5000,1000,10,15,kmeans,117815821.025889
16,5000,1000,10,15,kmeans,118097340.953045
17,5000,1000,10,15,kmeans,118336944.133629
18,5000,1000,10,15,kmeans,117960945.941516
19,5000,1000,10,15,kmeans,149598928.598514
20,5000,1000,10,15,kmeans,117627267.621919
21,5000,1000,10,15,kmeans,150126732.896993
22,5000,1000,10,15,kmeans,150293010.685975
23,5000,1000,10,15,kmeans,149472287.187669
24,5000,1000,10,15,kmeans,117626440.562916
25,5000,1000,10,15,kmeans,117798146.356994
26,5000,1000,10,15,kmeans,117645070.432759
27,5000,1000,10,15,kmeans,117742286.194521
28,5000,1000,10,15,kmeans,117767668.173229
29,5000,1000,10,15,kmeans,117988428.811409
30,5000,1000,10,15,kmeans,118013106.603766
31,5000,1000,10,15,kmeans,150030241.380243
32,5000,1000,10,15,kmeans,149656985.100016
33,5000,1000,10,15,kmeans,117809156.477556
34,5000,1000,10,15,kmeans,150062512.694149
35,5000,1000,10,15,kmeans,150388374.063058
36,5000,1000,10,15,kmeans,117786346.463354
37,5000,1000,10,15,kmeans,150042744.88844
38,5000,1000,10,15,kmeans,117648195.509455
39,5000,1000,10,15,kmeans,117817471.164256
40,5000,1000,10,15,kmeans,117810523.352592
41,5000,1000,10,15,kmeans,117742400.943988
42,5000,1000,10,15,kmeans,118013106.603766
43,5000,1000,10,15,kmeans,150065964.763637
44,5000,1000,10,15,kmeans,118125049.778175
45,5000,1000,10,15,kmeans,117903722.140733
46,5000,1000,10,15,kmeans,117980693.452117
47,5000,1000,10,15,kmeans,149664713.114171
48,5000,1000,10,15,kmeans,118066923.611473
49,5000,1000,10,15,kmeans,118128551.16514
50,5000,1000,10,15,kmeans,117640743.292011
