"B","observations","genes","abs_batch","k","method","WCSS"
1,25000,1000,10,15,hdf5,1822649110.32144
2,25000,1000,10,15,hdf5,2069936414.00001
3,25000,1000,10,15,hdf5,1905885212.3
4,25000,1000,10,15,hdf5,1075450262.59186
5,25000,1000,10,15,hdf5,2322573295.35001
6,25000,1000,10,15,hdf5,999883218.138906
7,25000,1000,10,15,hdf5,1990449698.16672
8,25000,1000,10,15,hdf5,2218574137.75
9,25000,1000,10,15,hdf5,1453431888.53125
10,25000,1000,10,15,hdf5,1852190005.91667
11,25000,1000,10,15,hdf5,2246453610.46429
12,25000,1000,10,15,hdf5,2544397972.44
13,25000,1000,10,15,hdf5,4987518455.455
14,25000,1000,10,15,hdf5,2450701160.75
15,25000,1000,10,15,hdf5,2257598540.71429
16,25000,1000,10,15,hdf5,10264153094.0751
17,25000,1000,10,15,hdf5,2040765351.7
18,25000,1000,10,15,hdf5,6879136521.85714
19,25000,1000,10,15,hdf5,1909111076.17346
20,25000,1000,10,15,hdf5,3626593441.42188
21,25000,1000,10,15,hdf5,3416255494.20312
22,25000,1000,10,15,hdf5,4633086164.44445
23,25000,1000,10,15,hdf5,1806251876.2014
24,25000,1000,10,15,hdf5,884441444.095242
25,25000,1000,10,15,hdf5,4341798371.81552
26,25000,1000,10,15,hdf5,1350257328.58333
27,25000,1000,10,15,hdf5,1302728785.16666
28,25000,1000,10,15,hdf5,948839437.828897
29,25000,1000,10,15,hdf5,2127714203.5
30,25000,1000,10,15,hdf5,2059085843.46875
31,25000,1000,10,15,hdf5,1306671590.34858
32,25000,1000,10,15,hdf5,996991845.518511
33,25000,1000,10,15,hdf5,1090609936
34,25000,1000,10,15,hdf5,1365279878.66667
35,25000,1000,10,15,hdf5,1531883983.6667
36,25000,1000,10,15,hdf5,1320395815.94444
37,25000,1000,10,15,hdf5,4662362530.43209
38,25000,1000,10,15,hdf5,1912627868.61727
39,25000,1000,10,15,hdf5,1836261928.86111
40,25000,1000,10,15,hdf5,1470530030.83333
41,25000,1000,10,15,hdf5,2475942733.91668
42,25000,1000,10,15,hdf5,1683104840.40625
43,25000,1000,10,15,hdf5,8210288337.61728
44,25000,1000,10,15,hdf5,1434218479.05554
45,25000,1000,10,15,hdf5,3558748801.1
46,25000,1000,10,15,hdf5,1674717858.4375
47,25000,1000,10,15,hdf5,1461326753.27778
48,25000,1000,10,15,hdf5,1735548252.45486
49,25000,1000,10,15,hdf5,2154178767.7222
50,25000,1000,10,15,hdf5,1594541793.40124
1,25000,1000,35,15,hdf5,1324833756.7625
2,25000,1000,35,15,hdf5,916738132.384686
3,25000,1000,35,15,hdf5,1097565214.97668
4,25000,1000,35,15,hdf5,742007969.148114
5,25000,1000,35,15,hdf5,1332721860.04015
6,25000,1000,35,15,hdf5,1142898580.62519
7,25000,1000,35,15,hdf5,858534441.412126
8,25000,1000,35,15,hdf5,1012881471.26019
9,25000,1000,35,15,hdf5,1004550207.13332
10,25000,1000,35,15,hdf5,1397344555.76587
11,25000,1000,35,15,hdf5,1109717974.0707
12,25000,1000,35,15,hdf5,871738506.879722
13,25000,1000,35,15,hdf5,1055098838.45405
14,25000,1000,35,15,hdf5,1315145020.3972
15,25000,1000,35,15,hdf5,838148690.597039
16,25000,1000,35,15,hdf5,1462703780.19201
17,25000,1000,35,15,hdf5,1470239885.04555
18,25000,1000,35,15,hdf5,765615484.286473
19,25000,1000,35,15,hdf5,916721395.587061
20,25000,1000,35,15,hdf5,898968203.775003
21,25000,1000,35,15,hdf5,1404640717.28295
22,25000,1000,35,15,hdf5,868601324.330515
23,25000,1000,35,15,hdf5,951156975.738601
24,25000,1000,35,15,hdf5,1116798585.88657
25,25000,1000,35,15,hdf5,1021964908.13743
26,25000,1000,35,15,hdf5,1267704855.85098
27,25000,1000,35,15,hdf5,962254091.168288
28,25000,1000,35,15,hdf5,1414657018.10667
29,25000,1000,35,15,hdf5,990756849.319734
30,25000,1000,35,15,hdf5,2264800956.02466
31,25000,1000,35,15,hdf5,733179077.929651
32,25000,1000,35,15,hdf5,1610701835.03492
33,25000,1000,35,15,hdf5,788143523.385801
34,25000,1000,35,15,hdf5,1021370102.43276
35,25000,1000,35,15,hdf5,803994651.91763
36,25000,1000,35,15,hdf5,1971029656.95648
37,25000,1000,35,15,hdf5,1282978833.51415
38,25000,1000,35,15,hdf5,1062416746.9012
39,25000,1000,35,15,hdf5,1813549442.50962
40,25000,1000,35,15,hdf5,1597115861.65326
41,25000,1000,35,15,hdf5,966184809.786438
42,25000,1000,35,15,hdf5,1256746992.88112
43,25000,1000,35,15,hdf5,1364179349.12963
44,25000,1000,35,15,hdf5,804335500.118067
45,25000,1000,35,15,hdf5,1341475621.49125
46,25000,1000,35,15,hdf5,990105197.561825
47,25000,1000,35,15,hdf5,892180422.813407
48,25000,1000,35,15,hdf5,1366423279.91095
49,25000,1000,35,15,hdf5,900947418.759748
50,25000,1000,35,15,hdf5,1005338943.85879
