"B","observations","genes","abs_batch","k","method","WCSS"
1,5000,1000,10,15,mbkmeans,231464917.881945
2,5000,1000,10,15,mbkmeans,293440062.5
3,5000,1000,10,15,mbkmeans,374610454.583333
4,5000,1000,10,15,mbkmeans,326561799.166662
5,5000,1000,10,15,mbkmeans,404352570.333336
6,5000,1000,10,15,mbkmeans,392063580.110001
7,5000,1000,10,15,mbkmeans,635821848
8,5000,1000,10,15,mbkmeans,342209108.888891
9,5000,1000,10,15,mbkmeans,254298799.6875
10,5000,1000,10,15,mbkmeans,790606429.1875
11,5000,1000,10,15,mbkmeans,1984425995.3125
12,5000,1000,10,15,mbkmeans,401048759.611111
13,5000,1000,10,15,mbkmeans,365320611.880003
14,5000,1000,10,15,mbkmeans,1732587755.41327
15,5000,1000,10,15,mbkmeans,360080030.569445
16,5000,1000,10,15,mbkmeans,1160315811.25
17,5000,1000,10,15,mbkmeans,1896259227.33333
18,5000,1000,10,15,mbkmeans,356157125.416666
19,5000,1000,10,15,mbkmeans,430238600.25
20,5000,1000,10,15,mbkmeans,378788349.859375
21,5000,1000,10,15,mbkmeans,253577403.960002
22,5000,1000,10,15,mbkmeans,898906168
23,5000,1000,10,15,mbkmeans,667270889.327397
24,5000,1000,10,15,mbkmeans,545217370.611111
25,5000,1000,10,15,mbkmeans,383623492.555559
26,5000,1000,10,15,mbkmeans,380639152.451532
27,5000,1000,10,15,mbkmeans,671348008
28,5000,1000,10,15,mbkmeans,503884568.666657
29,5000,1000,10,15,mbkmeans,245230588.333333
30,5000,1000,10,15,mbkmeans,469586346.5
31,5000,1000,10,15,mbkmeans,316114618.666665
32,5000,1000,10,15,mbkmeans,495686955.336727
33,5000,1000,10,15,mbkmeans,379632575.480003
34,5000,1000,10,15,mbkmeans,286588196.166666
35,5000,1000,10,15,mbkmeans,404829973.277777
36,5000,1000,10,15,mbkmeans,464950844.527778
37,5000,1000,10,15,mbkmeans,340931793.875
38,5000,1000,10,15,mbkmeans,321911180.472222
39,5000,1000,10,15,mbkmeans,442085977.102042
40,5000,1000,10,15,mbkmeans,544558490.375
41,5000,1000,10,15,mbkmeans,257701086.277778
42,5000,1000,10,15,mbkmeans,368122750.816328
43,5000,1000,10,15,mbkmeans,223136139.850001
44,5000,1000,10,15,mbkmeans,425452383.944445
45,5000,1000,10,15,mbkmeans,241242482.407407
46,5000,1000,10,15,mbkmeans,426913368.976667
47,5000,1000,10,15,mbkmeans,4400772748.875
48,5000,1000,10,15,mbkmeans,330191995.987654
49,5000,1000,10,15,mbkmeans,243197470.359375
50,5000,1000,10,15,mbkmeans,1442173529
1,5000,1000,35,15,mbkmeans,261808454.51152
2,5000,1000,35,15,mbkmeans,220538900.212223
3,5000,1000,35,15,mbkmeans,228617695.507388
4,5000,1000,35,15,mbkmeans,318591865.568593
5,5000,1000,35,15,mbkmeans,268383450.543333
6,5000,1000,35,15,mbkmeans,170155986.542914
7,5000,1000,35,15,mbkmeans,219801320.090002
8,5000,1000,35,15,mbkmeans,198308641.428601
9,5000,1000,35,15,mbkmeans,431794472.549006
10,5000,1000,35,15,mbkmeans,437204787.26226
11,5000,1000,35,15,mbkmeans,281477155.485868
12,5000,1000,35,15,mbkmeans,142537101.682222
13,5000,1000,35,15,mbkmeans,249059668.275523
14,5000,1000,35,15,mbkmeans,428208214.775313
15,5000,1000,35,15,mbkmeans,211924557.86065
16,5000,1000,35,15,mbkmeans,28029657010.4376
17,5000,1000,35,15,mbkmeans,375587495.024563
18,5000,1000,35,15,mbkmeans,189219775.317923
19,5000,1000,35,15,mbkmeans,281318453.467948
20,5000,1000,35,15,mbkmeans,353446367.767608
21,5000,1000,35,15,mbkmeans,183123422.512463
22,5000,1000,35,15,mbkmeans,260159798.653086
23,5000,1000,35,15,mbkmeans,360370458.388888
24,5000,1000,35,15,mbkmeans,277571780.900173
25,5000,1000,35,15,mbkmeans,258887387.400652
26,5000,1000,35,15,mbkmeans,266045841.661112
27,5000,1000,35,15,mbkmeans,330959879.135203
28,5000,1000,35,15,mbkmeans,201827263.549386
29,5000,1000,35,15,mbkmeans,196996706.346524
30,5000,1000,35,15,mbkmeans,374499069.423337
31,5000,1000,35,15,mbkmeans,217448932.486239
