"B","observations","genes","abs_batch","k","method","WCSS"
1,10000,1000,10,15,hdf5,1329290361.56425
2,10000,1000,10,15,hdf5,12541902758.3265
3,10000,1000,10,15,hdf5,611820985.90625
4,10000,1000,10,15,hdf5,791562743.416653
5,10000,1000,10,15,hdf5,555289896.240002
6,10000,1000,10,15,hdf5,1062457361.15
7,10000,1000,10,15,hdf5,941070339.1
8,10000,1000,10,15,hdf5,797318092.666668
9,10000,1000,10,15,hdf5,775809095.944445
10,10000,1000,10,15,hdf5,1015683468.23
11,10000,1000,10,15,hdf5,1230867460.4375
12,10000,1000,10,15,hdf5,602770783.379629
13,10000,1000,10,15,hdf5,1697298074.125
14,10000,1000,10,15,hdf5,2237604586.91327
15,10000,1000,10,15,hdf5,896521503.370363
16,10000,1000,10,15,hdf5,725580050.444443
17,10000,1000,10,15,hdf5,1622933464.06482
18,10000,1000,10,15,hdf5,940299941.5
19,10000,1000,10,15,hdf5,845757592.397958
20,10000,1000,10,15,hdf5,950307439.361112
21,10000,1000,10,15,hdf5,511750848.851852
22,10000,1000,10,15,hdf5,1127174499.44444
23,10000,1000,10,15,hdf5,770742074.413271
24,10000,1000,10,15,hdf5,23266542348.6111
25,10000,1000,10,15,hdf5,1599906332.63776
26,10000,1000,10,15,hdf5,612820206.34375
27,10000,1000,10,15,hdf5,988198629.422225
28,10000,1000,10,15,hdf5,818996356.425919
29,10000,1000,10,15,hdf5,968513121.722223
30,10000,1000,10,15,hdf5,672709413.880003
31,10000,1000,10,15,hdf5,857187733.841636
32,10000,1000,10,15,hdf5,501868557.828125
33,10000,1000,10,15,hdf5,687549118
34,10000,1000,10,15,hdf5,661146253.611108
35,10000,1000,10,15,hdf5,917515098.704083
36,10000,1000,10,15,hdf5,73947284135.25
37,10000,1000,10,15,hdf5,656531915.571111
38,10000,1000,10,15,hdf5,673807856.875554
39,10000,1000,10,15,hdf5,608135571.0625
40,10000,1000,10,15,hdf5,576583327.791667
41,10000,1000,10,15,hdf5,564425031.444444
42,10000,1000,10,15,hdf5,2090556603.22222
43,10000,1000,10,15,hdf5,544270784.375
44,10000,1000,10,15,hdf5,683630542.220002
45,10000,1000,10,15,hdf5,1376136673.5
46,10000,1000,10,15,hdf5,1093245980.16668
47,10000,1000,10,15,hdf5,691939263.333333
48,10000,1000,10,15,hdf5,877637311.53125
49,10000,1000,10,15,hdf5,652742126.628577
50,10000,1000,10,15,hdf5,595403394.750002
