"B","observations","genes","abs_batch","k","method","WCSS"
1,5000,5000,10,15,kmeans,146286165.959128
2,5000,5000,10,15,kmeans,114473068.647437
3,5000,5000,10,15,kmeans,114241457.010614
4,5000,5000,10,15,kmeans,146469672.117745
5,5000,5000,10,15,kmeans,146131305.010254
6,5000,5000,10,15,kmeans,114506920.84066
7,5000,5000,10,15,kmeans,114461422.612214
8,5000,5000,10,15,kmeans,114241457.010614
9,5000,5000,10,15,kmeans,114629531.180264
10,5000,5000,10,15,kmeans,146681834.441852
11,5000,5000,10,15,kmeans,114317499.569766
12,5000,5000,10,15,kmeans,146058833.291047
13,5000,5000,10,15,kmeans,146077933.224417
14,5000,5000,10,15,kmeans,145972310.565892
15,5000,5000,10,15,kmeans,114241457.010614
16,5000,5000,10,15,kmeans,146044190.032204
17,5000,5000,10,15,kmeans,146038994.82021
18,5000,5000,10,15,kmeans,145942396.937644
19,5000,5000,10,15,kmeans,145965599.305689
20,5000,5000,10,15,kmeans,146039651.073523
21,5000,5000,10,15,kmeans,114416925.28991
22,5000,5000,10,15,kmeans,146097624.371811
23,5000,5000,10,15,kmeans,146111071.066166
24,5000,5000,10,15,kmeans,114351671.12898
25,5000,5000,10,15,kmeans,114241457.010614
26,5000,5000,10,15,kmeans,146171676.696941
27,5000,5000,10,15,kmeans,146245187.128803
28,5000,5000,10,15,kmeans,114348582.680453
29,5000,5000,10,15,kmeans,114765721.403115
30,5000,5000,10,15,kmeans,146367959.513554
31,5000,5000,10,15,kmeans,114371504.438034
32,5000,5000,10,15,kmeans,146288641.982623
33,5000,5000,10,15,kmeans,146032958.862524
34,5000,5000,10,15,kmeans,114737581.329056
35,5000,5000,10,15,kmeans,114855467.619172
36,5000,5000,10,15,kmeans,114260953.696471
37,5000,5000,10,15,kmeans,114416955.262891
38,5000,5000,10,15,kmeans,114260695.138029
39,5000,5000,10,15,kmeans,114624576.822309
40,5000,5000,10,15,kmeans,146064238.195514
41,5000,5000,10,15,kmeans,114348597.416464
42,5000,5000,10,15,kmeans,114629533.982516
43,5000,5000,10,15,kmeans,114737997.205583
44,5000,5000,10,15,kmeans,146062298.315624
45,5000,5000,10,15,kmeans,145971241.299913
46,5000,5000,10,15,kmeans,114241457.010614
47,5000,5000,10,15,kmeans,114826490.499763
48,5000,5000,10,15,kmeans,146032455.918404
49,5000,5000,10,15,kmeans,114963779.265203
50,5000,5000,10,15,kmeans,145956212.262357
1,5000,5000,35,15,kmeans,146353190.503394
2,5000,5000,35,15,kmeans,146044885.322907
3,5000,5000,35,15,kmeans,114629551.399498
4,5000,5000,35,15,kmeans,146484297.83907
5,5000,5000,35,15,kmeans,114241457.010614
6,5000,5000,35,15,kmeans,146049314.034846
7,5000,5000,35,15,kmeans,146465677.141956
8,5000,5000,35,15,kmeans,114479681.368662
9,5000,5000,35,15,kmeans,146002521.678505
10,5000,5000,35,15,kmeans,114260299.087928
11,5000,5000,35,15,kmeans,114295575.747322
12,5000,5000,35,15,kmeans,146066519.911804
13,5000,5000,35,15,kmeans,146111905.826073
14,5000,5000,35,15,kmeans,146049501.415086
15,5000,5000,35,15,kmeans,146236686.377203
16,5000,5000,35,15,kmeans,146413858.772584
17,5000,5000,35,15,kmeans,146242192.511825
18,5000,5000,35,15,kmeans,146182924.321917
19,5000,5000,35,15,kmeans,114737581.329056
20,5000,5000,35,15,kmeans,114317499.569766
21,5000,5000,35,15,kmeans,146036838.193251
22,5000,5000,35,15,kmeans,145915710.588276
