"B","observations","genes","abs_batch","k","method","WCSS"
1,25000,5000,10,15,mbkmeans,1141980141.08001
2,25000,5000,10,15,mbkmeans,827358151.79012
3,25000,5000,10,15,mbkmeans,1031047317.28001
4,25000,5000,10,15,mbkmeans,881007088.527761
5,25000,5000,10,15,mbkmeans,975459223.388885
6,25000,5000,10,15,mbkmeans,956137141.524703
7,25000,5000,10,15,mbkmeans,865831898.566665
8,25000,5000,10,15,mbkmeans,1097148636.5
9,25000,5000,10,15,mbkmeans,855886965.722218
10,25000,5000,10,15,mbkmeans,1262875165.0625
11,25000,5000,10,15,mbkmeans,857667379.244906
12,25000,5000,10,15,mbkmeans,1042842337.875
13,25000,5000,10,15,mbkmeans,1278129815.055
14,25000,5000,10,15,mbkmeans,1354237173.03125
15,25000,5000,10,15,mbkmeans,1628979010.66666
16,25000,5000,10,15,mbkmeans,1785085333.34501
17,25000,5000,10,15,mbkmeans,875252362.734705
18,25000,5000,10,15,mbkmeans,1421368978.57146
19,25000,5000,10,15,mbkmeans,1076335799.22223
20,25000,5000,10,15,mbkmeans,836886194.550002
21,25000,5000,10,15,mbkmeans,1362235098.8125
22,25000,5000,10,15,mbkmeans,872662476.88888
23,25000,5000,10,15,mbkmeans,2288104188.6875
24,25000,5000,10,15,mbkmeans,968355690.944469
25,25000,5000,10,15,mbkmeans,1164334479.25
26,25000,5000,10,15,mbkmeans,962620095.325003
27,25000,5000,10,15,mbkmeans,1093683066.46914
28,25000,5000,10,15,mbkmeans,1186123309.47222
29,25000,5000,10,15,mbkmeans,1629903555.55557
30,25000,5000,10,15,mbkmeans,1076822549.25
31,25000,5000,10,15,mbkmeans,1278326860.4375
32,25000,5000,10,15,mbkmeans,1313982716.25
33,25000,5000,10,15,mbkmeans,1336899591.31633
34,25000,5000,10,15,mbkmeans,1046683520.32001
35,25000,5000,10,15,mbkmeans,768759247.209185
36,25000,5000,10,15,mbkmeans,909757479.270209
37,25000,5000,10,15,mbkmeans,887114339.650002
38,25000,5000,10,15,mbkmeans,1660487368.99999
39,25000,5000,10,15,mbkmeans,1459695558
40,25000,5000,10,15,mbkmeans,1171426646.875
41,25000,5000,10,15,mbkmeans,1055454581.94444
42,25000,5000,10,15,mbkmeans,1573047751.375
43,25000,5000,10,15,mbkmeans,1221363019.40625
44,25000,5000,10,15,mbkmeans,1578377821.35938
45,25000,5000,10,15,mbkmeans,1005888382.64541
46,25000,5000,10,15,mbkmeans,1091636399.25
47,25000,5000,10,15,mbkmeans,1346203553.85185
48,25000,5000,10,15,mbkmeans,939675484.5
49,25000,5000,10,15,mbkmeans,903395834.833328
50,25000,5000,10,15,mbkmeans,848163960.520841
1,25000,5000,35,15,mbkmeans,1719658617.82038
2,25000,5000,35,15,mbkmeans,1112063748.56376
3,25000,5000,35,15,mbkmeans,1090398766.43622
4,25000,5000,35,15,mbkmeans,1023923086.14849
5,25000,5000,35,15,mbkmeans,1007645214.74301
6,25000,5000,35,15,mbkmeans,897591947.68674
7,25000,5000,35,15,mbkmeans,711180083.861121
8,25000,5000,35,15,mbkmeans,679984926.894204
9,25000,5000,35,15,mbkmeans,1755573902.27928
10,25000,5000,35,15,mbkmeans,707910687.80358
11,25000,5000,35,15,mbkmeans,764120610.625012
