"B","observations","genes","abs_batch","k","initializer","method","ARI","WCSS","iterations","fault"
1,500,1000,10,3,random,hdf5,0.975655360886282,1632491.49803645,22,NA
2,500,1000,10,3,random,hdf5,0.97932040706637,1200087.10225381,19,NA
3,500,1000,10,3,random,hdf5,0.993137794584187,1391209.87730091,15,NA
4,500,1000,10,3,random,hdf5,0.946198531402567,1541689.80723824,11,NA
5,500,1000,10,3,random,hdf5,0.961084621606421,1251241.53648913,29,NA
6,500,1000,10,3,random,hdf5,0.987205956728308,1252871.42823321,18,NA
7,500,1000,10,3,random,hdf5,0.987239007123856,1271266.27503315,21,NA
8,500,1000,10,3,random,hdf5,0.983051563939004,1271362.10866969,21,NA
9,500,1000,10,3,random,hdf5,0.995853131038282,1565417.51384282,16,NA
10,500,1000,10,3,random,hdf5,0.977278889953497,1277225.70609674,18,NA
11,500,1000,10,3,random,hdf5,0.985498400357755,1784674.39398523,23,NA
12,500,1000,10,3,random,hdf5,0.983440812467554,1362791.75239763,27,NA
13,500,1000,10,3,random,hdf5,0.987305606482638,1448419.39846185,16,NA
14,500,1000,10,3,random,hdf5,0.98200836033808,1450286.53583193,14,NA
15,500,1000,10,3,random,hdf5,0.969562027052069,1362441.66791059,27,NA
16,500,1000,10,3,random,hdf5,0.988967136557001,1410370.3774146,15,NA
17,500,1000,10,3,random,hdf5,0.905668107708206,1834107.69651456,36,NA
18,500,1000,10,3,random,hdf5,0.987322291595245,1299973.54928481,18,NA
19,500,1000,10,3,random,hdf5,0.976566351849788,1379725.95409595,14,NA
20,500,1000,10,3,random,hdf5,0.97993573135102,1738239.64125315,20,NA
21,500,1000,10,3,random,hdf5,0.973806094572525,1483715.03348761,25,NA
22,500,1000,10,3,random,hdf5,0.976653102053457,1463638.89272981,12,NA
23,500,1000,10,3,random,hdf5,0.987302297314765,1273748.66083164,20,NA
24,500,1000,10,3,random,hdf5,1,1181880.32127874,25,NA
25,500,1000,10,3,random,hdf5,0.967490836029224,1837687.73616447,19,NA
26,500,1000,10,3,random,hdf5,0.993363684711212,1195050.35502611,15,NA
27,500,1000,10,3,random,hdf5,0.993297023185572,1449331.74531037,17,NA
28,500,1000,10,3,random,hdf5,0.987209590450667,1157031.52085016,11,NA
29,500,1000,10,3,random,hdf5,0.974643584191821,1498698.72057085,24,NA
30,500,1000,10,3,random,hdf5,0.963216896853439,1458588.9697891,15,NA
31,500,1000,10,3,random,hdf5,0.940937749694703,1527348.8770251,24,NA
32,500,1000,10,3,random,hdf5,0.980755366226093,1379777.18525313,14,NA
