"B","observations","genes","abs_batch","k","initializer","method","ARI","WCSS","iterations","fault"
1,500,1000,10,3,random,mbkmeans,0.974526388437199,1321831.99077081,30,NA
2,500,1000,10,3,random,mbkmeans,0.993170439000324,1208218.11408908,15,NA
3,500,1000,10,3,random,mbkmeans,0.902681489078504,1928108.04103959,31,NA
4,500,1000,10,3,random,mbkmeans,1,1219690.1407859,11,NA
5,500,1000,10,3,random,mbkmeans,0.979083136201949,1426579.37464803,20,NA
6,500,1000,10,3,random,mbkmeans,0.994182144276091,1211481.09336734,31,NA
7,500,1000,10,3,random,mbkmeans,0.972412103755479,1678710.63143645,15,NA
8,500,1000,10,3,random,mbkmeans,0.99175685864663,1807107.68682954,23,NA
9,500,1000,10,3,random,mbkmeans,0.927167467183006,1779196.01090724,35,NA
10,500,1000,10,3,random,mbkmeans,0.993373789801123,1578267.0483918,23,NA
11,500,1000,10,3,random,mbkmeans,0.994105970888186,1114448.64404931,21,NA
12,500,1000,10,3,random,mbkmeans,0.920939756003658,1632285.01833607,20,NA
13,500,1000,10,3,random,mbkmeans,0.981220223787195,1253671.05447916,32,NA
14,500,1000,10,3,random,mbkmeans,0.986652409326453,1582889.90904393,15,NA
15,500,1000,10,3,random,mbkmeans,0.986837718046508,1462364.54473659,16,NA
16,500,1000,10,3,random,mbkmeans,0.987355594918097,1193883.19303645,24,NA
17,500,1000,10,3,random,mbkmeans,0.98049427785302,1396623.86515971,20,NA
18,500,1000,10,3,random,mbkmeans,0.987294169516431,1279399.19777532,16,NA
19,500,1000,10,3,random,mbkmeans,1,1322792.26571584,63,NA
20,500,1000,10,3,random,mbkmeans,0.993158306907731,1255652.17792123,21,NA
21,500,1000,10,3,random,mbkmeans,0.987216620359073,1249750.6010283,17,NA
22,500,1000,10,3,random,mbkmeans,1,1462612.90482692,17,NA
23,500,1000,10,3,random,mbkmeans,0.974599717563302,1341401.32294588,16,NA
