"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,500,1000,0.005,3,random,kmeans,0.993158516785555,952347.844959775
2,500,1000,0.005,3,random,kmeans,0.980541093300724,1012467.37392633
3,500,1000,0.005,3,random,kmeans,0.987265273295751,1002573.6964948
4,500,1000,0.005,3,random,kmeans,0.994223559316176,1006269.54965015
5,500,1000,0.005,3,random,kmeans,0.993923591127387,1008606.11710276
1,500,1000,0.01,3,random,kmeans,0.981076578308362,942508.866258878
2,500,1000,0.01,3,random,kmeans,0.9931471378909,901133.561032289
3,500,1000,0.01,3,random,kmeans,0.980663363553392,982813.578970609
4,500,1000,0.01,3,random,kmeans,0.994177483182901,1008343.63745672
5,500,1000,0.01,3,random,kmeans,0.987224342817957,1027176.59251206
1,500,1000,0.05,3,random,kmeans,0.986636193952936,1002697.80888723
2,500,1000,0.05,3,random,kmeans,0.986407479103972,1020134.31099598
3,500,1000,0.05,3,random,kmeans,0.987117157688657,999546.330780725
4,500,1000,0.05,3,random,kmeans,0.987224742218363,989837.921585739
5,500,1000,0.05,3,random,kmeans,0.98091388421244,996020.209880141
1,500,1000,0.1,3,random,kmeans,0.993116643912591,1013061.39677389
2,500,1000,0.1,3,random,kmeans,0.987210939809423,971505.087410299
3,500,1000,0.1,3,random,kmeans,0.987237725841169,1038868.66108559
4,500,1000,0.1,3,random,kmeans,0.986422011825592,979627.591605899
5,500,1000,0.1,3,random,kmeans,0.987344445882087,1007453.57802432
1,500,1000,0.2,3,random,kmeans,1,990399.964795178
2,500,1000,0.2,3,random,kmeans,0.994068651345646,1018370.33749205
3,500,1000,0.2,3,random,kmeans,0.993086902786247,1047833.78870829
4,500,1000,0.2,3,random,kmeans,0.973680475640707,962103.759516567
5,500,1000,0.2,3,random,kmeans,0.993395207700417,986762.144561369
1,500,1000,0.35,3,random,kmeans,0.986552071868633,936603.959432451
2,500,1000,0.35,3,random,kmeans,0.993175705575878,1016142.9029014
3,500,1000,0.35,3,random,kmeans,1,982454.248560777
4,500,1000,0.35,3,random,kmeans,0.973503266729802,983157.329102454
5,500,1000,0.35,3,random,kmeans,0.993152538860649,1094520.53835797
1,500,1000,0.5,3,random,kmeans,0.987233073683023,985663.015598
2,500,1000,0.5,3,random,kmeans,0.993097542226769,874595.35678947
3,500,1000,0.5,3,random,kmeans,0.993971952926396,965214.697380045
4,500,1000,0.5,3,random,kmeans,0.993220734664975,935931.058748493
5,500,1000,0.5,3,random,kmeans,1,933218.376973926
1,2000,1000,0.005,3,random,kmeans,0.981278591871679,3854272.45633553
2,2000,1000,0.005,3,random,kmeans,0.986691544076053,4137479.65839862
3,2000,1000,0.005,3,random,kmeans,0.98670896192133,3823503.68855252
4,2000,1000,0.005,3,random,kmeans,0.986883335384867,3974668.72340577
5,2000,1000,0.005,3,random,kmeans,0.986875665848535,4100625.31228885
1,2000,1000,0.01,3,random,kmeans,0.988961834909155,3954821.66633942
2,2000,1000,0.01,3,random,kmeans,0.988560361033009,4173454.42092423
3,2000,1000,0.01,3,random,kmeans,0.995753551212576,4009793.18402838
4,2000,1000,0.01,3,random,kmeans,0.983873355666413,3909534.96283109
5,2000,1000,0.01,3,random,kmeans,0.99379295801641,4017939.2708276
1,2000,1000,0.05,3,random,kmeans,0.98706967389171,3823140.36383735
2,2000,1000,0.05,3,random,kmeans,0.996619838168909,4108032.4306623
3,2000,1000,0.05,3,random,kmeans,0.995119450063414,4129450.40307901
4,2000,1000,0.05,3,random,kmeans,0.990607219894061,3989694.43422931
5,2000,1000,0.05,3,random,kmeans,0.993439030236793,3879989.07579957
1,2000,1000,0.1,3,random,kmeans,0.988528293481047,4137186.3971168
2,2000,1000,0.1,3,random,kmeans,0.995134520884945,4089570.95680578
3,2000,1000,0.1,3,random,kmeans,0.995321108053916,3877436.62364426
4,2000,1000,0.1,3,random,kmeans,0.992566566372726,4033731.78757702
5,2000,1000,0.1,3,random,kmeans,0.991970730595467,4011522.29539104
1,2000,1000,0.2,3,random,kmeans,0.988983136693869,3944033.70141304
2,2000,1000,0.2,3,random,kmeans,0.984573056995314,4053005.72327087
3,2000,1000,0.2,3,random,kmeans,0.986839618848054,4057755.15944466
4,2000,1000,0.2,3,random,kmeans,0.978711450632073,4082878.27171477
5,2000,1000,0.2,3,random,kmeans,0.987275270911565,3997430.36575102
1,2000,1000,0.35,3,random,kmeans,0.985577280550991,3933500.55451779
2,2000,1000,0.35,3,random,kmeans,0.991930396589408,3899331.69180186
3,2000,1000,0.35,3,random,kmeans,0.992164542864191,3910268.35007216
4,2000,1000,0.35,3,random,kmeans,0.989404041768594,3878689.48998525
5,2000,1000,0.35,3,random,kmeans,0.987708582936283,4037828.59721512
1,2000,1000,0.5,3,random,kmeans,0.994865777054899,4193353.8086564
2,2000,1000,0.5,3,random,kmeans,0.990011181705831,3884128.1711863
3,2000,1000,0.5,3,random,kmeans,0.990472362195736,4099337.835547
4,2000,1000,0.5,3,random,kmeans,0.988742781488805,4099702.28882161
5,2000,1000,0.5,3,random,kmeans,0.980976262203202,3922859.35937818
1,4000,1000,0.005,3,random,kmeans,0.989139124099531,8025244.84172164
2,4000,1000,0.005,3,random,kmeans,0.984241784973499,7776290.32556447
3,4000,1000,0.005,3,random,kmeans,0.988672745593171,7964666.15869685
4,4000,1000,0.005,3,random,kmeans,0.982414309349764,8114257.3580277
5,4000,1000,0.005,3,random,kmeans,0.992228351075746,7634146.59784019
1,4000,1000,0.01,3,random,kmeans,0.992893489108295,7884220.56512214
2,4000,1000,0.01,3,random,kmeans,0.990342406831468,7856176.6479258
3,4000,1000,0.01,3,random,kmeans,0.988676457788646,8000872.98180654
4,4000,1000,0.01,3,random,kmeans,0.99211137735251,7983188.70496542
5,4000,1000,0.01,3,random,kmeans,0.986345121410923,7932108.62098063
1,4000,1000,0.05,3,random,kmeans,0.989091101904053,8129240.73398029
2,4000,1000,0.05,3,random,kmeans,0.991294045317025,7904001.14247821
3,4000,1000,0.05,3,random,kmeans,0.985383067589783,7894056.11310643
4,4000,1000,0.05,3,random,kmeans,0.988556696506824,8473779.1927472
5,4000,1000,0.05,3,random,kmeans,0.990863444564646,8166344.18931164
1,4000,1000,0.1,3,random,kmeans,0.987759463337759,7747383.73995711
2,4000,1000,0.1,3,random,kmeans,0.988442065566347,8173509.19755486
3,4000,1000,0.1,3,random,kmeans,0.99032843122959,7993939.08740981
4,4000,1000,0.1,3,random,kmeans,0.989415599258264,7630771.0654656
5,4000,1000,0.1,3,random,kmeans,0.993537423621423,8022509.28900197
1,4000,1000,0.2,3,random,kmeans,0.991419702980247,7987860.76223166
2,4000,1000,0.2,3,random,kmeans,0.993417519859861,8009350.33930892
3,4000,1000,0.2,3,random,kmeans,0.993625002095898,7940500.58248649
4,4000,1000,0.2,3,random,kmeans,0.988758991303299,8268545.96823448
5,4000,1000,0.2,3,random,kmeans,0.992697246285854,8257747.74136108
1,4000,1000,0.35,3,random,kmeans,0.987199650162104,7962563.70107449
2,4000,1000,0.35,3,random,kmeans,0.989989303500643,7880645.90673803
3,4000,1000,0.35,3,random,kmeans,0.990023636303338,7931616.075782
4,4000,1000,0.35,3,random,kmeans,0.986747608554692,7996930.09543996
5,4000,1000,0.35,3,random,kmeans,0.991031656986234,7979738.64438966
1,4000,1000,0.5,3,random,kmeans,0.993418854675463,7869627.55398
2,4000,1000,0.5,3,random,kmeans,0.989511426535937,7981535.75812693
3,4000,1000,0.5,3,random,kmeans,0.989295520174211,8147695.98038589
4,4000,1000,0.5,3,random,kmeans,0.99152059443804,7843090.63409833
5,4000,1000,0.5,3,random,kmeans,0.990479703606997,7948329.6659033
1,6000,1000,0.005,3,random,kmeans,0.986455008737781,12232819.1991719
2,6000,1000,0.005,3,random,kmeans,0.98955864450464,11995538.9939568
3,6000,1000,0.005,3,random,kmeans,0.985972807753155,12246924.8529924
4,6000,1000,0.005,3,random,kmeans,0.991361303224611,12111012.291292
5,6000,1000,0.005,3,random,kmeans,0.986363484063579,12078742.7592409
1,6000,1000,0.01,3,random,kmeans,0.990148780374992,12140913.3153199
2,6000,1000,0.01,3,random,kmeans,0.990387217723111,12478219.6862571
3,6000,1000,0.01,3,random,kmeans,0.991458898175679,11599951.4710298
4,6000,1000,0.01,3,random,kmeans,0.989910215051512,12009981.0758546
5,6000,1000,0.01,3,random,kmeans,0.99215753852503,12032479.9676949
1,6000,1000,0.05,3,random,kmeans,0.992935419178399,12178273.0195571
2,6000,1000,0.05,3,random,kmeans,0.989131047793294,12298945.6767054
3,6000,1000,0.05,3,random,kmeans,0.990114706359538,12120630.6067528
4,6000,1000,0.05,3,random,kmeans,0.992271007853418,11788409.3519573
5,6000,1000,0.05,3,random,kmeans,0.984968563522057,12066693.8919207
1,6000,1000,0.1,3,random,kmeans,0.991100981551187,11786723.6785856
2,6000,1000,0.1,3,random,kmeans,0.987786250720064,11868459.1224489
3,6000,1000,0.1,3,random,kmeans,0.986030741588074,11955365.0381946
4,6000,1000,0.1,3,random,kmeans,0.989980888357185,12069204.6398902
5,6000,1000,0.1,3,random,kmeans,0.992078426549499,12105754.1092483
1,6000,1000,0.2,3,random,kmeans,0.989691718084849,12255800.3025622
2,6000,1000,0.2,3,random,kmeans,0.991662980261212,11984632.2365698
3,6000,1000,0.2,3,random,kmeans,0.987933345061344,11901710.9371218
4,6000,1000,0.2,3,random,kmeans,0.989306649176694,11958991.9727958
5,6000,1000,0.2,3,random,kmeans,0.9840904952494,11927623.1928481
1,6000,1000,0.35,3,random,kmeans,0.992654389937176,11869158.2326884
2,6000,1000,0.35,3,random,kmeans,0.988627181665305,12332628.2764318
3,6000,1000,0.35,3,random,kmeans,0.987253516422226,11991131.9820867
4,6000,1000,0.35,3,random,kmeans,0.986960145993481,12068181.7112595
5,6000,1000,0.35,3,random,kmeans,0.993059616964962,11854709.4534295
1,6000,1000,0.5,3,random,kmeans,0.988346007869537,11931841.8597591
2,6000,1000,0.5,3,random,kmeans,0.993003444408843,12308883.7193433
3,6000,1000,0.5,3,random,kmeans,0.993178111685258,11857166.3002327
4,6000,1000,0.5,3,random,kmeans,0.988203479469036,12238873.5547589
5,6000,1000,0.5,3,random,kmeans,0.994209193306149,12097039.39266
1,8000,1000,0.005,3,random,kmeans,0.989670101527538,16131833.0831024
2,8000,1000,0.005,3,random,kmeans,0.990565297066613,15953176.2711222
3,8000,1000,0.005,3,random,kmeans,0.993536734538229,16014789.5353857
4,8000,1000,0.005,3,random,kmeans,0.993473099037192,16021797.2666992
5,8000,1000,0.005,3,random,kmeans,0.987882401942701,16320995.7689992
1,8000,1000,0.01,3,random,kmeans,0.987714459938686,15691086.6974357
2,8000,1000,0.01,3,random,kmeans,0.986403727481963,16140550.2847274
3,8000,1000,0.01,3,random,kmeans,0.991683110430838,16129640.8344602
4,8000,1000,0.01,3,random,kmeans,0.98738051764593,16090484.9537967
5,8000,1000,0.01,3,random,kmeans,0.988628352095364,16115968.0711213
1,8000,1000,0.05,3,random,kmeans,0.9868732547439,16221685.2022914
2,8000,1000,0.05,3,random,kmeans,0.989307442933291,15765639.582555
3,8000,1000,0.05,3,random,kmeans,0.99204613121125,16033653.9587661
4,8000,1000,0.05,3,random,kmeans,0.99110122913808,16238329.0630753
5,8000,1000,0.05,3,random,kmeans,0.986402823681704,16189994.7898077
1,8000,1000,0.1,3,random,kmeans,0.990528939380978,16468800.3110268
2,8000,1000,0.1,3,random,kmeans,0.991527477987401,15733451.130651
3,8000,1000,0.1,3,random,kmeans,0.987403914568695,16532776.3593342
4,8000,1000,0.1,3,random,kmeans,0.988354804914425,15849162.2948745
5,8000,1000,0.1,3,random,kmeans,0.988364695009088,15706043.9983545
1,8000,1000,0.2,3,random,kmeans,0.988720239363827,15977467.8465266
2,8000,1000,0.2,3,random,kmeans,0.988354048774312,16354691.2216455
3,8000,1000,0.2,3,random,kmeans,0.98904005284622,16308278.6736061
4,8000,1000,0.2,3,random,kmeans,0.990885893782453,16351853.4915264
5,8000,1000,0.2,3,random,kmeans,0.99135404629414,16064989.9147768
1,8000,1000,0.35,3,random,kmeans,0.990901152460053,16140328.5690709
2,8000,1000,0.35,3,random,kmeans,0.988299691039723,16138876.1724836
3,8000,1000,0.35,3,random,kmeans,0.991203568034339,15725525.3931581
4,8000,1000,0.35,3,random,kmeans,0.989385945109272,15823800.7774396
5,8000,1000,0.35,3,random,kmeans,0.988359986902842,15274745.7136577
1,8000,1000,0.5,3,random,kmeans,0.987766978291465,15968596.387314
2,8000,1000,0.5,3,random,kmeans,0.991319707523356,16236848.8146091
3,8000,1000,0.5,3,random,kmeans,0.985130168848656,15771734.588987
4,8000,1000,0.5,3,random,kmeans,0.988721643517925,16325400.9245895
5,8000,1000,0.5,3,random,kmeans,0.990325566009588,15640423.0435934
1,10000,1000,0.005,3,random,kmeans,0.989635374533516,20108721.6874046
2,10000,1000,0.005,3,random,kmeans,0.989758057156581,20596983.6520348
3,10000,1000,0.005,3,random,kmeans,0.988187819432567,20075798.3309134
4,10000,1000,0.005,3,random,kmeans,0.991777050048228,20045118.8142011
