"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS","iterations","fault"
1,5e+05,1000,0.005,3,random,mbkmeans,0.989011896907677,1017602438.34188,17,NA
2,5e+05,1000,0.005,3,random,mbkmeans,0.989576865159934,1006074891.77053,25,NA
3,5e+05,1000,0.005,3,random,mbkmeans,0.989367862519672,1014044371.29095,12,NA
4,5e+05,1000,0.005,3,random,mbkmeans,0.989745052642837,987899116.79486,14,NA
5,5e+05,1000,0.005,3,random,mbkmeans,0.989181228863069,1002064007.39052,15,NA
6,5e+05,1000,0.005,3,random,mbkmeans,0.990291601566136,997953162.885272,18,NA
7,5e+05,1000,0.005,3,random,mbkmeans,0.989175736477829,1020784633.15765,18,NA
8,5e+05,1000,0.005,3,random,mbkmeans,0.989863895648744,1009432607.04431,20,NA
9,5e+05,1000,0.005,3,random,mbkmeans,0.989144853637588,1007847943.00833,17,NA
10,5e+05,1000,0.005,3,random,mbkmeans,0.989839068030345,1020909472.55877,18,NA
1,5e+05,1000,0.01,3,random,mbkmeans,0.989966332871877,990158205.270919,17,NA
2,5e+05,1000,0.01,3,random,mbkmeans,0.989840278689791,1006185474.29465,26,NA
3,5e+05,1000,0.01,3,random,mbkmeans,0.989445893021483,1019246630.21982,29,NA
4,5e+05,1000,0.01,3,random,mbkmeans,0.989264700138966,1004515401.27196,29,NA
5,5e+05,1000,0.01,3,random,mbkmeans,0.989237280019873,987705000.789259,16,NA
6,5e+05,1000,0.01,3,random,mbkmeans,0.989309205559623,1006160438.01316,30,NA
7,5e+05,1000,0.01,3,random,mbkmeans,0.989638992748304,1024215244.38544,17,NA
8,5e+05,1000,0.01,3,random,mbkmeans,0.990147281479784,967534317.059446,12,NA
9,5e+05,1000,0.01,3,random,mbkmeans,0.98927122322073,1004230823.02471,24,NA
10,5e+05,1000,0.01,3,random,mbkmeans,0.989356629586272,978014837.443741,18,NA
1,5e+05,1000,0.05,3,random,mbkmeans,0.989727392244179,994694412.792753,15,NA
2,5e+05,1000,0.05,3,random,mbkmeans,0.989691765225984,982189274.020554,15,NA
3,5e+05,1000,0.05,3,random,mbkmeans,0.990177423243502,1000980381.24002,13,NA
4,5e+05,1000,0.05,3,random,mbkmeans,0.989693775776011,1002504093.14035,23,NA
5,5e+05,1000,0.05,3,random,mbkmeans,0.98931028471837,976331213.596416,28,NA
6,5e+05,1000,0.05,3,random,mbkmeans,0.990051031510088,991835704.704061,20,NA
7,5e+05,1000,0.05,3,random,mbkmeans,0.989243973968685,1007920785.7419,27,NA
8,5e+05,1000,0.05,3,random,mbkmeans,0.98948176575816,988356395.262499,15,NA
9,5e+05,1000,0.05,3,random,mbkmeans,0.988930168948236,1013222724.56875,20,NA
10,5e+05,1000,0.05,3,random,mbkmeans,0.990001505866,977099171.190042,12,NA
1,5e+05,1000,0.1,3,random,mbkmeans,0.989463061053252,997850448.190674,30,NA
2,5e+05,1000,0.1,3,random,mbkmeans,0.989421718962621,987812763.782707,30,NA
3,5e+05,1000,0.1,3,random,mbkmeans,0.989599576503183,980787944.832071,26,NA
4,5e+05,1000,0.1,3,random,mbkmeans,0.9894663606969,971088977.959841,15,NA
