"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS","iterations","fault"
1,5e+05,1000,0.005,3,random,kmeans,0.989274311356564,995090678.001525,3,0
2,5e+05,1000,0.005,3,random,kmeans,0.989589078001141,992422145.703858,3,0
3,5e+05,1000,0.005,3,random,kmeans,0.989601816500148,1037540617.93589,3,0
1,5e+05,1000,0.01,3,random,kmeans,0.989483785826231,1006752504.4418,3,0
2,5e+05,1000,0.01,3,random,kmeans,0.989355482141917,1010134439.44467,3,0
3,5e+05,1000,0.01,3,random,kmeans,0.989949783543484,992060004.734388,3,0
1,5e+05,1000,0.05,3,random,kmeans,0.989833794055335,1020037391.12899,3,0
2,5e+05,1000,0.05,3,random,kmeans,0.989292160064615,978936940.0457,3,0
3,5e+05,1000,0.05,3,random,kmeans,0.989155541999218,987311449.562895,3,0
1,5e+05,1000,0.1,3,random,kmeans,0.989320706424204,1020529862.89274,3,0
2,5e+05,1000,0.1,3,random,kmeans,0.989569089421086,1005038511.7662,3,0
3,5e+05,1000,0.1,3,random,kmeans,0.988921008570365,1009734095.4527,2,0
1,5e+05,1000,0.2,3,random,kmeans,0.989431709611058,996316880.73893,3,0
2,5e+05,1000,0.2,3,random,kmeans,0.989380013086471,1018643313.74785,2,0
3,5e+05,1000,0.2,3,random,kmeans,0.98944891428611,1012858255.43931,2,0
1,5e+05,1000,0.35,3,random,kmeans,0.989584410193294,977518639.18733,3,0
2,5e+05,1000,0.35,3,random,kmeans,0.989499700184297,996506268.706167,3,0
3,5e+05,1000,0.35,3,random,kmeans,0.989539319983487,995718198.372539,3,0
1,5e+05,1000,0.5,3,random,kmeans,0.989434284285126,1007400460.29603,3,0
2,5e+05,1000,0.5,3,random,kmeans,0.989470350643692,1017796090.07938,2,0
3,5e+05,1000,0.5,3,random,kmeans,0.989200654756338,991040922.857343,3,0
