"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS","iterations","fault"
1,175000,1000,0.005,3,random,hdf5,0.987943945093358,343792036.558687,17,NA
2,175000,1000,0.005,3,random,hdf5,0.988560668288851,358815445.622553,19,NA
3,175000,1000,0.005,3,random,hdf5,0.989641815503674,351657970.058091,27,NA
4,175000,1000,0.005,3,random,hdf5,0.989347981632306,343306721.238582,11,NA
5,175000,1000,0.005,3,random,hdf5,0.990235727600543,353007016.710758,12,NA
6,175000,1000,0.005,3,random,hdf5,0.989053813213863,342506817.133464,12,NA
7,175000,1000,0.005,3,random,hdf5,0.989572872612121,361796801.114858,24,NA
8,175000,1000,0.005,3,random,hdf5,0.98986377393851,364276171.686301,21,NA
9,175000,1000,0.005,3,random,hdf5,0.987776085546363,343528810.613791,17,NA
10,175000,1000,0.005,3,random,hdf5,0.990697558255231,348509834.701686,16,NA
1,175000,1000,0.01,3,random,hdf5,0.988697221337609,347956623.657349,19,NA
2,175000,1000,0.01,3,random,hdf5,0.99006210411949,348522891.556524,13,NA
3,175000,1000,0.01,3,random,hdf5,0.989243083554291,353260512.214219,23,NA
4,175000,1000,0.01,3,random,hdf5,0.989096869711161,358896131.312708,23,NA
5,175000,1000,0.01,3,random,hdf5,0.989865399061664,353587338.017924,16,NA
6,175000,1000,0.01,3,random,hdf5,0.989136317756563,340541991.995448,19,NA
7,175000,1000,0.01,3,random,hdf5,0.989812607500399,346139517.672897,13,NA
8,175000,1000,0.01,3,random,hdf5,0.987704465056486,335328655.092047,25,NA
9,175000,1000,0.01,3,random,hdf5,0.989386352418284,347457504.386271,26,NA
10,175000,1000,0.01,3,random,hdf5,0.989836271161689,351783397.132694,28,NA
1,175000,1000,0.05,3,random,hdf5,0.989103326997702,349507798.783186,17,NA
2,175000,1000,0.05,3,random,hdf5,0.989337789003048,343446077.528682,12,NA
3,175000,1000,0.05,3,random,hdf5,0.990313579742049,352932077.296019,21,NA
4,175000,1000,0.05,3,random,hdf5,0.989275815106733,353278337.967292,24,NA
5,175000,1000,0.05,3,random,hdf5,0.989515922485745,356289805.572517,30,NA
6,175000,1000,0.05,3,random,hdf5,0.989502537185207,353095240.014876,14,NA
7,175000,1000,0.05,3,random,hdf5,0.989174400549561,344158023.359046,20,NA
8,175000,1000,0.05,3,random,hdf5,0.989324446649851,354347663.146395,22,NA
9,175000,1000,0.05,3,random,hdf5,0.988381009411586,349781935.426252,23,NA
10,175000,1000,0.05,3,random,hdf5,0.988673285188666,347787362.046059,17,NA
1,175000,1000,0.1,3,random,hdf5,0.989661052883462,354207967.107874,33,NA
2,175000,1000,0.1,3,random,hdf5,0.989522696788961,347848504.074208,14,NA
3,175000,1000,0.1,3,random,hdf5,0.989677462120195,359946082.986287,20,NA
4,175000,1000,0.1,3,random,hdf5,0.989765747521892,349019471.207174,13,NA
5,175000,1000,0.1,3,random,hdf5,0.989506429654058,355073224.379914,14,NA
6,175000,1000,0.1,3,random,hdf5,0.989733418721568,343288929.89049,19,NA
7,175000,1000,0.1,3,random,hdf5,0.989786909523131,344136841.283094,17,NA
8,175000,1000,0.1,3,random,hdf5,0.98851445031778,348820165.322927,13,NA
9,175000,1000,0.1,3,random,hdf5,0.989837936951299,348333021.040162,13,NA
10,175000,1000,0.1,3,random,hdf5,0.989296234191521,352950084.638747,19,NA
1,175000,1000,0.2,3,random,hdf5,0.988933986294729,344769676.862066,14,NA
2,175000,1000,0.2,3,random,hdf5,0.989522627503031,354212198.070358,19,NA
3,175000,1000,0.2,3,random,hdf5,0.989509726433115,357495482.129976,24,NA
4,175000,1000,0.2,3,random,hdf5,0.989276071253667,359795576.750157,20,NA
5,175000,1000,0.2,3,random,hdf5,0.989291778211631,348117298.57066,27,NA
6,175000,1000,0.2,3,random,hdf5,0.989191111878896,337546749.964634,21,NA
7,175000,1000,0.2,3,random,hdf5,0.989173695193408,345197367.299607,15,NA
8,175000,1000,0.2,3,random,hdf5,0.989427396456503,344130029.445359,21,NA
9,175000,1000,0.2,3,random,hdf5,0.98931058348466,353552169.946555,12,NA
10,175000,1000,0.2,3,random,hdf5,0.989252934955525,351246144.219778,13,NA
1,175000,1000,0.35,3,random,hdf5,0.989334673557587,353698934.563557,18,NA
2,175000,1000,0.35,3,random,hdf5,0.989122578575901,354012018.542486,20,NA
3,175000,1000,0.35,3,random,hdf5,0.989884854933862,351861653.91673,27,NA
4,175000,1000,0.35,3,random,hdf5,0.989443430351921,344441126.700735,15,NA
5,175000,1000,0.35,3,random,hdf5,0.989636777536851,351087192.155484,17,NA
6,175000,1000,0.35,3,random,hdf5,0.98956504649998,347814247.17722,13,NA
7,175000,1000,0.35,3,random,hdf5,0.989649751682635,352566788.806008,27,NA
8,175000,1000,0.35,3,random,hdf5,0.989368770859486,348612908.013013,27,NA
9,175000,1000,0.35,3,random,hdf5,0.99022546020521,354890417.309387,12,NA
