"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,500,1000,0.005,3,random,hdf5,0.987912261046911,1542155.32519046
2,500,1000,0.005,3,random,hdf5,0.993077630502674,1626674.51789481
3,500,1000,0.005,3,random,hdf5,0.980031324091196,1604901.40954047
4,500,1000,0.005,3,random,hdf5,1,1728956.25632407
5,500,1000,0.005,3,random,hdf5,0.971374275211516,1887114.64798822
6,500,1000,0.005,3,random,hdf5,0.919789373401651,2372655.09561921
7,500,1000,0.005,3,random,hdf5,0.940925777582521,1643502.06731554
8,500,1000,0.005,3,random,hdf5,0.98239988205078,1717119.77103408
9,500,1000,0.005,3,random,hdf5,0.98253650207993,1495528.17375544
10,500,1000,0.005,3,random,hdf5,0.973710595242564,1384270.37338425
11,500,1000,0.005,3,random,hdf5,1,1411314.63706245
12,500,1000,0.005,3,random,hdf5,0.915991580009334,2032504.16994068
13,500,1000,0.005,3,random,hdf5,0.98756630112776,1570517.99371511
14,500,1000,0.005,3,random,hdf5,0.941426363258524,1811314.63759626
15,500,1000,0.005,3,random,hdf5,0.960128960529262,1987924.44862435
16,500,1000,0.005,3,random,hdf5,0.899362615160393,2241460.19734339
17,500,1000,0.005,3,random,hdf5,0.937095063259362,1641821.80065987
18,500,1000,0.005,3,random,hdf5,0.919814545229231,1894678.95604269
19,500,1000,0.005,3,random,hdf5,0.922275550620726,2071864.97331548
20,500,1000,0.005,3,random,hdf5,0.98767351957318,2057336.45081022
21,500,1000,0.005,3,random,hdf5,0.986289725444035,1655737.57750076
22,500,1000,0.005,3,random,hdf5,0.976937874077867,1519653.35143961
23,500,1000,0.005,3,random,hdf5,0.97880150019654,1935079.11463799
24,500,1000,0.005,3,random,hdf5,0.973601275999079,1452939.38761167
25,500,1000,0.005,3,random,hdf5,0.975040554633734,1744168.46344904
26,500,1000,0.005,3,random,hdf5,0.982206003159083,1495559.32507547
27,500,1000,0.005,3,random,hdf5,0.973059571294641,1592660.82025381
28,500,1000,0.005,3,random,hdf5,0.989902955145497,2192600.76488661
29,500,1000,0.005,3,random,hdf5,0.938907340583891,1963504.75416194
30,500,1000,0.005,3,random,hdf5,0.975290505525818,1559473.106585
31,500,1000,0.005,3,random,hdf5,0.96864575255336,1752995.40440681
32,500,1000,0.005,3,random,hdf5,0.97443343407516,1368702.26630098
33,500,1000,0.005,3,random,hdf5,0.982514924807093,1237764.96596199
34,500,1000,0.005,3,random,hdf5,0.976449768976643,1682191.12437164
35,500,1000,0.005,3,random,hdf5,0.987769726481934,1670683.94282195
36,500,1000,0.005,3,random,hdf5,0.972941258697641,1980938.47780441
37,500,1000,0.005,3,random,hdf5,0.993993479767994,1896378.23602022
38,500,1000,0.005,3,random,hdf5,0.974915723317678,1928514.75348396
39,500,1000,0.005,3,random,hdf5,0.968709022723658,1832697.24766862
40,500,1000,0.005,3,random,hdf5,0.947815373621335,2028244.69374791
41,500,1000,0.005,3,random,hdf5,0.981378478117166,1480575.6687515
42,500,1000,0.005,3,random,hdf5,0.977212554672734,1788705.1591903
43,500,1000,0.005,3,random,hdf5,0.993274398510937,1352928.64046971
44,500,1000,0.005,3,random,hdf5,0.993124277331791,1634941.71515406
45,500,1000,0.005,3,random,hdf5,0.970367723263151,1782619.86586644
46,500,1000,0.005,3,random,hdf5,1,1638254.83399376
47,500,1000,0.005,3,random,hdf5,0.981251908946726,1544543.09898588
48,500,1000,0.005,3,random,hdf5,0.99396417332261,1413595.95397602
49,500,1000,0.005,3,random,hdf5,1,1495364.61812459
50,500,1000,0.005,3,random,hdf5,0.981553198454485,1827313.02820796
