"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,1000,1000,0.005,3,random,mbkmeans,0.996531455865833,2764384.20267224
2,1000,1000,0.005,3,random,mbkmeans,0.973577586018713,3245421.73031886
3,1000,1000,0.005,3,random,mbkmeans,0.984413353369884,2801711.70288496
4,1000,1000,0.005,3,random,mbkmeans,0.973325003986617,3417527.27215018
5,1000,1000,0.005,3,random,mbkmeans,0.491484448223728,8299239.28612103
6,1000,1000,0.005,3,random,mbkmeans,0.985816831418133,3161913.41239276
7,1000,1000,0.005,3,random,mbkmeans,0.978128080501948,3094882.49307158
8,1000,1000,0.005,3,random,mbkmeans,0.978792647838719,2934386.90629679
9,1000,1000,0.005,3,random,mbkmeans,0.939384514020405,3219820.50111048
10,1000,1000,0.005,3,random,mbkmeans,0.990233399268904,2924892.5931941
11,1000,1000,0.005,3,random,mbkmeans,0.987340774468226,2822496.94877071
12,1000,1000,0.005,3,random,mbkmeans,0.981071435647485,3250756.46679658
13,1000,1000,0.005,3,random,mbkmeans,0.986904988662279,3138638.68560158
14,1000,1000,0.005,3,random,mbkmeans,0.911475891392721,4269482.38375192
15,1000,1000,0.005,3,random,mbkmeans,0.993138252340914,2614599.61795245
16,1000,1000,0.005,3,random,mbkmeans,0.996592074370686,2556415.23419552
17,1000,1000,0.005,3,random,mbkmeans,0.975585850059081,2912111.56420416
18,1000,1000,0.005,3,random,mbkmeans,0.959691140520441,3477217.02591672
19,1000,1000,0.005,3,random,mbkmeans,0.993618206146596,2889707.96448724
20,1000,1000,0.005,3,random,mbkmeans,0.978509236805729,2743385.35690746
1,1000,1000,0.01,3,random,mbkmeans,0.959872781971113,2747342.47322086
2,1000,1000,0.01,3,random,mbkmeans,0.990201459032401,2433623.7992154
3,1000,1000,0.01,3,random,mbkmeans,0.985250923427944,3121253.44223978
4,1000,1000,0.01,3,random,mbkmeans,0.994108949947159,2587948.43741665
5,1000,1000,0.01,3,random,mbkmeans,1,2293334.03768931
6,1000,1000,0.01,3,random,mbkmeans,0.983412914199348,2552510.12338765
7,1000,1000,0.01,3,random,mbkmeans,0.984335422234133,2666091.07149415
8,1000,1000,0.01,3,random,mbkmeans,0.979025465502521,2541713.88822919
9,1000,1000,0.01,3,random,mbkmeans,0.9965996552344,2542115.51427425
10,1000,1000,0.01,3,random,mbkmeans,0.9936528813444,2894705.73454299
11,1000,1000,0.01,3,random,mbkmeans,0.990232125211347,2670463.41146695
12,1000,1000,0.01,3,random,mbkmeans,0.951355198663325,2989538.42163154
13,1000,1000,0.01,3,random,mbkmeans,0.983918130051516,2663165.64533772
