"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,500,1000,0.005,3,random,hdf5,0.995488712657939,1745515.14582546
2,500,1000,0.005,3,random,hdf5,0.9561342927462,1947429.15335609
3,500,1000,0.005,3,random,hdf5,0.994142973297005,1666013.2607913
4,500,1000,0.005,3,random,hdf5,0.927165740061719,1768486.87460367
5,500,1000,0.005,3,random,hdf5,0.981377035580153,1617441.38309179
6,500,1000,0.005,3,random,hdf5,0.994154465891648,1801394.7144834
7,500,1000,0.005,3,random,hdf5,0.954418752034054,1483004.90974021
8,500,1000,0.005,3,random,hdf5,0.987442288009696,1390895.29530963
9,500,1000,0.005,3,random,hdf5,0.527019546067252,3562419.44352044
10,500,1000,0.005,3,random,hdf5,0.993871440137815,1509613.39214325
11,500,1000,0.005,3,random,hdf5,0.94237824614471,2748472.00235056
12,500,1000,0.005,3,random,hdf5,0.965998483204192,1741952.71836172
13,500,1000,0.005,3,random,hdf5,0.94076917245991,1842826.53318059
14,500,1000,0.005,3,random,hdf5,1,1955277.56712174
15,500,1000,0.005,3,random,hdf5,0.960587966794184,1381372.83786408
16,500,1000,0.005,3,random,hdf5,0.981266671414238,1474096.50321707
17,500,1000,0.005,3,random,hdf5,0.950756246389544,1759028.90709525
18,500,1000,0.005,3,random,hdf5,0.987290705477378,1456396.43845798
19,500,1000,0.005,3,random,hdf5,0.951168927220076,1975847.63933325
20,500,1000,0.005,3,random,hdf5,0.974601453029799,1757031.17963465
1,500,1000,0.01,3,random,hdf5,0.959189701209897,1449386.77437246
2,500,1000,0.01,3,random,hdf5,0.975506623380053,1690434.68760421
3,500,1000,0.01,3,random,hdf5,1,1365927.33774315
4,500,1000,0.01,3,random,hdf5,0.98809319172716,1282524.96756279
5,500,1000,0.01,3,random,hdf5,0.961961108106006,1461837.00829727
6,500,1000,0.01,3,random,hdf5,1,1570200.73632365
7,500,1000,0.01,3,random,hdf5,0.963005479540033,1572528.69668996
8,500,1000,0.01,3,random,hdf5,0.988124543134405,1213240.46800049
9,500,1000,0.01,3,random,hdf5,0.912003871720436,2059765.77274421
10,500,1000,0.01,3,random,hdf5,0.994131477970577,1434575.37480548
11,500,1000,0.01,3,random,hdf5,0.988770065637067,1381184.58145272
12,500,1000,0.01,3,random,hdf5,0.981542527369816,1671767.35046362
13,500,1000,0.01,3,random,hdf5,0.940747431251429,1609586.2436669
14,500,1000,0.01,3,random,hdf5,0.993203898964577,1519060.25385814
15,500,1000,0.01,3,random,hdf5,0.975347358170144,1509687.33662764
16,500,1000,0.01,3,random,hdf5,0.552953956873817,3816091.65310875
17,500,1000,0.01,3,random,hdf5,0.993816342492606,1623959.91738748
18,500,1000,0.01,3,random,hdf5,0.948041776457618,1958858.9483669
19,500,1000,0.01,3,random,hdf5,0.986518964752245,1370396.57820214
20,500,1000,0.01,3,random,hdf5,0.982074398699127,1551757.78475325
1,500,1000,0.05,3,random,hdf5,1,1001640.11541691
2,500,1000,0.05,3,random,hdf5,0.993959155696048,1137945.82550081
3,500,1000,0.05,3,random,hdf5,1,1141599.71959576
4,500,1000,0.05,3,random,hdf5,0.98619426731597,1090105.32349903
5,500,1000,0.05,3,random,hdf5,0.993407758327152,1059470.65407428
6,500,1000,0.05,3,random,hdf5,0.986824715687464,1153053.28846512
7,500,1000,0.05,3,random,hdf5,0.981569633872526,1178494.62259806
8,500,1000,0.05,3,random,hdf5,0.995422190827798,1409382.09100845
9,500,1000,0.05,3,random,hdf5,0.99521633624909,2003167.16570016
10,500,1000,0.05,3,random,hdf5,0.994120658261316,1069883.60864201
11,500,1000,0.05,3,random,hdf5,1,1089104.32447731
12,500,1000,0.05,3,random,hdf5,0.993317090843306,1173414.94631235
13,500,1000,0.05,3,random,hdf5,1,1186275.36415336
14,500,1000,0.05,3,random,hdf5,0.98123812558416,1122008.94265118
15,500,1000,0.05,3,random,hdf5,1,1097519.35889314
16,500,1000,0.05,3,random,hdf5,0.987747257255389,1125723.27947243
17,500,1000,0.05,3,random,hdf5,1,1150256.40158342
18,500,1000,0.05,3,random,hdf5,0.99327047279109,1077567.56602278
19,500,1000,0.05,3,random,hdf5,1,1187259.18154726
20,500,1000,0.05,3,random,hdf5,1,1066558.29427586
1,500,1000,0.1,3,random,hdf5,0.981382721909245,1080306.10426847
2,500,1000,0.1,3,random,hdf5,0.994045583205768,963663.358990877
3,500,1000,0.1,3,random,hdf5,0.972654153378415,1142881.53402333
