"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,500,1000,0.005,3,random,kmeans,0.993916172941835,1127886.06388503
2,500,1000,0.005,3,random,kmeans,0.993463768729447,937595.183649516
3,500,1000,0.005,3,random,kmeans,0.986020210398257,948236.41699079
4,500,1000,0.005,3,random,kmeans,0.974697935410579,929955.947443028
5,500,1000,0.005,3,random,kmeans,0.993064154708288,913926.862086839
6,500,1000,0.005,3,random,kmeans,0.981543178363258,969590.526512243
7,500,1000,0.005,3,random,kmeans,1,920885.427774587
8,500,1000,0.005,3,random,kmeans,1,1012923.9736966
9,500,1000,0.005,3,random,kmeans,0.993164609566494,911530.91650332
10,500,1000,0.005,3,random,kmeans,0.97465575694389,970539.020679702
11,500,1000,0.005,3,random,kmeans,1,978820.822383871
12,500,1000,0.005,3,random,kmeans,0.993962487031528,1007917.68435355
13,500,1000,0.005,3,random,kmeans,0.987717289167172,994742.145237084
14,500,1000,0.005,3,random,kmeans,0.981477729452331,986222.523945053
15,500,1000,0.005,3,random,kmeans,0.993953952109415,974471.52587143
16,500,1000,0.005,3,random,kmeans,0.986272362533969,987677.129895944
17,500,1000,0.005,3,random,kmeans,0.993007333834448,1011892.70369286
18,500,1000,0.005,3,random,kmeans,0.967294211988922,958758.972925391
19,500,1000,0.005,3,random,kmeans,0.98136605851958,1075734.85544356
20,500,1000,0.005,3,random,kmeans,0.980511713083378,941018.993133371
1,500,1000,0.01,3,random,kmeans,0.979838568139667,955588.054500557
2,500,1000,0.01,3,random,kmeans,0.961073767367027,1033696.43968613
3,500,1000,0.01,3,random,kmeans,1,926009.38928519
4,500,1000,0.01,3,random,kmeans,0.98138419147279,999497.115005314
5,500,1000,0.01,3,random,kmeans,0.98640801179849,881741.623529184
6,500,1000,0.01,3,random,kmeans,0.993233631146045,994057.336085598
7,500,1000,0.01,3,random,kmeans,0.98139008012895,1017717.27772688
8,500,1000,0.01,3,random,kmeans,1,1013729.97235615
9,500,1000,0.01,3,random,kmeans,0.993936079596846,933150.610513282
10,500,1000,0.01,3,random,kmeans,0.993258058913226,938796.469907879
11,500,1000,0.01,3,random,kmeans,0.993025711580194,970021.773997999
12,500,1000,0.01,3,random,kmeans,0.986932921297537,997728.440677291
13,500,1000,0.01,3,random,kmeans,0.987227901614505,1037130.90778631
14,500,1000,0.01,3,random,kmeans,1,994500.196090547
15,500,1000,0.01,3,random,kmeans,0.99330122851765,1096297.20845706
16,500,1000,0.01,3,random,kmeans,0.969569735463719,1025559.04131141
17,500,1000,0.01,3,random,kmeans,0.993947337204532,966290.545988236
18,500,1000,0.01,3,random,kmeans,0.99343411341849,959348.37991975
19,500,1000,0.01,3,random,kmeans,0.987249567075229,959727.737599697
20,500,1000,0.01,3,random,kmeans,0.986361929423356,1002774.00038105
1,500,1000,0.05,3,random,kmeans,0.993102496424358,973849.136585501
2,500,1000,0.05,3,random,kmeans,1,1053932.95836399
3,500,1000,0.05,3,random,kmeans,0.986361929423356,989414.265133002
4,500,1000,0.05,3,random,kmeans,0.993193028558869,1004427.6869808
5,500,1000,0.05,3,random,kmeans,0.955667429856956,1009669.09990355
6,500,1000,0.05,3,random,kmeans,0.993122520112906,1082114.83019614
7,500,1000,0.05,3,random,kmeans,0.987206765008709,989012.730341593
8,500,1000,0.05,3,random,kmeans,1,897972.471170895
9,500,1000,0.05,3,random,kmeans,0.980526414961952,934033.052054414
10,500,1000,0.05,3,random,kmeans,0.986390119408366,988905.414938024
11,500,1000,0.05,3,random,kmeans,0.994014169652881,946892.896604972
12,500,1000,0.05,3,random,kmeans,0.987196529056989,957132.157353413
13,500,1000,0.05,3,random,kmeans,1,960505.614460721
14,500,1000,0.05,3,random,kmeans,0.987307879877702,995068.802212536
15,500,1000,0.05,3,random,kmeans,0.995705447330792,1012823.4672591
16,500,1000,0.05,3,random,kmeans,0.994115307309392,999174.106188822
