"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,1000,1000,0.005,3,random,kmeans,0.984522671097716,2057685.45421838
2,1000,1000,0.005,3,random,kmeans,0.98780551739963,1926964.1374985
3,1000,1000,0.005,3,random,kmeans,0.982345674918104,2085771.86323537
4,1000,1000,0.005,3,random,kmeans,0.996598992968189,2057779.47446394
5,1000,1000,0.005,3,random,kmeans,0.983871913639878,2037719.94298319
6,1000,1000,0.005,3,random,kmeans,0.993646192140152,1949202.32194958
7,1000,1000,0.005,3,random,kmeans,0.984211500586586,1971977.50127681
8,1000,1000,0.005,3,random,kmeans,0.990648121697919,2031229.12465662
9,1000,1000,0.005,3,random,kmeans,0.979554462531543,2036524.06151642
10,1000,1000,0.005,3,random,kmeans,0.988746754743472,1977831.88089077
11,1000,1000,0.005,3,random,kmeans,0.990221684718849,1997471.2019616
12,1000,1000,0.005,3,random,kmeans,0.986291756056746,2031690.01282767
13,1000,1000,0.005,3,random,kmeans,0.990201173527951,1940734.19192895
14,1000,1000,0.005,3,random,kmeans,0.981336080675534,1964793.78591756
15,1000,1000,0.005,3,random,kmeans,0.980462485608876,2051577.8422674
16,1000,1000,0.005,3,random,kmeans,0.984372864955353,2008256.66336816
17,1000,1000,0.005,3,random,kmeans,0.990258390006999,2084796.63252807
18,1000,1000,0.005,3,random,kmeans,0.991824504535428,2046982.41865572
19,1000,1000,0.005,3,random,kmeans,0.990270143552786,1919131.59099942
20,1000,1000,0.005,3,random,kmeans,0.994106565384686,1973544.02275371
21,1000,1000,0.005,3,random,kmeans,0.993235953230344,1963653.58627823
22,1000,1000,0.005,3,random,kmeans,0.987712435371338,2088769.32318084
23,1000,1000,0.005,3,random,kmeans,0.987256981452781,1993904.8672779
24,1000,1000,0.005,3,random,kmeans,0.996621120501057,1913934.12150674
25,1000,1000,0.005,3,random,kmeans,0.980206710457437,2076400.77239286
26,1000,1000,0.005,3,random,kmeans,0.993608718527183,1992434.87506491
27,1000,1000,0.005,3,random,kmeans,0.986843213488931,2070866.1752757
28,1000,1000,0.005,3,random,kmeans,0.989954827099982,1934388.08313105
29,1000,1000,0.005,3,random,kmeans,0.983880361051697,2062762.09108239
30,1000,1000,0.005,3,random,kmeans,0.987303408102461,1953856.3156831
31,1000,1000,0.005,3,random,kmeans,0.993607191985701,1894621.28686766
32,1000,1000,0.005,3,random,kmeans,0.993640566409489,1903356.66992478
33,1000,1000,0.005,3,random,kmeans,0.974542324665804,1968339.86442841
34,1000,1000,0.005,3,random,kmeans,0.98684601004735,2007737.36161448
35,1000,1000,0.005,3,random,kmeans,0.987275475674681,1952728.48422702
36,1000,1000,0.005,3,random,kmeans,0.997041354060701,2040048.16076677
37,1000,1000,0.005,3,random,kmeans,0.977196094371024,1938750.6789666
38,1000,1000,0.005,3,random,kmeans,0.990263818304002,2045084.79161643
39,1000,1000,0.005,3,random,kmeans,0.983878415501641,1925884.59297835
40,1000,1000,0.005,3,random,kmeans,0.994845319077836,2047005.00168617
41,1000,1000,0.005,3,random,kmeans,0.98807233088435,2095813.78010677
42,1000,1000,0.005,3,random,kmeans,0.97550607539457,2031878.19309407
43,1000,1000,0.005,3,random,kmeans,0.996592346297921,2044841.8867285
44,1000,1000,0.005,3,random,kmeans,0.98099455561715,2028847.11518681
45,1000,1000,0.005,3,random,kmeans,0.990729328183344,2002470.5043717
46,1000,1000,0.005,3,random,kmeans,0.997020657408187,1944635.13707584
47,1000,1000,0.005,3,random,kmeans,0.993624554488636,2040525.35457689
48,1000,1000,0.005,3,random,kmeans,0.990255889476219,1997722.27029008
49,1000,1000,0.005,3,random,kmeans,0.993245130701401,1926377.79061137
50,1000,1000,0.005,3,random,kmeans,0.986955153219376,1938779.93326079
51,1000,1000,0.005,3,random,kmeans,0.987299432972327,2077610.94818512
52,1000,1000,0.005,3,random,kmeans,0.978846488676406,1987843.49265817
53,1000,1000,0.005,3,random,kmeans,0.976903106752154,1984489.69129278
54,1000,1000,0.005,3,random,kmeans,0.993162281391855,1912349.28425773
55,1000,1000,0.005,3,random,kmeans,0.993631710997441,1962112.55409986
56,1000,1000,0.005,3,random,kmeans,0.983266747285305,2031886.24706117
57,1000,1000,0.005,3,random,kmeans,0.987806943411713,1998327.07169469
58,1000,1000,0.005,3,random,kmeans,0.990279106488678,2162203.05023685
59,1000,1000,0.005,3,random,kmeans,0.990326706710743,1987854.54602776
60,1000,1000,0.005,3,random,kmeans,0.990248688007801,2030388.89972915
61,1000,1000,0.005,3,random,kmeans,0.990261621335305,1943679.80308783
62,1000,1000,0.005,3,random,kmeans,0.993181822997031,1959255.39099139
63,1000,1000,0.005,3,random,kmeans,0.996632498923455,1936964.72548515
64,1000,1000,0.005,3,random,kmeans,0.990539392873716,1953940.54263982
65,1000,1000,0.005,3,random,kmeans,0.996569206588933,2007999.37019123
66,1000,1000,0.005,3,random,kmeans,0.990220936595067,1938489.68947473
67,1000,1000,0.005,3,random,kmeans,0.990255682799182,2019333.04465548
68,1000,1000,0.005,3,random,kmeans,0.987277559237417,1951205.44737353
69,1000,1000,0.005,3,random,kmeans,0.990837063789936,2075232.44417117
70,1000,1000,0.005,3,random,kmeans,0.990271896023651,2135600.9730723
71,1000,1000,0.005,3,random,kmeans,0.991164329794053,1986415.47155891
72,1000,1000,0.005,3,random,kmeans,1,1981467.79839939
73,1000,1000,0.005,3,random,kmeans,0.983926083718175,2066408.70979097
74,1000,1000,0.005,3,random,kmeans,0.987299504567896,2047644.6878971
75,1000,1000,0.005,3,random,kmeans,0.984382874853125,1969294.41484443
76,1000,1000,0.005,3,random,kmeans,0.99023435941314,2035612.64288512
77,1000,1000,0.005,3,random,kmeans,0.974416790902593,2045582.67640536
78,1000,1000,0.005,3,random,kmeans,0.993670063149535,1942197.75783219
79,1000,1000,0.005,3,random,kmeans,0.984781424824823,1972190.56520323
80,1000,1000,0.005,3,random,kmeans,0.990993976331999,1978903.95265819
1,1000,1000,0.01,3,random,kmeans,0.980988247236884,1946978.50413405
2,1000,1000,0.01,3,random,kmeans,0.977152393851244,1973408.85550272
3,1000,1000,0.01,3,random,kmeans,0.990203419766219,1881632.09867326
4,1000,1000,0.01,3,random,kmeans,0.987272573939365,2030768.31267167
5,1000,1000,0.01,3,random,kmeans,0.981609557698151,1969330.16057584
6,1000,1000,0.01,3,random,kmeans,0.984612836337195,2083029.67082312
7,1000,1000,0.01,3,random,kmeans,0.990234587150157,1933304.94737456
8,1000,1000,0.01,3,random,kmeans,0.98390889903423,1960435.31570065
9,1000,1000,0.01,3,random,kmeans,0.986827995537921,1844310.61212717
10,1000,1000,0.01,3,random,kmeans,0.990233236217965,1918409.77754952
11,1000,1000,0.01,3,random,kmeans,0.993875181862308,1955498.26583173
12,1000,1000,0.01,3,random,kmeans,0.987407841455478,2094120.81677055
13,1000,1000,0.01,3,random,kmeans,0.983495830440622,1968126.8660879
14,1000,1000,0.01,3,random,kmeans,0.987489553835235,1921394.20098493
15,1000,1000,0.01,3,random,kmeans,0.990723386696978,2012380.66845852
16,1000,1000,0.01,3,random,kmeans,0.98332333592271,1890743.33413345
17,1000,1000,0.01,3,random,kmeans,0.987263816762749,1966440.73982515
18,1000,1000,0.01,3,random,kmeans,0.989675844655895,2000168.29059136
19,1000,1000,0.01,3,random,kmeans,0.980156997044934,1963524.2395899
20,1000,1000,0.01,3,random,kmeans,0.993976087672279,2051447.9708999
21,1000,1000,0.01,3,random,kmeans,0.98998120945077,2065471.28484267
22,1000,1000,0.01,3,random,kmeans,0.990687109338785,2028462.53554293
23,1000,1000,0.01,3,random,kmeans,0.978412012007161,2084966.84366563
24,1000,1000,0.01,3,random,kmeans,0.983959972931291,1977204.28303575
25,1000,1000,0.01,3,random,kmeans,0.979177951926443,2005485.59964492
26,1000,1000,0.01,3,random,kmeans,0.993132003907038,1978486.27239267
27,1000,1000,0.01,3,random,kmeans,0.993658889672427,2023891.20720553
28,1000,1000,0.01,3,random,kmeans,0.996643852197469,1945684.75119058
29,1000,1000,0.01,3,random,kmeans,0.983617023007897,1961034.34235588
30,1000,1000,0.01,3,random,kmeans,0.983698292076269,1929805.0971476
31,1000,1000,0.01,3,random,kmeans,0.986759566433828,2070586.46731137
32,1000,1000,0.01,3,random,kmeans,0.996576312700764,1978241.82668759
33,1000,1000,0.01,3,random,kmeans,0.964069563118425,2036672.92984146
34,1000,1000,0.01,3,random,kmeans,0.997026137398118,2000631.43869022
35,1000,1000,0.01,3,random,kmeans,0.98970905618116,1987592.98084669
36,1000,1000,0.01,3,random,kmeans,0.989961730509458,1975885.35560184
37,1000,1000,0.01,3,random,kmeans,0.993237836122243,1943561.33555684
38,1000,1000,0.01,3,random,kmeans,0.98980513852504,2005233.1764686
39,1000,1000,0.01,3,random,kmeans,0.990598794812903,2003180.83985632
40,1000,1000,0.01,3,random,kmeans,0.996679492240957,1970615.931844
41,1000,1000,0.01,3,random,kmeans,0.983387512396016,2022074.49712998
42,1000,1000,0.01,3,random,kmeans,0.987393456124912,2009419.13620609
43,1000,1000,0.01,3,random,kmeans,0.990224385119826,1935347.43612474
