"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,1000,1000,0.005,3,random,mbkmeans,0.987781631432342,2974629.51253772
2,1000,1000,0.005,3,random,mbkmeans,0.949122066419146,3650398.73594454
3,1000,1000,0.005,3,random,mbkmeans,0.980914833915836,2400337.07854842
4,1000,1000,0.005,3,random,mbkmeans,0.952516058790828,4135842.33074386
5,1000,1000,0.005,3,random,mbkmeans,0.990711526509242,2731988.297933
6,1000,1000,0.005,3,random,mbkmeans,0.973444504146203,3498033.36290843
7,1000,1000,0.005,3,random,mbkmeans,0.941281152128348,3197678.40350969
8,1000,1000,0.005,3,random,mbkmeans,0.96575996628258,3274777.65984997
9,1000,1000,0.005,3,random,mbkmeans,0.967506045578856,3225006.33328575
10,1000,1000,0.005,3,random,mbkmeans,0.963799564231821,3252327.84521291
11,1000,1000,0.005,3,random,mbkmeans,0.997036604040763,4616506.97762689
12,1000,1000,0.005,3,random,mbkmeans,0.975331724219344,3170751.55978602
13,1000,1000,0.005,3,random,mbkmeans,0.92497432686479,3646820.5751658
14,1000,1000,0.005,3,random,mbkmeans,0.978486467209381,2960172.31788237
15,1000,1000,0.005,3,random,mbkmeans,0.997062654956587,2985246.19706565
16,1000,1000,0.005,3,random,mbkmeans,0.942426311280181,3427551.35496678
17,1000,1000,0.005,3,random,mbkmeans,0.980090137036278,2864209.06053131
18,1000,1000,0.005,3,random,mbkmeans,0.990353681794606,3083138.79615228
19,1000,1000,0.005,3,random,mbkmeans,0.990603289427,3024847.8525127
20,1000,1000,0.005,3,random,mbkmeans,0.983753206645553,2773528.32361601
21,1000,1000,0.005,3,random,mbkmeans,0.993654990295329,2942793.84308091
22,1000,1000,0.005,3,random,mbkmeans,0.990777613928538,3006728.79931907
23,1000,1000,0.005,3,random,mbkmeans,0.973692696948912,3047115.18100698
24,1000,1000,0.005,3,random,mbkmeans,0.974308770773215,3334690.06217481
25,1000,1000,0.005,3,random,mbkmeans,0.993937065312611,3077802.88532561
26,1000,1000,0.005,3,random,mbkmeans,0.997971576153611,2872679.43691216
27,1000,1000,0.005,3,random,mbkmeans,0.9473370317409,4297505.20090404
28,1000,1000,0.005,3,random,mbkmeans,0.949109759425046,3006305.70931109
