"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,500,1000,0.005,3,random,hdf5,0.962004995505168,1479488.98349125
2,500,1000,0.005,3,random,hdf5,0.980584605220085,1435652.05853015
3,500,1000,0.005,3,random,hdf5,0.965844483066135,1726022.53309794
4,500,1000,0.005,3,random,hdf5,0.993887874377735,1762706.03362596
5,500,1000,0.005,3,random,hdf5,1,1544934.2461816
6,500,1000,0.005,3,random,hdf5,0.969659278985552,1543814.28815533
7,500,1000,0.005,3,random,hdf5,0.971958853133485,2245847.10682545
8,500,1000,0.005,3,random,hdf5,1,1637398.78058727
9,500,1000,0.005,3,random,hdf5,0.966026108052088,1934911.69219573
10,500,1000,0.005,3,random,hdf5,0.988428343757864,1478441.26039519
11,500,1000,0.005,3,random,hdf5,0.902196589286799,2100973.7796834
12,500,1000,0.005,3,random,hdf5,0.994003768428199,4030692.75775129
13,500,1000,0.005,3,random,hdf5,1,2059348.03695431
14,500,1000,0.005,3,random,hdf5,0.945237293125739,1630926.96172038
15,500,1000,0.005,3,random,hdf5,0.966674470182497,1790580.69762294
16,500,1000,0.005,3,random,hdf5,0.988410949004355,2375086.66752457
17,500,1000,0.005,3,random,hdf5,0.979870298548618,1526661.55903482
18,500,1000,0.005,3,random,hdf5,0.959297616803929,1457018.05329814
19,500,1000,0.005,3,random,hdf5,0.979335623029608,1787445.08176241
20,500,1000,0.005,3,random,hdf5,0.952006931286814,1657113.09964589
21,500,1000,0.005,3,random,hdf5,0.955391656017741,1689652.412073
22,500,1000,0.005,3,random,hdf5,0.987190130802691,1849466.10099623
23,500,1000,0.005,3,random,hdf5,0.965622364120214,2405486.4084929
24,500,1000,0.005,3,random,hdf5,0.969363018556893,1742628.82027682
25,500,1000,0.005,3,random,hdf5,0.988709643929201,1377568.83155904
26,500,1000,0.005,3,random,hdf5,0.982133386834981,1873538.53254311
27,500,1000,0.005,3,random,hdf5,0.961827989245266,1617686.62245979
28,500,1000,0.005,3,random,hdf5,0.967345829503359,1675441.38614941
29,500,1000,0.005,3,random,hdf5,0.989116974966944,2109291.47445735
