"B","observations","genes","batch_size","k","initializer","method","memory"
2,1000,1000,0.005,3,random,hdf5,501.190393429173
2,1000,1000,0.01,3,random,hdf5,489.67525666703
2,1000,1000,0.2,3,random,hdf5,495.464273412478
2,1000,1000,0.5,3,random,hdf5,504.586717599686
2,1000,1000,0.8,3,random,hdf5,509.211343776782
2,1000,1000,1,3,random,hdf5,494.853586154317
2,5000,1000,0.005,3,random,hdf5,661.602762808072
2,5000,1000,0.01,3,random,hdf5,702.187884115795
2,5000,1000,0.2,3,random,hdf5,712.626360717631
2,5000,1000,0.5,3,random,hdf5,572.965364707945
2,5000,1000,0.8,3,random,hdf5,584.415811833613
2,5000,1000,1,3,random,hdf5,592.036730136257
2,25000,1000,0.005,3,random,hdf5,841.030818293785
2,25000,1000,0.01,3,random,hdf5,841.984462096207
2,25000,1000,0.2,3,random,hdf5,1325.20659373892
2,25000,1000,0.5,3,random,hdf5,1692.4277560114
2,25000,1000,0.8,3,random,hdf5,1616.24622191085
2,25000,1000,1,3,random,hdf5,1689.70256679214
