"B","observations","genes","batch_size","k","initializer","method","memory"
2,1000,1000,0.005,3,random,mbkmeans,366.632760475828
2,1000,1000,0.01,3,random,mbkmeans,375.047311288787
2,1000,1000,0.2,3,random,mbkmeans,421.456826844532
2,1000,1000,0.5,3,random,mbkmeans,419.671701105383
2,1000,1000,0.8,3,random,mbkmeans,419.618463190143
2,1000,1000,1,3,random,mbkmeans,419.606347711582
2,5000,1000,0.005,3,random,mbkmeans,423.179040596139
2,5000,1000,0.01,3,random,mbkmeans,455.085473821841
2,5000,1000,0.2,3,random,mbkmeans,488.586816721523
2,5000,1000,0.5,3,random,mbkmeans,484.711442866587
2,5000,1000,0.8,3,random,mbkmeans,480.878671550874
2,5000,1000,1,3,random,mbkmeans,465.615899886914
2,25000,1000,0.005,3,random,mbkmeans,638.882090115032
2,25000,1000,0.01,3,random,mbkmeans,639.278948331859
2,25000,1000,0.2,3,random,mbkmeans,696.030756712222
2,25000,1000,0.5,3,random,mbkmeans,734.170946980458
2,25000,1000,0.8,3,random,mbkmeans,848.608256676832
2,25000,1000,1,3,random,mbkmeans,924.904498724594
