"B","observations","genes","batch_size","k","initializer","method","memory"
1,1000,1000,0.005,3,random,kmeans,442.34311079775
1,1000,1000,0.01,3,random,kmeans,442.27660536537
1,1000,1000,0.05,3,random,kmeans,442.27660536537
1,1000,1000,0.1,3,random,kmeans,442.343080280172
1,1000,1000,0.2,3,random,kmeans,426.880136191141
1,1000,1000,0.5,3,random,kmeans,442.276574847792
1,1000,1000,0.8,3,random,kmeans,442.343080280172
1,1000,1000,1,3,random,kmeans,442.276574847792
1,5000,1000,0.005,3,random,kmeans,663.868342040243
1,5000,1000,0.01,3,random,kmeans,663.868342040243
1,5000,1000,0.05,3,random,kmeans,663.868342040243
1,5000,1000,0.1,3,random,kmeans,663.868311522664
1,5000,1000,0.2,3,random,kmeans,664.073763488771
1,5000,1000,0.5,3,random,kmeans,664.028895019363
1,5000,1000,0.8,3,random,kmeans,663.868311522664
1,5000,1000,1,3,random,kmeans,663.868311522664
1,25000,1000,0.005,3,random,kmeans,2078.29582997524
1,25000,1000,0.01,3,random,kmeans,2078.29582997524
1,25000,1000,0.05,3,random,kmeans,2078.29582997524
1,25000,1000,0.1,3,random,kmeans,2078.29666157925
1,25000,1000,0.2,3,random,kmeans,2078.29582997524
1,25000,1000,0.5,3,random,kmeans,2078.29666157925
1,25000,1000,0.8,3,random,kmeans,2078.29666157925
1,25000,1000,1,3,random,kmeans,2078.29579945766
1,75000,1000,0.005,3,random,kmeans,5523.32500250311
1,75000,1000,0.01,3,random,kmeans,5523.32500250311
1,75000,1000,0.05,3,random,kmeans,5523.340024781
1,75000,1000,0.1,3,random,kmeans,5523.37373907556
1,75000,1000,0.2,3,random,kmeans,5523.38923437591
1,75000,1000,0.5,3,random,kmeans,5523.32500250311
1,75000,1000,0.8,3,random,kmeans,5523.32500250311
1,75000,1000,1,3,random,kmeans,5523.32497198553
1,1e+05,1000,0.005,3,random,kmeans,7245.58861983299
1,1e+05,1000,0.01,3,random,kmeans,7245.58861983299
1,1e+05,1000,0.05,3,random,kmeans,7245.58861983299
1,1e+05,1000,0.1,3,random,kmeans,7245.58861983299
1,1e+05,1000,0.2,3,random,kmeans,7245.58861983299
1,1e+05,1000,0.5,3,random,kmeans,7245.58861983299
1,1e+05,1000,0.8,3,random,kmeans,7245.58861983299
1,1e+05,1000,1,3,random,kmeans,7245.58858931542
