"B","observations","genes","batch_size","k","initializer","method","memory"
1,1000,1000,0.005,3,random,mbkmeans,372.880631898298
1,1000,1000,0.01,3,random,mbkmeans,379.667687893112
1,1000,1000,0.05,3,random,mbkmeans,406.748345954145
1,1000,1000,0.1,3,random,mbkmeans,406.60875092188
1,1000,1000,0.2,3,random,mbkmeans,406.526879888857
1,1000,1000,0.5,3,random,mbkmeans,430.100129794583
1,1000,1000,0.8,3,random,mbkmeans,426.300759968254
1,1000,1000,1,3,random,mbkmeans,403.422059625692
1,5000,1000,0.005,3,random,mbkmeans,434.175447192753
1,5000,1000,0.01,3,random,mbkmeans,462.916017369416
1,5000,1000,0.05,3,random,mbkmeans,462.954980687434
1,5000,1000,0.1,3,random,mbkmeans,461.000955411516
1,5000,1000,0.2,3,random,mbkmeans,495.292154271205
1,5000,1000,0.5,3,random,mbkmeans,491.471506063448
1,5000,1000,0.8,3,random,mbkmeans,487.650598456276
1,5000,1000,1,3,random,mbkmeans,472.397394053094
1,25000,1000,0.005,3,random,mbkmeans,645.895235588237
1,25000,1000,0.01,3,random,mbkmeans,645.736895133539
1,25000,1000,0.05,3,random,mbkmeans,712.385355772875
1,25000,1000,0.1,3,random,mbkmeans,702.836588647048
1,25000,1000,0.2,3,random,mbkmeans,702.832117821836
1,25000,1000,0.5,3,random,mbkmeans,741.009005477906
1,25000,1000,0.8,3,random,mbkmeans,855.494624500633
1,25000,1000,1,3,random,mbkmeans,931.827701265331
1,75000,1000,0.005,3,random,mbkmeans,1233.44135749224
1,75000,1000,0.01,3,random,mbkmeans,1233.2797058803
1,75000,1000,0.05,3,random,mbkmeans,1422.05669938953
1,75000,1000,0.1,3,random,mbkmeans,1393.44840002635
1,75000,1000,0.2,3,random,mbkmeans,1393.44637823679
1,75000,1000,0.5,3,random,mbkmeans,1507.94104572147
1,75000,1000,0.8,3,random,mbkmeans,1851.4351342351
1,75000,1000,1,3,random,mbkmeans,1507.95297809456
1,1e+05,1000,0.005,3,random,mbkmeans,1529.6327419702
1,1e+05,1000,0.01,3,random,mbkmeans,1525.65363886683
1,1e+05,1000,0.05,3,random,mbkmeans,1777.42875578239
1,1e+05,1000,0.1,3,random,mbkmeans,1739.25479781383
1,1e+05,1000,0.2,3,random,mbkmeans,1739.26890456438
1,1e+05,1000,0.5,3,random,mbkmeans,1891.93158671925
1,1e+05,1000,0.8,3,random,mbkmeans,2349.90571716819
1,1e+05,1000,1,3,random,mbkmeans,1891.92935893604
