"B","observations","genes","batch_size","k","initializer","method","memory"
6,1000,1000,0.005,3,random,hdf5,604.021189104758
6,1000,1000,0.01,3,random,hdf5,622.618639431187
6,1000,1000,0.05,3,random,hdf5,522.96508223193
6,1000,1000,0.1,3,random,hdf5,473.89766871695
6,1000,1000,0.2,3,random,hdf5,477.687265288848
6,1000,1000,0.5,3,random,hdf5,459.76257497472
6,1000,1000,0.8,3,random,hdf5,484.599885859331
6,1000,1000,1,3,random,hdf5,450.400674609852
6,5000,1000,0.005,3,random,hdf5,620.773035481361
6,5000,1000,0.01,3,random,hdf5,525.761446073034
6,5000,1000,0.05,3,random,hdf5,512.859415079591
6,5000,1000,0.1,3,random,hdf5,512.859476114748
6,5000,1000,0.2,3,random,hdf5,512.859476114748
6,5000,1000,0.5,3,random,hdf5,512.866090799831
6,5000,1000,0.8,3,random,hdf5,512.83004953993
6,5000,1000,1,3,random,hdf5,512.930795695095
6,25000,1000,0.005,3,random,hdf5,837.142314250812
6,25000,1000,0.01,3,random,hdf5,837.142283733233
6,25000,1000,0.05,3,random,hdf5,837.142283733233
6,25000,1000,0.1,3,random,hdf5,837.14234476839
6,25000,1000,0.2,3,random,hdf5,837.14234476839
6,25000,1000,0.5,3,random,hdf5,837.14234476839
6,25000,1000,0.8,3,random,hdf5,935.312884994285
6,25000,1000,1,3,random,hdf5,1040.88734828275
6,75000,1000,0.005,3,random,hdf5,934.980029768421
6,75000,1000,0.01,3,random,hdf5,934.979999250843
6,75000,1000,0.05,3,random,hdf5,934.979999250843
6,75000,1000,0.1,3,random,hdf5,934.979999250843
6,75000,1000,0.2,3,random,hdf5,934.980052656605
6,75000,1000,0.5,3,random,hdf5,1504.60172075771
6,75000,1000,0.8,3,random,hdf5,2131.06162302076
6,75000,1000,1,3,random,hdf5,2473.49192216271
6,1e+05,1000,0.005,3,random,hdf5,935.079417891354
6,1e+05,1000,0.01,3,random,hdf5,934.979999250843
6,1e+05,1000,0.05,3,random,hdf5,935.079387373776
6,1e+05,1000,0.1,3,random,hdf5,935.079387373776
6,1e+05,1000,0.2,3,random,hdf5,935.320003219409
6,1e+05,1000,0.5,3,random,hdf5,1793.98903569099
6,1e+05,1000,0.8,3,random,hdf5,2591.0279486066
6,1e+05,1000,1,3,random,hdf5,3138.83100548046
