B,observations,genes,batch_size,k,initializer,method,memory
1,1000,1000,0.005,3,random,mbkmeans,374.9972014
1,1000,1000,0.01,3,random,mbkmeans,384.0566878
1,1000,1000,0.05,3,random,mbkmeans,406.2697998
1,1000,1000,0.1,3,random,mbkmeans,406.132692
1,1000,1000,0.2,3,random,mbkmeans,406.0520035
1,1000,1000,0.5,3,random,mbkmeans,427.3528077
1,1000,1000,0.8,3,random,mbkmeans,427.3477036
1,1000,1000,1,3,random,mbkmeans,404.498407
1,5000,1000,0.005,3,random,mbkmeans,415.6700303
1,5000,1000,0.01,3,random,mbkmeans,435.1182878
1,5000,1000,0.05,3,random,mbkmeans,435.3070848
1,5000,1000,0.1,3,random,mbkmeans,439.0906465
1,5000,1000,0.2,3,random,mbkmeans,442.9021699
1,5000,1000,0.5,3,random,mbkmeans,473.4331759
1,5000,1000,0.8,3,random,mbkmeans,488.6986179
1,5000,1000,1,3,random,mbkmeans,511.59762
1,25000,1000,0.005,3,random,mbkmeans,618.1706414
1,25000,1000,0.01,3,random,mbkmeans,684.9214046
1,25000,1000,0.05,3,random,mbkmeans,684.8062694
1,25000,1000,0.1,3,random,mbkmeans,684.8008983
1,25000,1000,0.2,3,random,mbkmeans,665.7300135
1,25000,1000,0.5,3,random,mbkmeans,742.0608014
1,25000,1000,0.8,3,random,mbkmeans,856.5432009
1,25000,1000,1,3,random,mbkmeans,932.8884694
1,75000,1000,0.005,3,random,mbkmeans,1205.791463
1,75000,1000,0.01,3,random,mbkmeans,1234.298657
1,75000,1000,0.05,3,random,mbkmeans,1222.752583
1,75000,1000,0.1,3,random,mbkmeans,1222.747022
1,75000,1000,0.2,3,random,mbkmeans,1394.494237
1,75000,1000,0.5,3,random,mbkmeans,1509.00247
1,75000,1000,0.8,3,random,mbkmeans,1852.499778
1,75000,1000,1,3,random,mbkmeans,1509.000181
,,,,,,,
,,,,,,,
,,,,,,,
