"B","observations","genes","batch_size","k","initializer","method","memory"
4,1000,1000,0.005,3,random,hdf5,600.161585208378
4,1000,1000,0.01,3,random,hdf5,606.646746060453
4,1000,1000,0.05,3,random,hdf5,529.111414042201
4,1000,1000,0.1,3,random,hdf5,509.528993619287
4,1000,1000,0.2,3,random,hdf5,478.742967502299
4,1000,1000,0.5,3,random,hdf5,455.47798328377
4,1000,1000,0.8,3,random,hdf5,476.363405115402
4,1000,1000,1,3,random,hdf5,443.581155541185
4,5000,1000,0.005,3,random,hdf5,627.717249374717
4,5000,1000,0.01,3,random,hdf5,661.005785571936
4,5000,1000,0.05,3,random,hdf5,549.699068233551
4,5000,1000,0.1,3,random,hdf5,518.624048280025
4,5000,1000,0.2,3,random,hdf5,511.868845007499
4,5000,1000,0.5,3,random,hdf5,502.665216432778
4,5000,1000,0.8,3,random,hdf5,511.927011511624
4,5000,1000,1,3,random,hdf5,521.365701732739
4,25000,1000,0.005,3,random,hdf5,863.82857838946
4,25000,1000,0.01,3,random,hdf5,908.631915655461
4,25000,1000,0.05,3,random,hdf5,836.151461891121
4,25000,1000,0.1,3,random,hdf5,836.151461891121
4,25000,1000,0.2,3,random,hdf5,838.621539415077
4,25000,1000,0.5,3,random,hdf5,836.151461891121
4,25000,1000,0.8,3,random,hdf5,934.323077861649
4,25000,1000,1,3,random,hdf5,1039.88248072525
4,75000,1000,0.005,3,random,hdf5,1555.67115606979
4,75000,1000,0.01,3,random,hdf5,1651.9148316644
4,75000,1000,0.05,3,random,hdf5,1496.84032241303
4,75000,1000,0.1,3,random,hdf5,1446.08788081553
4,75000,1000,0.2,3,random,hdf5,1435.69701163575
4,75000,1000,0.5,3,random,hdf5,1503.60862535602
4,75000,1000,0.8,3,random,hdf5,2130.07516519233
4,75000,1000,1,3,random,hdf5,2472.49446274733
4,1e+05,1000,0.005,3,random,hdf5,1920.40325888464
4,1e+05,1000,0.01,3,random,hdf5,1992.89073932137
4,1e+05,1000,0.05,3,random,hdf5,1851.90935451277
4,1e+05,1000,0.1,3,random,hdf5,1791.49296481977
4,1e+05,1000,0.2,3,random,hdf5,1781.10211852817
4,1e+05,1000,0.5,3,random,hdf5,1901.38516951854
4,1e+05,1000,0.8,3,random,hdf5,2590.43699096277
4,1e+05,1000,1,3,random,hdf5,3140.43422356512
