"B","observations","genes","batch_size","k","initializer","method","memory"
4,1000,1000,0.005,3,random,mbkmeans,370.946679559467
4,1000,1000,0.01,3,random,mbkmeans,377.924661153145
4,1000,1000,0.05,3,random,mbkmeans,405.958390812008
4,1000,1000,0.1,3,random,mbkmeans,406.584603888098
4,1000,1000,0.2,3,random,mbkmeans,406.526879888857
4,1000,1000,0.5,3,random,mbkmeans,430.100129794583
4,1000,1000,0.8,3,random,mbkmeans,426.300607380363
4,1000,1000,1,3,random,mbkmeans,403.446206659475
4,5000,1000,0.005,3,random,mbkmeans,431.293939308359
4,5000,1000,0.01,3,random,mbkmeans,463.339853125407
4,5000,1000,0.05,3,random,mbkmeans,462.955789403257
4,5000,1000,0.1,3,random,mbkmeans,460.97599966191
4,5000,1000,0.2,3,random,mbkmeans,495.292154271205
4,5000,1000,0.5,3,random,mbkmeans,491.471002523407
4,5000,1000,0.8,3,random,mbkmeans,487.665086676545
4,5000,1000,1,3,random,mbkmeans,472.382753244933
4,25000,1000,0.005,3,random,mbkmeans,645.846941520672
4,25000,1000,0.01,3,random,mbkmeans,645.736086417715
4,25000,1000,0.05,3,random,mbkmeans,683.773546888201
4,25000,1000,0.1,3,random,mbkmeans,702.834948327218
4,25000,1000,0.2,3,random,mbkmeans,702.832445885802
4,25000,1000,0.5,3,random,mbkmeans,741.010645797736
4,25000,1000,0.8,3,random,mbkmeans,855.505832081242
4,25000,1000,1,3,random,mbkmeans,932.055370028396
4,75000,1000,0.005,3,random,mbkmeans,1233.41721045846
4,75000,1000,0.01,3,random,mbkmeans,1233.30385291409
4,75000,1000,0.05,3,random,mbkmeans,1221.72936709166
4,75000,1000,0.1,3,random,mbkmeans,1393.44840002635
4,75000,1000,0.2,3,random,mbkmeans,1393.44605017283
4,75000,1000,0.5,3,random,mbkmeans,1507.95914264536
4,75000,1000,0.8,3,random,mbkmeans,1851.44896632744
4,75000,1000,1,3,random,mbkmeans,1507.95625873422
4,1e+05,1000,0.005,3,random,mbkmeans,1529.6327419702
4,1e+05,1000,0.01,3,random,mbkmeans,1525.67778590061
4,1e+05,1000,0.05,3,random,mbkmeans,1510.28669544954
4,1e+05,1000,0.1,3,random,mbkmeans,1739.25479781383
4,1e+05,1000,0.2,3,random,mbkmeans,1739.25179183238
4,1e+05,1000,0.5,3,random,mbkmeans,1891.91381785932
4,1e+05,1000,0.8,3,random,mbkmeans,2349.91889313259
4,1e+05,1000,1,3,random,mbkmeans,1891.92903087207
