"B","observations","genes","batch_size","k","initializer","method","memory"
1,1000,1000,0.005,3,random,hdf5,474.774316669473
1,1000,1000,0.01,3,random,hdf5,510.622583406123
1,1000,1000,0.05,3,random,hdf5,511.135499972997
1,1000,1000,0.1,3,random,hdf5,500.824342707579
1,1000,1000,0.2,3,random,hdf5,495.434106786388
1,1000,1000,0.5,3,random,hdf5,485.658304137245
1,1000,1000,0.8,3,random,hdf5,524.464654991487
1,1000,1000,1,3,random,hdf5,494.880731540162
1,5000,1000,0.005,3,random,hdf5,661.604944814917
1,5000,1000,0.01,3,random,hdf5,702.117815756156
1,5000,1000,0.05,3,random,hdf5,665.03976691038
1,5000,1000,0.1,3,random,hdf5,750.730509725965
1,5000,1000,0.2,3,random,hdf5,718.578188742989
1,5000,1000,0.5,3,random,hdf5,571.38702607895
1,5000,1000,0.8,3,random,hdf5,582.014375972513
1,5000,1000,1,3,random,hdf5,592.04526742877
1,25000,1000,0.005,3,random,hdf5,840.65742046523
1,25000,1000,0.01,3,random,hdf5,841.611064267651
1,25000,1000,0.05,3,random,hdf5,1518.76005363577
1,25000,1000,0.1,3,random,hdf5,1325.23350261353
1,25000,1000,0.2,3,random,hdf5,1806.91631235103
1,25000,1000,0.5,3,random,hdf5,1597.18498068911
1,25000,1000,0.8,3,random,hdf5,1709.45068240611
1,25000,1000,1,3,random,hdf5,1496.73899642388
1,75000,1000,0.005,3,random,hdf5,1701.06455108789
1,75000,1000,0.01,3,random,hdf5,1807.88516916621
1,75000,1000,0.05,3,random,hdf5,1752.56293385031
1,75000,1000,0.1,3,random,hdf5,1809.78339305031
1,75000,1000,0.2,3,random,hdf5,1924.22431145031
1,75000,1000,0.5,3,random,hdf5,2355.49104433767
1,75000,1000,0.8,3,random,hdf5,2873.53263411941
1,75000,1000,1,3,random,hdf5,3029.01136395335
