"B","observations","genes","batch_size","k","initializer","method","memory"
3,1000,1000,0.005,3,random,kmeans,435.454499931948
3,1000,1000,0.01,3,random,kmeans,420.176263485214
3,1000,1000,0.05,3,random,kmeans,427.811181726876
3,1000,1000,0.1,3,random,kmeans,435.454469414369
3,1000,1000,0.2,3,random,kmeans,420.176232967636
3,1000,1000,0.5,3,random,kmeans,435.454469414369
3,1000,1000,0.8,3,random,kmeans,443.085298300547
3,1000,1000,1,3,random,kmeans,443.085298300547
3,5000,1000,0.005,3,random,kmeans,657.108286472776
3,5000,1000,0.01,3,random,kmeans,657.122156712087
3,5000,1000,0.05,3,random,kmeans,657.122156712087
3,5000,1000,0.1,3,random,kmeans,657.122126194508
3,5000,1000,0.2,3,random,kmeans,657.108255955198
3,5000,1000,0.5,3,random,kmeans,657.122126194508
3,5000,1000,0.8,3,random,kmeans,657.108255955198
3,5000,1000,1,3,random,kmeans,657.108255955198
3,25000,1000,0.005,3,random,kmeans,2071.55079668566
3,25000,1000,0.01,3,random,kmeans,2071.53577440777
3,25000,1000,0.05,3,random,kmeans,2071.53577440777
3,25000,1000,0.1,3,random,kmeans,2071.53577440777
3,25000,1000,0.2,3,random,kmeans,2071.53577440777
3,25000,1000,0.5,3,random,kmeans,2071.53577440777
3,25000,1000,0.8,3,random,kmeans,1881.88880103687
3,25000,1000,1,3,random,kmeans,2071.53574389019
3,75000,1000,0.005,3,random,kmeans,5516.56494693564
3,75000,1000,0.01,3,random,kmeans,5516.62920169663
3,75000,1000,0.05,3,random,kmeans,5516.56494693564
3,75000,1000,0.1,3,random,kmeans,5516.56494693564
3,75000,1000,0.2,3,random,kmeans,5516.56494693564
3,75000,1000,0.5,3,random,kmeans,5516.56494693564
3,75000,1000,0.8,3,random,kmeans,5516.56494693564
3,75000,1000,1,3,random,kmeans,5516.57993869595
