"B","observations","genes","batch_size","k","initializer","method","memory"
1,1000,1000,0.005,3,random,kmeans,435.452256889947
1,1000,1000,0.01,3,random,kmeans,435.452256889947
1,1000,1000,0.2,3,random,kmeans,435.452226372369
1,1000,1000,0.5,3,random,kmeans,420.189263973544
1,1000,1000,0.8,3,random,kmeans,435.452226372369
1,1000,1000,1,3,random,kmeans,420.189263973544
1,5000,1000,0.005,3,random,kmeans,657.106043430776
1,5000,1000,0.01,3,random,kmeans,657.311495396882
1,5000,1000,0.2,3,random,kmeans,657.106012913198
1,5000,1000,0.5,3,random,kmeans,657.106012913198
1,5000,1000,0.8,3,random,kmeans,657.106012913198
1,5000,1000,1,3,random,kmeans,657.119883152508
1,25000,1000,0.005,3,random,kmeans,2071.53353136577
1,25000,1000,0.01,3,random,kmeans,2071.53436296978
1,25000,1000,0.2,3,random,kmeans,2071.53436296978
1,25000,1000,0.5,3,random,kmeans,2071.53436296978
1,25000,1000,0.8,3,random,kmeans,2071.53353136577
1,25000,1000,1,3,random,kmeans,2071.5343324522
