"B","observations","genes","batch_size","k","initializer","method","memory"
3,1000,1000,0.005,3,random,mbkmeans,366.318818519078
3,1000,1000,0.01,3,random,mbkmeans,375.003823739795
3,1000,1000,0.2,3,random,mbkmeans,421.487390199139
3,1000,1000,0.5,3,random,mbkmeans,419.70340123978
3,1000,1000,0.8,3,random,mbkmeans,419.618402154987
3,1000,1000,1,3,random,mbkmeans,419.664956720592
3,5000,1000,0.005,3,random,mbkmeans,424.975450209842
3,5000,1000,0.01,3,random,mbkmeans,455.148935125791
3,5000,1000,0.2,3,random,mbkmeans,488.587892466156
3,5000,1000,0.5,3,random,mbkmeans,484.71138183143
3,5000,1000,0.8,3,random,mbkmeans,480.874360942948
3,5000,1000,1,3,random,mbkmeans,465.612230148131
3,25000,1000,0.005,3,random,mbkmeans,638.914598965252
3,25000,1000,0.01,3,random,mbkmeans,639.306452299248
3,25000,1000,0.2,3,random,mbkmeans,696.033144712719
3,25000,1000,0.5,3,random,mbkmeans,734.160403157176
3,25000,1000,0.8,3,random,mbkmeans,848.601649621143
3,25000,1000,1,3,random,mbkmeans,924.894130377387
