"B","observations","genes","batch_size","k","initializer","method","memory"
4,1000,1000,0.005,3,random,hdf5,508.545183190775
4,1000,1000,0.01,3,random,hdf5,500.933893184066
4,1000,1000,0.05,3,random,hdf5,490.904191913361
4,1000,1000,0.1,3,random,hdf5,478.2772082232
4,1000,1000,0.2,3,random,hdf5,506.732233049666
4,1000,1000,0.5,3,random,hdf5,482.640825183003
4,1000,1000,0.8,3,random,hdf5,525.042299341809
4,1000,1000,1,3,random,hdf5,489.517030653251
4,5000,1000,0.005,3,random,hdf5,661.606821645978
4,5000,1000,0.01,3,random,hdf5,891.40770294407
4,5000,1000,0.05,3,random,hdf5,704.782465729576
4,5000,1000,0.1,3,random,hdf5,830.854785235419
4,5000,1000,0.2,3,random,hdf5,717.692850910063
4,5000,1000,0.5,3,random,hdf5,569.374010324294
4,5000,1000,0.8,3,random,hdf5,579.142473495871
4,5000,1000,1,3,random,hdf5,590.460565884712
4,25000,1000,0.005,3,random,hdf5,841.033061335786
4,25000,1000,0.01,3,random,hdf5,841.986705138207
4,25000,1000,0.05,3,random,hdf5,1518.76011467093
4,25000,1000,0.1,3,random,hdf5,1344.75283557283
4,25000,1000,0.2,3,random,hdf5,1676.26829397541
4,25000,1000,0.5,3,random,hdf5,1689.94879024278
4,25000,1000,0.8,3,random,hdf5,1611.51238095062
4,25000,1000,1,3,random,hdf5,1687.80632655062
4,75000,1000,0.005,3,random,hdf5,1792.08327396506
4,75000,1000,0.01,3,random,hdf5,1706.78662752547
4,75000,1000,0.05,3,random,hdf5,1811.70124736662
4,75000,1000,0.1,3,random,hdf5,1900.38063002501
4,75000,1000,0.2,3,random,hdf5,2012.0100554945
4,75000,1000,0.5,3,random,hdf5,2554.32559403714
4,75000,1000,0.8,3,random,hdf5,2797.09423356281
4,75000,1000,1,3,random,hdf5,2837.25644227128
