"B","observations","genes","batch_size","k","initializer","method","memory"
1,1000,1000,0.005,3,random,mbkmeans,368.886620957954
1,1000,1000,0.01,3,random,mbkmeans,375.901162610364
1,1000,1000,0.05,3,random,mbkmeans,422.018129031706
1,1000,1000,0.1,3,random,mbkmeans,421.912423770077
1,1000,1000,0.2,3,random,mbkmeans,421.458200135553
1,1000,1000,0.5,3,random,mbkmeans,419.679719599066
1,1000,1000,0.8,3,random,mbkmeans,419.621453912811
1,1000,1000,1,3,random,mbkmeans,419.667199762593
1,5000,1000,0.005,3,random,mbkmeans,427.772203150069
1,5000,1000,0.01,3,random,mbkmeans,455.900911141809
1,5000,1000,0.05,3,random,mbkmeans,454.508142276697
1,5000,1000,0.1,3,random,mbkmeans,454.352777285877
1,5000,1000,0.2,3,random,mbkmeans,488.588998728367
1,5000,1000,0.5,3,random,mbkmeans,484.70922271277
1,5000,1000,0.8,3,random,mbkmeans,480.876123333091
1,5000,1000,1,3,random,mbkmeans,465.613817062199
1,25000,1000,0.005,3,random,mbkmeans,638.916842007253
1,25000,1000,0.01,3,random,mbkmeans,639.308695341249
1,25000,1000,0.05,3,random,mbkmeans,705.680109775928
1,25000,1000,0.1,3,random,mbkmeans,696.065958738722
1,25000,1000,0.2,3,random,mbkmeans,696.034075498856
1,25000,1000,0.5,3,random,mbkmeans,734.164286519007
1,25000,1000,0.8,3,random,mbkmeans,848.60472426715
1,25000,1000,1,3,random,mbkmeans,924.902087835913
1,75000,1000,0.005,3,random,mbkmeans,1227.31474003751
1,75000,1000,0.01,3,random,mbkmeans,1226.82158360255
1,75000,1000,0.05,3,random,mbkmeans,1214.90954284721
1,75000,1000,0.1,3,random,mbkmeans,1386.52715061062
1,75000,1000,0.2,3,random,mbkmeans,1386.49559543472
1,75000,1000,0.5,3,random,mbkmeans,1500.92236130781
1,75000,1000,0.8,3,random,mbkmeans,1844.24053887108
1,75000,1000,1,3,random,mbkmeans,1500.91906540936
