"B","observations","genes","batch_size","k","initializer","method","memory"
1,1000,1000,0.005,3,random,hdf5,509.953393950476
1,1000,1000,0.01,3,random,hdf5,489.633104262086
1,1000,1000,0.2,3,random,hdf5,478.678094760355
1,1000,1000,0.5,3,random,hdf5,489.335298474831
1,1000,1000,0.8,3,random,hdf5,490.677614153718
1,1000,1000,1,3,random,hdf5,497.364175763388
1,5000,1000,0.005,3,random,hdf5,661.602762808072
1,5000,1000,0.01,3,random,hdf5,662.006258598167
1,5000,1000,0.2,3,random,hdf5,876.602839912207
1,5000,1000,0.5,3,random,hdf5,567.777315371988
1,5000,1000,0.8,3,random,hdf5,584.424295720364
1,5000,1000,1,3,random,hdf5,590.457269986262
1,25000,1000,0.005,3,random,hdf5,841.030818293785
1,25000,1000,0.01,3,random,hdf5,841.984462096207
1,25000,1000,0.2,3,random,hdf5,1649.41371776337
1,25000,1000,0.5,3,random,hdf5,1595.00758199927
1,25000,1000,0.8,3,random,hdf5,1804.86016762893
1,25000,1000,1,3,random,hdf5,1880.68341010215
