"B","observations","genes","batch_size","k","initializer","method","memory"
1,1000,1000,0.005,3,random,mbkmeans,365.942552038168
1,1000,1000,0.01,3,random,mbkmeans,374.237321356535
1,1000,1000,0.2,3,random,mbkmeans,421.483674683989
1,1000,1000,0.5,3,random,mbkmeans,419.704209955603
1,1000,1000,0.8,3,random,mbkmeans,419.618402154987
1,1000,1000,1,3,random,mbkmeans,419.632386835215
1,5000,1000,0.005,3,random,mbkmeans,425.175058059715
1,5000,1000,0.01,3,random,mbkmeans,452.880380429743
1,5000,1000,0.2,3,random,mbkmeans,488.587411814298
1,5000,1000,0.5,3,random,mbkmeans,484.706323542837
1,5000,1000,0.8,3,random,mbkmeans,480.874032878982
1,5000,1000,1,3,random,mbkmeans,465.610917892266
1,25000,1000,0.005,3,random,mbkmeans,638.882837795699
1,25000,1000,0.01,3,random,mbkmeans,639.306452299248
1,25000,1000,0.2,3,random,mbkmeans,696.033144712719
1,25000,1000,0.5,3,random,mbkmeans,734.170557881336
1,25000,1000,0.8,3,random,mbkmeans,848.606227257878
1,25000,1000,1,3,random,mbkmeans,924.897235540973
