"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1000,1000,0.005,3,random,hdf5,2.584,0.223,3.848
2,1000,1000,0.005,3,random,hdf5,2.256,0.206,3.336
3,1000,1000,0.005,3,random,hdf5,2.564,0.219,3.74
4,1000,1000,0.005,3,random,hdf5,2.152,0.223,3.18
5,1000,1000,0.005,3,random,hdf5,2.332,0.191,3.408
6,1000,1000,0.005,3,random,hdf5,2.378,0.229,3.596
7,1000,1000,0.005,3,random,hdf5,2.198,0.198,3.174
8,1000,1000,0.005,3,random,hdf5,2.164,0.18,3.153
9,1000,1000,0.005,3,random,hdf5,2.036,0.193,2.963
10,1000,1000,0.005,3,random,hdf5,2.278,0.199,3.389
1,1000,1000,0.01,3,random,hdf5,2.641,0.245,4.653
2,1000,1000,0.01,3,random,hdf5,2.504,0.213,4.416
3,1000,1000,0.01,3,random,hdf5,2.793,0.271,4.964
4,1000,1000,0.01,3,random,hdf5,2.468,0.221,4.365
5,1000,1000,0.01,3,random,hdf5,2.771,0.253,4.913
6,1000,1000,0.01,3,random,hdf5,2.45,0.238,4.441
7,1000,1000,0.01,3,random,hdf5,2.869,0.235,5.072
8,1000,1000,0.01,3,random,hdf5,2.596,0.225,4.632
9,1000,1000,0.01,3,random,hdf5,2.093,0.227,3.762
10,1000,1000,0.01,3,random,hdf5,2.548,0.225,4.508
1,1000,1000,0.05,3,random,hdf5,4.432,0.377,10.472
2,1000,1000,0.05,3,random,hdf5,3.094,0.286,8.134
3,1000,1000,0.05,3,random,hdf5,3.439,0.318,8.933
4,1000,1000,0.05,3,random,hdf5,3.685,0.363,9.724
5,1000,1000,0.05,3,random,hdf5,3.608,0.305,9.206
6,1000,1000,0.05,3,random,hdf5,3.279,0.307,8.612
7,1000,1000,0.05,3,random,hdf5,3.142,0.265,8.131
8,1000,1000,0.05,3,random,hdf5,4.469,0.359,10.817
9,1000,1000,0.05,3,random,hdf5,2.915,0.28,7.746
10,1000,1000,0.05,3,random,hdf5,4.01,0.355,10.193
1,1000,1000,0.1,3,random,hdf5,4.94,0.342,10.448
2,1000,1000,0.1,3,random,hdf5,5.235,0.464,11.124
3,1000,1000,0.1,3,random,hdf5,5.308,0.385,10.944
4,1000,1000,0.1,3,random,hdf5,5.488,0.436,11.574
5,1000,1000,0.1,3,random,hdf5,5.75,0.439,11.847
6,1000,1000,0.1,3,random,hdf5,6.225,0.419,12.455
7,1000,1000,0.1,3,random,hdf5,5.364,0.367,10.945
8,1000,1000,0.1,3,random,hdf5,4.352,0.346,9.485
9,1000,1000,0.1,3,random,hdf5,5.56,0.455,11.864
10,1000,1000,0.1,3,random,hdf5,4.829,0.338,10.129
1,1000,1000,0.2,3,random,hdf5,7.482,0.556,12.638
2,1000,1000,0.2,3,random,hdf5,7.152,0.575,12.486
3,1000,1000,0.2,3,random,hdf5,6.779,0.553,11.672
4,1000,1000,0.2,3,random,hdf5,7.292,0.5,12.499
5,1000,1000,0.2,3,random,hdf5,7.497,0.562,12.326
6,1000,1000,0.2,3,random,hdf5,8.607,0.729,14.581
7,1000,1000,0.2,3,random,hdf5,7.504,0.58,12.749
8,1000,1000,0.2,3,random,hdf5,8.212,0.563,13.951
9,1000,1000,0.2,3,random,hdf5,6.833,0.518,11.762
10,1000,1000,0.2,3,random,hdf5,8.084,0.551,13.343
1,1000,1000,0.5,3,random,hdf5,15.309,1.14,20.865
2,1000,1000,0.5,3,random,hdf5,15.214,0.986,20.455
3,1000,1000,0.5,3,random,hdf5,13.053,0.915,17.889
4,1000,1000,0.5,3,random,hdf5,16.235,1.16,21.928
5,1000,1000,0.5,3,random,hdf5,13.674,1.042,19.031
6,1000,1000,0.5,3,random,hdf5,15.391,1.01,20.739
7,1000,1000,0.5,3,random,hdf5,16.588,1.09,21.963
8,1000,1000,0.5,3,random,hdf5,13.942,0.977,18.847
9,1000,1000,0.5,3,random,hdf5,16.446,1.039,21.813
10,1000,1000,0.5,3,random,hdf5,12.453,0.92,17.057
1,1000,1000,0.8,3,random,hdf5,19.686,1.176,24.321
2,1000,1000,0.8,3,random,hdf5,17.686,1.316,22.349
3,1000,1000,0.8,3,random,hdf5,20.957,1.214,26.019
4,1000,1000,0.8,3,random,hdf5,21.67,1.541,26.998
5,1000,1000,0.8,3,random,hdf5,25.27,1.726,31.197
6,1000,1000,0.8,3,random,hdf5,22.078,1.33,27.402
7,1000,1000,0.8,3,random,hdf5,24.558,1.635,30.105
8,1000,1000,0.8,3,random,hdf5,25.028,1.777,30.956
9,1000,1000,0.8,3,random,hdf5,20.019,1.221,24.805
10,1000,1000,0.8,3,random,hdf5,22.257,1.463,27.628
1,1000,1000,1,3,random,hdf5,8.749,0.842,10.96
2,1000,1000,1,3,random,hdf5,7.113,0.728,8.981
3,1000,1000,1,3,random,hdf5,8.771,0.951,10.985
4,1000,1000,1,3,random,hdf5,7.822,0.755,9.889
5,1000,1000,1,3,random,hdf5,8.176,1.021,10.491
6,1000,1000,1,3,random,hdf5,10.499,1.236,12.998
7,1000,1000,1,3,random,hdf5,8.172,0.68,9.972
8,1000,1000,1,3,random,hdf5,8.512,1.047,10.948
9,1000,1000,1,3,random,hdf5,5.899,0.652,7.505
10,1000,1000,1,3,random,hdf5,10.998,1.695,13.882
1,5000,1000,0.005,3,random,hdf5,3.627,0.414,7.721
2,5000,1000,0.005,3,random,hdf5,3.403,0.449,7.274
3,5000,1000,0.005,3,random,hdf5,4.021,0.57,8.925
4,5000,1000,0.005,3,random,hdf5,3.393,0.441,6.768
5,5000,1000,0.005,3,random,hdf5,3.783,0.463,7.89
6,5000,1000,0.005,3,random,hdf5,3.351,0.461,7.013
7,5000,1000,0.005,3,random,hdf5,3.971,0.494,8.599
8,5000,1000,0.005,3,random,hdf5,3.767,0.528,8.442
9,5000,1000,0.005,3,random,hdf5,4.15,0.481,9.145
10,5000,1000,0.005,3,random,hdf5,3.816,0.474,8.045
1,5000,1000,0.01,3,random,hdf5,4.545,0.765,14.821
2,5000,1000,0.01,3,random,hdf5,4.018,0.549,12.687
3,5000,1000,0.01,3,random,hdf5,4.103,0.548,12.375
4,5000,1000,0.01,3,random,hdf5,4.544,0.642,14.873
5,5000,1000,0.01,3,random,hdf5,4.975,0.588,15.32
6,5000,1000,0.01,3,random,hdf5,3.743,0.506,11.647
7,5000,1000,0.01,3,random,hdf5,4.551,0.612,13.922
8,5000,1000,0.01,3,random,hdf5,3.952,0.569,12.268
9,5000,1000,0.01,3,random,hdf5,4.603,0.567,14.855
10,5000,1000,0.01,3,random,hdf5,4.918,0.653,15.392
1,5000,1000,0.05,3,random,hdf5,8.85,1.247,26.412
2,5000,1000,0.05,3,random,hdf5,8.992,1.386,27.698
3,5000,1000,0.05,3,random,hdf5,8.774,1.316,26.654
4,5000,1000,0.05,3,random,hdf5,9.246,1.28,28.367
5,5000,1000,0.05,3,random,hdf5,8.387,1.419,25.837
6,5000,1000,0.05,3,random,hdf5,8.946,1.326,27.109
7,5000,1000,0.05,3,random,hdf5,9.421,1.359,28.545
8,5000,1000,0.05,3,random,hdf5,9.353,1.318,28.331
9,5000,1000,0.05,3,random,hdf5,7.953,1.126,23.922
10,5000,1000,0.05,3,random,hdf5,10.491,1.465,31.37
1,5000,1000,0.1,3,random,hdf5,13.068,1.268,27.553
2,5000,1000,0.1,3,random,hdf5,14.081,1.301,29.3
3,5000,1000,0.1,3,random,hdf5,13.462,1.322,28.798
4,5000,1000,0.1,3,random,hdf5,13.971,1.294,29.607
5,5000,1000,0.1,3,random,hdf5,14.599,1.562,30.96
6,5000,1000,0.1,3,random,hdf5,16.296,1.601,34.246
7,5000,1000,0.1,3,random,hdf5,15.011,1.426,31.715
8,5000,1000,0.1,3,random,hdf5,17.495,1.594,36.423
9,5000,1000,0.1,3,random,hdf5,15.417,1.613,33.089
10,5000,1000,0.1,3,random,hdf5,16.179,1.571,33.339
1,5000,1000,0.2,3,random,hdf5,24.939,2.019,39.869
2,5000,1000,0.2,3,random,hdf5,32.819,3.101,52.025
3,5000,1000,0.2,3,random,hdf5,27.597,2.539,45.009
4,5000,1000,0.2,3,random,hdf5,25.206,2.176,40.548
5,5000,1000,0.2,3,random,hdf5,24.462,2.037,39.622
