"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1000,1000,0.005,3,random,hdf5,2.809,0.228,3.767
2,1000,1000,0.005,3,random,hdf5,3.153,0.243,4.319
3,1000,1000,0.005,3,random,hdf5,3.127,0.241,4.167
4,1000,1000,0.005,3,random,hdf5,3.025,0.274,4.18
5,1000,1000,0.005,3,random,hdf5,3.122,0.244,4.241
6,1000,1000,0.005,3,random,hdf5,2.234,0.214,2.993
7,1000,1000,0.005,3,random,hdf5,2.993,0.222,4.044
8,1000,1000,0.005,3,random,hdf5,2.65,0.205,3.552
9,1000,1000,0.005,3,random,hdf5,2.866,0.24,3.867
10,1000,1000,0.005,3,random,hdf5,2.616,0.22,3.53
1,1000,1000,0.01,3,random,hdf5,2.666,0.269,4.273
2,1000,1000,0.01,3,random,hdf5,3.334,0.283,5.142
3,1000,1000,0.01,3,random,hdf5,2.56,0.236,3.963
4,1000,1000,0.01,3,random,hdf5,2.687,0.236,4.163
5,1000,1000,0.01,3,random,hdf5,2.193,0.235,3.409
6,1000,1000,0.01,3,random,hdf5,3.56,0.267,5.455
7,1000,1000,0.01,3,random,hdf5,2.848,0.284,4.519
8,1000,1000,0.01,3,random,hdf5,2.821,0.253,4.358
9,1000,1000,0.01,3,random,hdf5,2.388,0.279,3.831
10,1000,1000,0.01,3,random,hdf5,2.883,0.259,4.509
1,1000,1000,0.05,3,random,hdf5,3.977,0.433,9.62
2,1000,1000,0.05,3,random,hdf5,4.075,0.398,9.342
3,1000,1000,0.05,3,random,hdf5,4.443,0.491,10.458
4,1000,1000,0.05,3,random,hdf5,4.935,0.41,10.469
5,1000,1000,0.05,3,random,hdf5,3.775,0.393,9.042
6,1000,1000,0.05,3,random,hdf5,4.733,0.461,10.764
7,1000,1000,0.05,3,random,hdf5,4.405,0.453,10.47
8,1000,1000,0.05,3,random,hdf5,3.639,0.346,8.385
9,1000,1000,0.05,3,random,hdf5,4.277,0.386,10.031
10,1000,1000,0.05,3,random,hdf5,5.077,0.431,10.774
1,1000,1000,0.1,3,random,hdf5,4.808,0.418,9.631
2,1000,1000,0.1,3,random,hdf5,5.27,0.511,10.863
3,1000,1000,0.1,3,random,hdf5,5.186,0.409,10.564
4,1000,1000,0.1,3,random,hdf5,4.389,0.383,9.014
5,1000,1000,0.1,3,random,hdf5,5.713,0.484,11.63
6,1000,1000,0.1,3,random,hdf5,4.96,0.409,10.074
7,1000,1000,0.1,3,random,hdf5,5.919,0.496,11.787
8,1000,1000,0.1,3,random,hdf5,4.969,0.419,10.374
9,1000,1000,0.1,3,random,hdf5,5.382,0.441,10.81
10,1000,1000,0.1,3,random,hdf5,4.909,0.461,10.309
1,1000,1000,0.2,3,random,hdf5,8.336,0.508,13.769
2,1000,1000,0.2,3,random,hdf5,7.906,0.527,13.103
3,1000,1000,0.2,3,random,hdf5,9.31,0.765,15.208
4,1000,1000,0.2,3,random,hdf5,8.223,0.535,13.493
5,1000,1000,0.2,3,random,hdf5,8.381,0.573,13.68
6,1000,1000,0.2,3,random,hdf5,7.687,0.516,12.559
7,1000,1000,0.2,3,random,hdf5,10.118,0.678,15.922
8,1000,1000,0.2,3,random,hdf5,9.703,0.7,16.266
9,1000,1000,0.2,3,random,hdf5,10.914,0.969,17.909
10,1000,1000,0.2,3,random,hdf5,8.42,0.58,13.916
1,1000,1000,0.5,3,random,hdf5,13.542,1.055,19.403
2,1000,1000,0.5,3,random,hdf5,14.814,1.131,21.202
3,1000,1000,0.5,3,random,hdf5,15.252,1.009,20.996
4,1000,1000,0.5,3,random,hdf5,14.971,0.945,20.686
5,1000,1000,0.5,3,random,hdf5,18.16,1.285,24.412
6,1000,1000,0.5,3,random,hdf5,14.834,1,20.659
7,1000,1000,0.5,3,random,hdf5,15.012,0.962,20.745
8,1000,1000,0.5,3,random,hdf5,14.758,1.097,20.652
9,1000,1000,0.5,3,random,hdf5,15.376,1.061,21.339
10,1000,1000,0.5,3,random,hdf5,15.216,1.064,21.385
1,1000,1000,0.8,3,random,hdf5,24.073,1.558,30.29
2,1000,1000,0.8,3,random,hdf5,28.559,2.109,35.928
3,1000,1000,0.8,3,random,hdf5,24.901,1.547,31.395
4,1000,1000,0.8,3,random,hdf5,24.872,1.584,31.3
5,1000,1000,0.8,3,random,hdf5,26.998,2.048,33.709
6,1000,1000,0.8,3,random,hdf5,20.929,1.624,27.13
7,1000,1000,0.8,3,random,hdf5,23.229,1.545,29.533
8,1000,1000,0.8,3,random,hdf5,21.344,1.518,27.317
9,1000,1000,0.8,3,random,hdf5,21.994,1.463,27.87
10,1000,1000,0.8,3,random,hdf5,21.123,1.434,27.137
1,1000,1000,1,3,random,hdf5,10.323,1.245,13.116
2,1000,1000,1,3,random,hdf5,6.424,0.663,8.371
3,1000,1000,1,3,random,hdf5,9.985,1.073,12.592
4,1000,1000,1,3,random,hdf5,7.453,0.756,9.638
5,1000,1000,1,3,random,hdf5,9.616,1.021,12.11
6,1000,1000,1,3,random,hdf5,8.519,1.038,10.981
7,1000,1000,1,3,random,hdf5,6.567,0.576,8.262
8,1000,1000,1,3,random,hdf5,9.689,1.1,12.375
9,1000,1000,1,3,random,hdf5,8.3,1.042,10.718
10,1000,1000,1,3,random,hdf5,8.056,0.855,10.284
