"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1000,1000,0.005,3,random,kmeans,1.167,0.045,1.217
2,1000,1000,0.005,3,random,kmeans,1.119,0.041,1.16
3,1000,1000,0.005,3,random,kmeans,1.157,0.039,1.198
4,1000,1000,0.005,3,random,kmeans,1.149,0.035,1.184
5,1000,1000,0.005,3,random,kmeans,1.168,0.037,1.205
6,1000,1000,0.005,3,random,kmeans,0.763,0.031,0.794
7,1000,1000,0.005,3,random,kmeans,0.723,0.035,0.758999999999999
8,1000,1000,0.005,3,random,kmeans,0.748,0.037,0.785
9,1000,1000,0.005,3,random,kmeans,0.699,0.041,0.742000000000001
10,1000,1000,0.005,3,random,kmeans,0.749,0.037,0.786000000000001
1,1000,1000,0.01,3,random,kmeans,1.49,0.043,1.534
2,1000,1000,0.01,3,random,kmeans,1.169,0.036,1.205
3,1000,1000,0.01,3,random,kmeans,1.13,0.04,1.17
4,1000,1000,0.01,3,random,kmeans,1.137,0.039,1.176
5,1000,1000,0.01,3,random,kmeans,1.16,0.034,1.195
6,1000,1000,0.01,3,random,kmeans,0.697,0.037,0.734
7,1000,1000,0.01,3,random,kmeans,0.763,0.032,0.797000000000001
8,1000,1000,0.01,3,random,kmeans,0.761,0.037,0.798
9,1000,1000,0.01,3,random,kmeans,0.719,0.037,0.754999999999999
10,1000,1000,0.01,3,random,kmeans,0.747,0.027,0.773999999999999
1,1000,1000,0.05,3,random,kmeans,1.483,0.044,1.528
2,1000,1000,0.05,3,random,kmeans,1.152,0.039,1.196
3,1000,1000,0.05,3,random,kmeans,1.172,0.05,1.222
4,1000,1000,0.05,3,random,kmeans,1.165,0.048,1.214
5,1000,1000,0.05,3,random,kmeans,1.147,0.055,1.202
6,1000,1000,0.05,3,random,kmeans,0.776,0.035,0.813000000000001
7,1000,1000,0.05,3,random,kmeans,0.778,0.034,0.812000000000001
8,1000,1000,0.05,3,random,kmeans,0.729,0.036,0.765000000000001
9,1000,1000,0.05,3,random,kmeans,0.694,0.041,0.735999999999999
10,1000,1000,0.05,3,random,kmeans,0.732,0.036,0.768000000000001
1,1000,1000,0.1,3,random,kmeans,1.159,0.048,1.212
2,1000,1000,0.1,3,random,kmeans,1.111,0.038,1.15
3,1000,1000,0.1,3,random,kmeans,1.193,0.041,1.234
4,1000,1000,0.1,3,random,kmeans,1.12,0.045,1.165
5,1000,1000,0.1,3,random,kmeans,1.143,0.04,1.184
6,1000,1000,0.1,3,random,kmeans,0.866,0.035,0.901
