"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,250000,1000,0.005,3,random,mbkmeans,81.779,1.815,83.715
2,250000,1000,0.005,3,random,mbkmeans,91.104,1.716,92.837
3,250000,1000,0.005,3,random,mbkmeans,82.709,1.6,84.325
4,250000,1000,0.005,3,random,mbkmeans,85.274,1.674,86.964
5,250000,1000,0.005,3,random,mbkmeans,83.481,1.848,85.343
1,250000,1000,0.01,3,random,mbkmeans,109.21,1.754,110.984
2,250000,1000,0.01,3,random,mbkmeans,117.493,2.073,119.693
3,250000,1000,0.01,3,random,mbkmeans,115.125,2.585,117.744
4,250000,1000,0.01,3,random,mbkmeans,111.475,2.55,114.094
5,250000,1000,0.01,3,random,mbkmeans,119.763,2.243,122.033
1,250000,1000,0.05,3,random,mbkmeans,411.676,16.736,430.709
2,250000,1000,0.05,3,random,mbkmeans,406.516,17.428,426.697
3,250000,1000,0.05,3,random,mbkmeans,380.151,18.387,399.061
4,250000,1000,0.05,3,random,mbkmeans,418.395,18.042,438.634
5,250000,1000,0.05,3,random,mbkmeans,418.702,17.477,438.583
1,250000,1000,0.1,3,random,mbkmeans,629.664,19.558,649.48
2,250000,1000,0.1,3,random,mbkmeans,570.361,28.945,599.427
3,250000,1000,0.1,3,random,mbkmeans,566.113,20.157,586.382
4,250000,1000,0.1,3,random,mbkmeans,544.959,18.169,563.254
5,250000,1000,0.1,3,random,mbkmeans,535.807,19.477,555.388
1,250000,1000,0.2,3,random,mbkmeans,1110.93,45.526,1160.033
2,250000,1000,0.2,3,random,mbkmeans,931.818,36.247,970.416
3,250000,1000,0.2,3,random,mbkmeans,1276.982,49.52,1329.003
4,250000,1000,0.2,3,random,mbkmeans,1233.949,44.582,1281.862
5,250000,1000,0.2,3,random,mbkmeans,1180.1,43.246,1226.127
1,250000,1000,0.5,3,random,mbkmeans,2398.166,99.329,2504.991
2,250000,1000,0.5,3,random,mbkmeans,2093.37,94.197,2194.211
3,250000,1000,0.5,3,random,mbkmeans,3010.994,159.69,3177.359
4,250000,1000,0.5,3,random,mbkmeans,2560.176,113.359,2681.854
5,250000,1000,0.5,3,random,mbkmeans,2837.876,121.202,2965.902
1,250000,1000,0.8,3,random,mbkmeans,3870.334,214.56,4086.772
2,250000,1000,0.8,3,random,mbkmeans,3504.081,192.147,3698.574
3,250000,1000,0.8,3,random,mbkmeans,4028.605,217.629,4247.401
4,250000,1000,0.8,3,random,mbkmeans,4098.204,220.367,4320.95
5,250000,1000,0.8,3,random,mbkmeans,4367.98,213.329,4584.313
1,250000,1000,1,3,random,mbkmeans,4845.167,269.326,5115.521
2,250000,1000,1,3,random,mbkmeans,5090.885,271.319,5363.282
3,250000,1000,1,3,random,mbkmeans,9575.414,420.543,9998.325
4,250000,1000,1,3,random,mbkmeans,3121.935,198.664,3321.292
5,250000,1000,1,3,random,mbkmeans,2948.282,188.013,3137.046
