"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1000,1000,0.005,3,random,kmeans,1.469,0.047,1.547
2,1000,1000,0.005,3,random,kmeans,1.497,0.041,1.568
3,1000,1000,0.005,3,random,kmeans,1.647,0.042,1.703
4,1000,1000,0.005,3,random,kmeans,1.527,0.032,1.562
5,1000,1000,0.005,3,random,kmeans,1.5,0.042,1.544
6,1000,1000,0.005,3,random,kmeans,1.563,0.04,1.605
7,1000,1000,0.005,3,random,kmeans,1.45,0.04,1.491
8,1000,1000,0.005,3,random,kmeans,1.584,0.04,1.627
9,1000,1000,0.005,3,random,kmeans,1.566,0.048,1.617
10,1000,1000,0.005,3,random,kmeans,1.5,0.033,1.536
1,1000,1000,0.01,3,random,kmeans,1.51,0.038,1.552
2,1000,1000,0.01,3,random,kmeans,1.471,0.039,1.512
3,1000,1000,0.01,3,random,kmeans,1.536,0.034,1.571
4,1000,1000,0.01,3,random,kmeans,1.492,0.045,1.54
5,1000,1000,0.01,3,random,kmeans,1.621,0.047,1.669
6,1000,1000,0.01,3,random,kmeans,1.494,0.044,1.54
7,1000,1000,0.01,3,random,kmeans,1.425,0.043,1.47
8,1000,1000,0.01,3,random,kmeans,1.545,0.036,1.582
9,1000,1000,0.01,3,random,kmeans,1.609,0.037,1.648
10,1000,1000,0.01,3,random,kmeans,1.455,0.038,1.496
1,1000,1000,0.05,3,random,kmeans,1.514,0.039,1.557
2,1000,1000,0.05,3,random,kmeans,1.582,0.031,1.616
3,1000,1000,0.05,3,random,kmeans,1.486,0.043,1.531
4,1000,1000,0.05,3,random,kmeans,1.436,0.044,1.483
5,1000,1000,0.05,3,random,kmeans,1.532,0.041,1.575
6,1000,1000,0.05,3,random,kmeans,1.516,0.036,1.554
7,1000,1000,0.05,3,random,kmeans,1.523,0.045,1.572
8,1000,1000,0.05,3,random,kmeans,1.51,0.036,1.549
9,1000,1000,0.05,3,random,kmeans,1.575,0.043,1.62
10,1000,1000,0.05,3,random,kmeans,1.501,0.04,1.542
1,1000,1000,0.1,3,random,kmeans,1.56,0.036,1.598
2,1000,1000,0.1,3,random,kmeans,1.569,0.037,1.608
3,1000,1000,0.1,3,random,kmeans,1.544,0.036,1.584
4,1000,1000,0.1,3,random,kmeans,1.553,0.037,1.592
5,1000,1000,0.1,3,random,kmeans,1.536,0.051,1.589
6,1000,1000,0.1,3,random,kmeans,1.519,0.038,1.559
7,1000,1000,0.1,3,random,kmeans,1.514,0.056,1.572
8,1000,1000,0.1,3,random,kmeans,1.43,0.042,1.474
9,1000,1000,0.1,3,random,kmeans,1.617,0.051,1.671
10,1000,1000,0.1,3,random,kmeans,1.501,0.042,1.545
1,1000,1000,0.2,3,random,kmeans,1.527,0.042,1.57
2,1000,1000,0.2,3,random,kmeans,1.523,0.043,1.569
3,1000,1000,0.2,3,random,kmeans,1.562,0.039,1.603
4,1000,1000,0.2,3,random,kmeans,1.608,0.04,1.65
5,1000,1000,0.2,3,random,kmeans,1.445,0.041,1.487
6,1000,1000,0.2,3,random,kmeans,1.53,0.046,1.579
7,1000,1000,0.2,3,random,kmeans,1.465,0.046,1.514
8,1000,1000,0.2,3,random,kmeans,1.484,0.056,1.542
9,1000,1000,0.2,3,random,kmeans,1.494,0.04,1.536
10,1000,1000,0.2,3,random,kmeans,1.523,0.042,1.567
1,1000,1000,0.5,3,random,kmeans,1.52,0.041,1.564
2,1000,1000,0.5,3,random,kmeans,1.5,0.035,1.539
3,1000,1000,0.5,3,random,kmeans,1.441,0.042,1.486
4,1000,1000,0.5,3,random,kmeans,1.45,0.045,1.498
5,1000,1000,0.5,3,random,kmeans,1.563,0.044,1.609
6,1000,1000,0.5,3,random,kmeans,1.553,0.045,1.599
7,1000,1000,0.5,3,random,kmeans,1.535,0.041,1.578
8,1000,1000,0.5,3,random,kmeans,1.58,0.044,1.626
9,1000,1000,0.5,3,random,kmeans,1.46,0.036,1.499
10,1000,1000,0.5,3,random,kmeans,1.547,0.042,1.593
1,1000,1000,0.8,3,random,kmeans,1.67,0.045,1.718
2,1000,1000,0.8,3,random,kmeans,1.451,0.046,1.499
3,1000,1000,0.8,3,random,kmeans,1.563,0.05,1.616
4,1000,1000,0.8,3,random,kmeans,1.477,0.049,1.529
5,1000,1000,0.8,3,random,kmeans,1.687,0.042,1.733
6,1000,1000,0.8,3,random,kmeans,1.478,0.048,1.528
7,1000,1000,0.8,3,random,kmeans,1.497,0.043,1.542
8,1000,1000,0.8,3,random,kmeans,1.532,0.037,1.571
9,1000,1000,0.8,3,random,kmeans,1.654,0.037,1.693
10,1000,1000,0.8,3,random,kmeans,1.525,0.038,1.565
1,1000,1000,1,3,random,kmeans,1.544,0.048,1.596
2,1000,1000,1,3,random,kmeans,1.49,0.043,1.535
3,1000,1000,1,3,random,kmeans,1.504,0.039,1.546
4,1000,1000,1,3,random,kmeans,1.484,0.045,1.53
5,1000,1000,1,3,random,kmeans,1.461,0.039,1.502
6,1000,1000,1,3,random,kmeans,1.514,0.041,1.558
7,1000,1000,1,3,random,kmeans,1.525,0.034,1.562
8,1000,1000,1,3,random,kmeans,1.574,0.049,1.625
9,1000,1000,1,3,random,kmeans,1.558,0.036,1.596
10,1000,1000,1,3,random,kmeans,1.568,0.052,1.624
1,5000,1000,0.005,3,random,kmeans,8.778,0.342,9.134
2,5000,1000,0.005,3,random,kmeans,8.686,0.345,9.045
3,5000,1000,0.005,3,random,kmeans,8.861,0.341,9.215
4,5000,1000,0.005,3,random,kmeans,8.499,0.358,8.87
5,5000,1000,0.005,3,random,kmeans,8.75,0.351,9.115
6,5000,1000,0.005,3,random,kmeans,7.804,0.327,8.143
7,5000,1000,0.005,3,random,kmeans,9.09,0.335,9.44
8,5000,1000,0.005,3,random,kmeans,7.929,0.379,8.321
9,5000,1000,0.005,3,random,kmeans,8.01,0.37,8.393
10,5000,1000,0.005,3,random,kmeans,7.633,0.358,8.003
1,5000,1000,0.01,3,random,kmeans,7.923,0.369,8.305
2,5000,1000,0.01,3,random,kmeans,7.896,0.359,8.268
3,5000,1000,0.01,3,random,kmeans,9.26,0.345,9.62
4,5000,1000,0.01,3,random,kmeans,7.844,0.357,8.214
