"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,175000,1000,0.005,3,random,mbkmeans,41.977,1.07,51.021
2,175000,1000,0.005,3,random,mbkmeans,42.437,1.031,52.574
3,175000,1000,0.005,3,random,mbkmeans,41.807,1.082,50.781
4,175000,1000,0.005,3,random,mbkmeans,42.411,1.059,52.411
5,175000,1000,0.005,3,random,mbkmeans,40.066,0.94,49.025
6,175000,1000,0.005,3,random,mbkmeans,42.586,1.061,52.971
7,175000,1000,0.005,3,random,mbkmeans,45.128,1.185,56.21
8,175000,1000,0.005,3,random,mbkmeans,43.496,1.09,52.718
9,175000,1000,0.005,3,random,mbkmeans,42.746,1.065,51.646
10,175000,1000,0.005,3,random,mbkmeans,43.008,1.094,53.347
1,175000,1000,0.01,3,random,mbkmeans,53.895,1.548,59.337
2,175000,1000,0.01,3,random,mbkmeans,56.292,1.627,61.845
3,175000,1000,0.01,3,random,mbkmeans,59.107,1.674,63.766
4,175000,1000,0.01,3,random,mbkmeans,57.46,1.636,62.831
5,175000,1000,0.01,3,random,mbkmeans,59.074,1.719,65.779
6,175000,1000,0.01,3,random,mbkmeans,58.776,1.721,64.72
7,175000,1000,0.01,3,random,mbkmeans,54.451,1.595,59.683
8,175000,1000,0.01,3,random,mbkmeans,54.339,1.57,59.497
9,175000,1000,0.01,3,random,mbkmeans,58.336,1.608,63.136
10,175000,1000,0.01,3,random,mbkmeans,57.826,1.661,63.382
1,175000,1000,0.05,3,random,mbkmeans,143.405,6.164,158.555
2,175000,1000,0.05,3,random,mbkmeans,140.945,6.082,155.687
3,175000,1000,0.05,3,random,mbkmeans,152.501,6.596,170.295
4,175000,1000,0.05,3,random,mbkmeans,136.953,5.792,152.857
5,175000,1000,0.05,3,random,mbkmeans,153.036,6.611,168.488
6,175000,1000,0.05,3,random,mbkmeans,149.618,6.445,167.626
7,175000,1000,0.05,3,random,mbkmeans,142.876,6.132,158.198
8,175000,1000,0.05,3,random,mbkmeans,145.708,6.248,160.357
9,175000,1000,0.05,3,random,mbkmeans,157.263,6.83,176.802
10,175000,1000,0.05,3,random,mbkmeans,140.238,5.995,155.759
1,175000,1000,0.1,3,random,mbkmeans,249.734,11.527,272.553
2,175000,1000,0.1,3,random,mbkmeans,271.163,12.561,295.74
3,175000,1000,0.1,3,random,mbkmeans,233.697,10.447,255.72
4,175000,1000,0.1,3,random,mbkmeans,313.19,14.307,340.685
5,175000,1000,0.1,3,random,mbkmeans,239.576,10.98,262.548
6,175000,1000,0.1,3,random,mbkmeans,260.508,11.665,284.291
7,175000,1000,0.1,3,random,mbkmeans,263.934,12.271,288.021
8,175000,1000,0.1,3,random,mbkmeans,270.547,12.247,295.513
9,175000,1000,0.1,3,random,mbkmeans,249.365,11.1,273.166
10,175000,1000,0.1,3,random,mbkmeans,279.359,12.724,305.033
1,175000,1000,0.2,3,random,mbkmeans,529.282,25.954,565.196
2,175000,1000,0.2,3,random,mbkmeans,547.28,26.731,592.471
3,175000,1000,0.2,3,random,mbkmeans,487.008,22.945,527.419
4,175000,1000,0.2,3,random,mbkmeans,464.677,22.767,500.971
5,175000,1000,0.2,3,random,mbkmeans,489.271,23.979,535.198
6,175000,1000,0.2,3,random,mbkmeans,446.594,20.782,477.463
7,175000,1000,0.2,3,random,mbkmeans,521.719,25.549,557.177
8,175000,1000,0.2,3,random,mbkmeans,461.808,21.501,503.245
9,175000,1000,0.2,3,random,mbkmeans,448.629,21.86,479.355
10,175000,1000,0.2,3,random,mbkmeans,462.027,21.511,502.167
1,175000,1000,0.5,3,random,mbkmeans,1240.318,72.525,1340.011
2,175000,1000,0.5,3,random,mbkmeans,1102.799,65.043,1191.397
3,175000,1000,0.5,3,random,mbkmeans,1183.131,69.17,1264.994
4,175000,1000,0.5,3,random,mbkmeans,1005.204,51.839,1072.597
5,175000,1000,0.5,3,random,mbkmeans,1086.256,64.222,1171.308
6,175000,1000,0.5,3,random,mbkmeans,1058.909,55.697,1127.472
7,175000,1000,0.5,3,random,mbkmeans,1097.965,65.135,1181.79
8,175000,1000,0.5,3,random,mbkmeans,1262.315,73.396,1350.104
9,175000,1000,0.5,3,random,mbkmeans,1099.289,63.22,1180.285
10,175000,1000,0.5,3,random,mbkmeans,1172.092,68.36,1268.562
1,175000,1000,0.8,3,random,mbkmeans,1929.39,123.692,2067.698
2,175000,1000,0.8,3,random,mbkmeans,2145.186,135.908,2295.655
3,175000,1000,0.8,3,random,mbkmeans,2054.576,131.786,2203.141
4,175000,1000,0.8,3,random,mbkmeans,1802.53,115.703,1933.988
5,175000,1000,0.8,3,random,mbkmeans,1825.507,97.761,1935.115
6,175000,1000,0.8,3,random,mbkmeans,2004.853,128.255,2148.69
7,175000,1000,0.8,3,random,mbkmeans,1799.319,117.897,1932.401
8,175000,1000,0.8,3,random,mbkmeans,1874.44,108.261,2001.007
9,175000,1000,0.8,3,random,mbkmeans,1847.772,95.995,1951.031
10,175000,1000,0.8,3,random,mbkmeans,1933.605,123.847,2074.282
1,175000,1000,1,3,random,mbkmeans,1353.868,72.47,1473.658
2,175000,1000,1,3,random,mbkmeans,4372.04,228.87,4646.669
3,175000,1000,1,3,random,mbkmeans,1632.392,87.766,1759.536
4,175000,1000,1,3,random,mbkmeans,3826.626,200.176,4066.316
5,175000,1000,1,3,random,mbkmeans,1715.314,91.925,1853.382
6,175000,1000,1,3,random,mbkmeans,3802.154,197.904,4043.356
7,175000,1000,1,3,random,mbkmeans,616.525,34.41,697.669
8,175000,1000,1,3,random,mbkmeans,631.353,34.27,713.972
9,175000,1000,1,3,random,mbkmeans,2645.961,138.792,2832.082
10,175000,1000,1,3,random,mbkmeans,653.582,36.087,732.181
